A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/eval.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_index.py,test_duplicates,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_indexing.py,test_iloc_non_unique_indexing,[self:Any],None
/app/Repos/pandas/pandas/compat/__init__.py,__add__,[self:Any;other:Any],None,/app/Repos/pandas/pandas/compat/__init__.py,__and__,[self:Any;other:Any],None
/app/Repos/pandas/pandas/compat/__init__.py,__add__,[self:Any;other:Any],None,/app/Repos/pandas/pandas/compat/__init__.py,__or__,[self:Any;other:Any],None
/app/Repos/pandas/pandas/compat/__init__.py,__add__,[self:Any;other:Any],None,/app/Repos/pandas/pandas/compat/__init__.py,__sub__,[self:Any;other:Any],None
/app/Repos/pandas/pandas/compat/__init__.py,__and__,[self:Any;other:Any],None,/app/Repos/pandas/pandas/compat/__init__.py,__or__,[self:Any;other:Any],None
/app/Repos/pandas/pandas/compat/__init__.py,__and__,[self:Any;other:Any],None,/app/Repos/pandas/pandas/compat/__init__.py,__sub__,[self:Any;other:Any],None
/app/Repos/pandas/pandas/compat/__init__.py,__or__,[self:Any;other:Any],None,/app/Repos/pandas/pandas/compat/__init__.py,__sub__,[self:Any;other:Any],None
/app/Repos/pandas/pandas/computation/tests/test_eval.py,f,[],None,/app/Repos/pandas/pandas/tests/test_categorical.py,test_groupby,[self:Any],None
/app/Repos/pandas/pandas/computation/tests/test_eval.py,test_fails_ampersand,[self:Any],None,/app/Repos/pandas/pandas/tests/test_frame.py,test_nested_scope,[self:Any],None
/app/Repos/pandas/pandas/computation/tests/test_eval.py,test_fails_pipe,[self:Any],None,/app/Repos/pandas/pandas/tests/test_frame.py,test_nested_scope,[self:Any],None
/app/Repos/pandas/pandas/computation/tests/test_eval.py,test_lhs_expression_subscript,[self:Any],None,/app/Repos/pandas/pandas/tests/test_frame.py,test_getitem_setitem_ix_duplicates,[self:Any],None
/app/Repos/pandas/pandas/core/algorithms.py,factorize,[values:Any;sort:Any;order:Any;na_sentinel:Any;size_hint:Any],None,/app/Repos/pandas/pandas/core/groupby.py,_reorder_by_uniques,[uniques:Any;labels:Any],None
/app/Repos/pandas/pandas/core/base.py,__new__,[cls:Any;data:Any;dtype:Any;copy:Any],None,/app/Repos/pandas/pandas/core/index.py,__new__,[cls:Any;data:Any;dtype:Any;copy:Any;name:Any;fastpath:Any;tupleize_cols:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/base.py,drop_duplicates,[self:Any;keep:Any;inplace:Any],None,/app/Repos/pandas/pandas/core/frame.py,drop_duplicates,[self:Any;subset:Any;keep:Any;inplace:Any],None
/app/Repos/pandas/pandas/core/base.py,drop_duplicates,[self:Any;keep:Any;inplace:Any],None,/app/Repos/pandas/pandas/core/index.py,drop_duplicates,[self:Any;keep:Any],None
/app/Repos/pandas/pandas/core/base.py,drop_duplicates,[self:Any;keep:Any;inplace:Any],None,/app/Repos/pandas/pandas/core/index.py,duplicated,[self:Any;keep:Any],None
/app/Repos/pandas/pandas/core/base.py,duplicated,[self:Any;keep:Any],None,/app/Repos/pandas/pandas/core/index.py,drop_duplicates,[self:Any;keep:Any],None
/app/Repos/pandas/pandas/core/base.py,duplicated,[self:Any;keep:Any],None,/app/Repos/pandas/pandas/core/index.py,duplicated,[self:Any;keep:Any],None
/app/Repos/pandas/pandas/core/common.py,_coerce_to_dtypes,[result:Any;dtypes:Any],None,/app/Repos/pandas/pandas/core/common.py,conv,[r:Any;dtype:Any],None
/app/Repos/pandas/pandas/core/common.py,_convert_wrapper,[f:Any;conv_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_view_wrapper,[f:Any;arr_dtype:Any;out_dtype:Any;fill_wrap:Any],None
/app/Repos/pandas/pandas/core/common.py,_get_dtype,[arr_or_dtype:Any],None,/app/Repos/pandas/pandas/core/common.py,_get_dtype_type,[arr_or_dtype:Any],None
/app/Repos/pandas/pandas/core/common.py,_isnull_ndarraylike,[obj:Any],None,/app/Repos/pandas/pandas/core/common.py,_isnull_ndarraylike_old,[obj:Any],None
/app/Repos/pandas/pandas/core/common.py,_isnull_new,[obj:Any],None,/app/Repos/pandas/pandas/core/common.py,_isnull_old,[obj:Any],None
/app/Repos/pandas/pandas/core/common.py,_justify,[texts:Any;max_len:Any;mode:Any],None,/app/Repos/pandas/pandas/core/format.py,justify,[self:Any;texts:Any;max_len:Any;mode:Any],None
/app/Repos/pandas/pandas/core/common.py,_maybe_upcast_putmask,[result:Any;mask:Any;other:Any],None,/app/Repos/pandas/pandas/core/common.py,changeit,[],None
