A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any;use_numexpr:Any;threads:Any],None,/app/Repos/pandas/asv_bench/benchmarks/eval.py,setup,[self:Any;engine:Any;threads:Any],None
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,f,[self:Any;K:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,g,[self:Any;K:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,make_pair,[self:Any;frame:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/groupby/test_groupby.py,test_fast_apply,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_sorting.py,test_int64_overflow_moar,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_sorting.py,test_int64_overflow_issues,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_openpyxl,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlsxwriter,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlwt,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_openpyxl,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlsxwriter,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_openpyxl,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlwt,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlsxwriter,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlwt,[self:Any],None
/app/Repos/pandas/bench/bench_merge.py,get_test_data,[ngroups:Any;n:Any],None,/app/Repos/pandas/pandas/tests/tools/test_merge.py,get_test_data,[ngroups:Any;n:Any],None
/app/Repos/pandas/doc/sphinxext/ipython_sphinxext/ipython_directive.py,ensure_pyplot,[self:Any],None,/app/Repos/pandas/doc/sphinxext/ipython_sphinxext/ipython_directive.py,setup,[self:Any],None
/app/Repos/pandas/pandas/core/algorithms.py,_broadcast,[arr_or_scalar:Any;shape:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,checked_add_with_arr,[arr:Any;b:Any;arr_mask:Any;b_mask:Any],None
/app/Repos/pandas/pandas/core/algorithms.py,_take_nd_object,[arr:Any;indexer:Any;out:Any;axis:Any;fill_value:Any;mask_info:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,take_nd,[arr:Any;indexer:Any;axis:Any;out:Any;fill_value:Any;mask_info:Any;allow_fill:Any],None
/app/Repos/pandas/pandas/core/base.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None,/app/Repos/pandas/pandas/core/categorical.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None
/app/Repos/pandas/pandas/core/base.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None,/app/Repos/pandas/pandas/core/series.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None
