A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/eval.py,setup,[self:Any;engine:Any;threads:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/eval.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/eval.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,get_period_count,[self:Any;start_date:Any;off:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,get_period_count,[self:Any;start_date:Any;off:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,f,[self:Any;K:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,f,[self:Any;K:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,make_pair,[self:Any;frame:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,make_pair,[self:Any;frame:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_groupby.py,test_fast_apply,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_groupby.py,test_int64_overflow,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/timeseries.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/indexing/test_indexing.py,test_iloc_non_unique_indexing,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/inference.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/inference.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tools/tests/test_merge.py,test_int64_overflow_issues,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_packers_write_excel_openpyxl,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_packers_write_excel_xlsxwriter,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_packers_write_excel_xlwt,[self:Any],None
