A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,_setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/sparse.py,make_numeric_array,[self:Any;length:Any;dense_size:Any;fill_value:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,make_object_array,[self:Any;length:Any;dense_size:Any;fill_value:Any],None
/app/Repos/pandas/asv_bench/benchmarks/sparse.py,make_numeric_array,[self:Any;length:Any;dense_size:Any;fill_value:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,make_sparse_array,[self:Any;length:Any;dense_size:Any;fill_value:Any],None
/app/Repos/pandas/asv_bench/benchmarks/sparse.py,make_object_array,[self:Any;length:Any;dense_size:Any;fill_value:Any],None,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,make_sparse_array,[self:Any;length:Any;dense_size:Any;fill_value:Any],None
/app/Repos/pandas/asv_bench/benchmarks/sparse.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/timestamp.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/tseries/test_timezones.py,test_replace_tzinfo,[self:Any],None
/app/Repos/pandas/pandas/core/accessor.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:Any;typ:Any;overwrite:Any],None,/app/Repos/pandas/pandas/core/accessor.py,_create_delegator_method,[name:Any],None
/app/Repos/pandas/pandas/core/accessor.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:Any;typ:Any;overwrite:Any],None,/app/Repos/pandas/pandas/core/accessor.py,_create_delegator_property,[name:Any],None
/app/Repos/pandas/pandas/core/base.py,outer,[self:Any;*args:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/resample.py,_apply,[self:Any;f:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/base.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None,/app/Repos/pandas/pandas/core/indexes/datetimes.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None
/app/Repos/pandas/pandas/core/base.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None,/app/Repos/pandas/pandas/core/indexes/period.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None
/app/Repos/pandas/pandas/core/base.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None,/app/Repos/pandas/pandas/core/indexes/timedeltas.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None
/app/Repos/pandas/pandas/core/categorical.py,_delegate_method,[self:Any;name:Any;*args:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/indexes/accessors.py,_delegate_method,[self:Any;name:Any;*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/categorical.py,_set_categories,[self:Any;categories:Any;fastpath:Any],None,/app/Repos/pandas/pandas/core/categorical.py,categories,[self:Any;categories:Any],None
/app/Repos/pandas/pandas/core/categorical.py,astype,[self:Any;dtype:Any;copy:Any],None,/app/Repos/pandas/pandas/core/indexes/datetimes.py,astype,[self:Any;dtype:Any;copy:Any],None
/app/Repos/pandas/pandas/core/categorical.py,astype,[self:Any;dtype:Any;copy:Any],None,/app/Repos/pandas/pandas/core/indexes/timedeltas.py,astype,[self:Any;dtype:Any;copy:Any],None
