A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/eval.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,f,[self:Any;K:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,g,[self:Any;K:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,make_pair,[self:Any;frame:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/gil.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/gil.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/groupby/test_groupby.py,test_fast_apply,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/indexes/test_multi.py,test_duplicates,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,_setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_sorting.py,test_int64_overflow_issues,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_openpyxl,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlsxwriter,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlwt,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_openpyxl,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlsxwriter,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_openpyxl,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlwt,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlsxwriter,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/packers.py,time_write_excel_xlwt,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/replace.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/replace.py,setup,[self:Any],None
