A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any;use_numexpr:Any;threads:Any],None,/app/Repos/pandas/asv_bench/benchmarks/eval.py,setup,[self:Any;engine:Any;threads:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_sorting.py,test_int64_overflow_moar,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/reshape.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_multilevel.py,test_unstack_sparse_keyspace,[self:Any],None
/app/Repos/pandas/doc/sphinxext/ipython_sphinxext/ipython_directive.py,ensure_pyplot,[self:Any],None,/app/Repos/pandas/doc/sphinxext/ipython_sphinxext/ipython_directive.py,setup,[self:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_parse_see_also,[self:Any;content:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,parse_item_name,[text:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,_str_index,[self:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,_str_index,[self:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,methods,[self:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,properties,[self:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/numpydoc.py,run,[self:Any],None,/app/Repos/pandas/doc/sphinxext/numpydoc/numpydoc.py,wrap_mangling_directive,[base_directive:Any;objtype:Any],None
/app/Repos/pandas/doc/sphinxext/numpydoc/tests/test_docscrape.py,test_other_parameters,[],None,/app/Repos/pandas/doc/sphinxext/numpydoc/tests/test_docscrape.py,test_parameters,[],None
/app/Repos/pandas/pandas/_version.py,git_get_keywords,[versionfile_abs:Any],None,/app/Repos/pandas/versioneer.py,git_get_keywords,[versionfile_abs:Any],None
/app/Repos/pandas/pandas/_version.py,git_pieces_from_vcs,[tag_prefix:Any;root:Any;verbose:Any;run_command:Any],None,/app/Repos/pandas/versioneer.py,git_pieces_from_vcs,[tag_prefix:Any;root:Any;verbose:Any;run_command:Any],None
/app/Repos/pandas/pandas/_version.py,git_versions_from_keywords,[keywords:Any;tag_prefix:Any;verbose:Any],None,/app/Repos/pandas/versioneer.py,git_versions_from_keywords,[keywords:Any;tag_prefix:Any;verbose:Any],None
/app/Repos/pandas/pandas/_version.py,render,[pieces:Any;style:Any],None,/app/Repos/pandas/versioneer.py,render,[pieces:Any;style:Any],None
/app/Repos/pandas/pandas/_version.py,render_git_describe,[pieces:Any],None,/app/Repos/pandas/pandas/_version.py,render_git_describe_long,[pieces:Any],None
/app/Repos/pandas/pandas/_version.py,render_git_describe,[pieces:Any],None,/app/Repos/pandas/pandas/_version.py,render_pep440,[pieces:Any],None
/app/Repos/pandas/pandas/_version.py,render_git_describe,[pieces:Any],None,/app/Repos/pandas/pandas/_version.py,render_pep440_old,[pieces:Any],None
/app/Repos/pandas/pandas/_version.py,render_git_describe,[pieces:Any],None,/app/Repos/pandas/pandas/_version.py,render_pep440_post,[pieces:Any],None
