A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;dropna:Any],None,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;index:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any;index:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup_cache,[self:Any],None,/app/Repos/pandas/pandas/tests/groupby/test_apply.py,test_fast_apply,[],None
/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,setup,[self:Any;engine_and_dtype:Any;index_type:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,setup,[self:Any;index_type:Any],None
/app/Repos/pandas/asv_bench/benchmarks/multiindex_object.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/indexes/multi/test_duplicates.py,test_duplicated_large,[keep:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;percentile:Any;interpolation:Any],None
/app/Repos/pandas/pandas/conftest.py,datapath,[request:Any],None,/app/Repos/pandas/pandas/conftest.py,deco,[*args:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,_binop,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/arrays/base.py,_create_method,[cls:Any;op:Any;coerce_to_dtype:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,_binop,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/arrays/base.py,_maybe_convert,[arr:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,_create_method,[cls:Any;op:Any;coerce_to_dtype:Any],None,/app/Repos/pandas/pandas/core/arrays/base.py,_maybe_convert,[arr:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,fillna,[self:Any;value:Any;method:Any;limit:Any],None,/app/Repos/pandas/pandas/core/arrays/period.py,fillna,[self:Any;value:Any;method:Any;limit:Any],None
