A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup_cache,[self:Any],None,/app/Repos/pandas/pandas/tests/groupby/test_groupby.py,test_fast_apply,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/multiindex_object.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/indexes/test_multi.py,test_duplicates,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;percentile:Any],None
/app/Repos/pandas/doc/sphinxext/ipython_sphinxext/ipython_directive.py,ensure_pyplot,[self:Any],None,/app/Repos/pandas/doc/sphinxext/ipython_sphinxext/ipython_directive.py,setup,[self:Any],None
/app/Repos/pandas/pandas/core/algorithms.py,_broadcast,[arr_or_scalar:Any;shape:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,checked_add_with_arr,[arr:Any;b:Any;arr_mask:Any;b_mask:Any],None
/app/Repos/pandas/pandas/core/arrays/categorical.py,_reduce,[self:Any;op:Any;name:Any;axis:Any;skipna:Any;numeric_only:Any;filter_type:Any;**kwds:Any],None,/app/Repos/pandas/pandas/core/base.py,_reduce,[self:Any;op:Any;name:Any;axis:Any;skipna:Any;numeric_only:Any;filter_type:Any;**kwds:Any],None
/app/Repos/pandas/pandas/core/arrays/categorical.py,_slice,[self:Any;slicer:Any],None,/app/Repos/pandas/pandas/core/internals.py,_slice,[self:Any;slicer:Any],None
/app/Repos/pandas/pandas/core/arrays/categorical.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None,/app/Repos/pandas/pandas/core/series.py,searchsorted,[self:Any;value:Any;side:Any;sorter:Any],None
/app/Repos/pandas/pandas/core/base.py,_aggregate,[self:Any;arg:Any;*args:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/groupby/groupby.py,aggregate,[self:Any;arg:Any;*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/base.py,_dispatch,[name:Any;*args:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/base.py,outer,[self:Any;*args:Any;**kwargs:Any],None
