A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,setup,[self:Any;lines_orient:Any],None
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any;axis:Any;ignore_index:Any],None,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any;axis:Any;ignore_index:Any],None
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,setup,[self:Any],None
/app/Repos/pandas/doc/source/conf.py,_escape_args_and_kwargs,[name:Any],None,/app/Repos/pandas/doc/source/conf.py,decorate_process_param,[func:Any],None
/app/Repos/pandas/pandas/compat/__init__.py,add_metaclass,[metaclass:Any],None,/app/Repos/pandas/pandas/compat/__init__.py,wrapper,[cls:Any],None
/app/Repos/pandas/pandas/compat/__init__.py,east_asian_len,[data:Any;encoding:Any;ambiguous_width:Any],None,/app/Repos/pandas/pandas/compat/__init__.py,east_asian_len,[data:Any;encoding:Any;ambiguous_width:Any],None
/app/Repos/pandas/pandas/compat/chainmap_impl.py,decorating_function,[user_function:Any],None,/app/Repos/pandas/pandas/compat/chainmap_impl.py,recursive_repr,[fillvalue:Any],None
/app/Repos/pandas/pandas/compat/chainmap_impl.py,decorating_function,[user_function:Any],None,/app/Repos/pandas/pandas/compat/chainmap_impl.py,wrapper,[self:Any],None
/app/Repos/pandas/pandas/compat/chainmap_impl.py,recursive_repr,[fillvalue:Any],None,/app/Repos/pandas/pandas/compat/chainmap_impl.py,wrapper,[self:Any],None
/app/Repos/pandas/pandas/core/arrays/_ranges.py,generate_regular_range,[start:Any;end:Any;periods:Any;freq:Any],None,/app/Repos/pandas/pandas/core/arrays/timedeltas.py,_generate_regular_range,[start:Any;end:Any;periods:Any;offset:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,repeat,[self:Any;repeats:Any;axis:Any],None,/app/Repos/pandas/pandas/core/indexes/base.py,repeat,[self:Any;repeats:Any;axis:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,shift,[self:Any;periods:Any;fill_value:Any],None,/app/Repos/pandas/pandas/core/arrays/sparse.py,shift,[self:Any;periods:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/arrays/categorical.py,_slice,[self:Any;slicer:Any],None,/app/Repos/pandas/pandas/core/internals/blocks.py,_slice,[self:Any;slicer:Any],None
/app/Repos/pandas/pandas/core/arrays/categorical.py,astype,[self:Any;dtype:Any;copy:Any],None,/app/Repos/pandas/pandas/core/arrays/interval.py,astype,[self:Any;dtype:Any;copy:Any],None
/app/Repos/pandas/pandas/core/arrays/categorical.py,astype,[self:Any;dtype:Any;copy:Any],None,/app/Repos/pandas/pandas/core/indexes/base.py,astype,[self:Any;dtype:Any;copy:Any],None
/app/Repos/pandas/pandas/core/arrays/categorical.py,astype,[self:Any;dtype:Any;copy:Any],None,/app/Repos/pandas/pandas/tests/extension/test_common.py,astype,[self:Any;dtype:Any;copy:Any],None
/app/Repos/pandas/pandas/core/arrays/categorical.py,repeat,[self:Any;repeats:Any;axis:Any],None,/app/Repos/pandas/pandas/core/indexes/base.py,repeat,[self:Any;repeats:Any;axis:Any],None
/app/Repos/pandas/pandas/core/arrays/datetimelike.py,take,[self:Any;indices:Any;allow_fill:Any;fill_value:Any],None,/app/Repos/pandas/pandas/tests/extension/arrow/bool.py,take,[self:Any;indices:Any;allow_fill:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/arrays/datetimes.py,astype,[self:Any;dtype:Any;copy:Any],None,/app/Repos/pandas/pandas/tests/extension/arrow/bool.py,astype,[self:Any;dtype:Any;copy:Any],None
/app/Repos/pandas/pandas/core/arrays/datetimes.py,wrapper,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/arrays/timedeltas.py,_td_array_cmp,[cls:Any;op:Any],None
/app/Repos/pandas/pandas/core/arrays/interval.py,_format_data,[self:Any],None,/app/Repos/pandas/pandas/io/formats/printing.py,format_object_summary,[obj:Any;formatter:Any;is_justify:Any;name:Any;indent_for_name:Any],None
/app/Repos/pandas/pandas/core/arrays/interval.py,take,[self:Any;indices:Any;allow_fill:Any;fill_value:Any;axis:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/arrays/numpy_.py,take,[self:Any;indices:Any;allow_fill:Any;fill_value:Any],None
/app/Repos/pandas/pandas/core/arrays/numpy_.py,kurt,[self:Any;axis:Any;dtype:Any;out:Any;keepdims:Any;skipna:Any],None,/app/Repos/pandas/pandas/core/arrays/numpy_.py,mean,[self:Any;axis:Any;dtype:Any;out:Any;keepdims:Any;skipna:Any],None
