A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;keep:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;sort:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;keep:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;sort:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;sort:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;sort:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any;use_numexpr:Any;threads:Any],None,/app/Repos/pandas/asv_bench/benchmarks/eval.py,setup,[self:Any;engine:Any;threads:Any],None
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,setup,[self:Any;convert_dates:Any],None
/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;dropna:Any],None,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;dropna:Any],None,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any;axis:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any;how:Any;axis:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any;axis:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any;how:Any;axis:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None
