A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,_generate_dataframe,[],None,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,setup,[self:Any;format:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,setup,[self:Any;convert_dates:Any],None
/app/Repos/pandas/pandas/_config/config.py,inner,[x:Any],None,/app/Repos/pandas/pandas/_config/config.py,is_one_of_factory,[legal_values:Any],None
/app/Repos/pandas/pandas/_config/config.py,pp,[name:str;ks:Iterable[str]],List[str],/app/Repos/pandas/pandas/_config/config.py,pp_options_list,[keys:Any;width:Any;_print:Any],None
/app/Repos/pandas/pandas/_version.py,render_pep440_post,[pieces:Any],None,/app/Repos/pandas/versioneer.py,render_pep440,[pieces:Any],None
/app/Repos/pandas/pandas/_version.py,render_pep440_pre,[pieces:Any],None,/app/Repos/pandas/versioneer.py,render_git_describe,[pieces:Any],None
/app/Repos/pandas/pandas/_version.py,render_pep440_pre,[pieces:Any],None,/app/Repos/pandas/versioneer.py,render_pep440,[pieces:Any],None
/app/Repos/pandas/pandas/_version.py,render_pep440_pre,[pieces:Any],None,/app/Repos/pandas/versioneer.py,render_pep440_old,[pieces:Any],None
/app/Repos/pandas/pandas/_version.py,render_pep440_pre,[pieces:Any],None,/app/Repos/pandas/versioneer.py,render_pep440_post,[pieces:Any],None
/app/Repos/pandas/pandas/core/accessor.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:Any;typ:Any;overwrite:Any],None,/app/Repos/pandas/pandas/core/accessor.py,_create_delegator_method,[name:Any],None
/app/Repos/pandas/pandas/core/accessor.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:Any;typ:Any;overwrite:Any],None,/app/Repos/pandas/pandas/core/accessor.py,_create_delegator_property,[name:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,__repr__,[self:Any],str,/app/Repos/pandas/pandas/core/arrays/interval.py,__repr__,[self:Any],str
/app/Repos/pandas/pandas/core/arrays/base.py,fillna,[self:Any;value:Any;method:Any;limit:Any],None,/app/Repos/pandas/pandas/core/arrays/numpy_.py,fillna,[self:Any;value:Any;method:Any;limit:Any],None
/app/Repos/pandas/pandas/core/arrays/boolean.py,__array_ufunc__,[self:Any;ufunc:Any;method:Any;*inputs:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/arrays/categorical.py,__array_ufunc__,[self:Any;ufunc:Any;method:Any;*inputs:Any;**kwargs:Any],None
