A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;unique:Any;keep:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;unique:Any;sort:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,setup,[self:Any;opname:Any],None,/app/Repos/pandas/pandas/tests/frame/test_arithmetic.py,test_floordiv_axis0_numexpr_path,[self:Any;opname:Any],None
/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,setup,[self:Any;use_numexpr:Any;threads:Any],None,/app/Repos/pandas/asv_bench/benchmarks/eval.py,setup,[self:Any;engine:Any;threads:Any],None
/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,setup,[self:Any;convert_dates:Any],None
/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/timeseries.py,setup,[self:Any;monotonic:Any],None
/app/Repos/pandas/asv_bench/benchmarks/array.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/array.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_cython,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_numba,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_cython,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_cython,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_cython,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_numba,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_numba,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_cython,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_numba,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_numba,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_cython,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_numba,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;dtype:Any;function:Any;engine:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window_size:Any;dtype:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;dtype:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window_size:Any;dtype:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;function:Any;raw:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window_size:Any;dtype:Any;method:Any],None
