A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;keep:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;sort:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;keep:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;sort:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;sort:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,setup,[self:Any;sort:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any;use_numexpr:Any;threads:Any],None,/app/Repos/pandas/asv_bench/benchmarks/eval.py,setup,[self:Any;engine:Any;threads:Any],None
/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,setup,[self:Any;convert_dates:Any],None
/app/Repos/pandas/asv_bench/benchmarks/timeseries.py,setup,[self:Any;monotonic:Any],None,/app/Repos/pandas/asv_bench/benchmarks/timeseries.py,setup,[self:Any],None
/app/Repos/pandas/pandas/_testing.py,_raise,[left:Any;right:Any;err_msg:Any],None,/app/Repos/pandas/pandas/_testing.py,assert_numpy_array_equal,[left:Any;right:Any;strict_nan:Any;check_dtype:Any;err_msg:Any;check_same:Any;obj:Any],None
/app/Repos/pandas/pandas/_testing.py,makeMissingCustomDataframe,[nrows:Any;ncols:Any;density:Any;random_state:Any;c_idx_names:Any;r_idx_names:Any;c_idx_nlevels:Any;r_idx_nlevels:Any;data_gen_f:Any;c_ndupe_l:Any;r_ndupe_l:Any;dtype:Any;c_idx_type:Any;r_idx_type:Any],None,/app/Repos/pandas/pandas/_testing.py,makeMissingDataframe,[density:Any;random_state:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,repeat,[self:Any;repeats:Any;axis:Any],None,/app/Repos/pandas/pandas/core/arrays/categorical.py,repeat,[self:Any;repeats:Any;axis:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,shift,[self:Any;periods:int;fill_value:object],ABCExtensionArray,/app/Repos/pandas/pandas/core/arrays/interval.py,shift,[self:Any;periods:int;fill_value:object],ABCExtensionArray
/app/Repos/pandas/pandas/core/arrays/base.py,shift,[self:Any;periods:int;fill_value:object],ABCExtensionArray,/app/Repos/pandas/pandas/core/arrays/sparse/array.py,shift,[self:Any;periods:Any;fill_value:Any],None
