A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,setup,[self:Any;opname:Any],None,/app/Repos/pandas/pandas/tests/frame/test_arithmetic.py,test_floordiv_axis0_numexpr_path,[self:Any;opname:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/tslibs/timestamp.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/scalar/timestamp/test_unary_ops.py,test_replace_tzinfo,[self:Any],None
/app/Repos/pandas/pandas/_testing.py,_check_types,[l:Any;r:Any;obj:Any],None,/app/Repos/pandas/pandas/_testing.py,assert_index_equal,[left:Index;right:Index;exact:Union[bool;check_names:bool;check_less_precise:Union[bool;check_exact:bool;check_categorical:bool;obj:str],None
/app/Repos/pandas/pandas/_testing.py,_get_ilevel_values,[index:Any;level:Any],None,/app/Repos/pandas/pandas/_testing.py,assert_index_equal,[left:Index;right:Index;exact:Union[bool;check_names:bool;check_less_precise:Union[bool;check_exact:bool;check_categorical:bool;obj:str],None
/app/Repos/pandas/pandas/core/apply.py,infer_to_same_shape,"[self:Any;results:ResType;res_index:""Index""]",DataFrame,/app/Repos/pandas/pandas/core/apply.py,wrap_results_for_axis,"[self:Any;results:ResType;res_index:""Index""]",DataFrame
/app/Repos/pandas/pandas/core/arrays/_ranges.py,generate_regular_range,[start:Timestamp;end:Timestamp;periods:int;freq:DateOffset],Tuple[np.ndarray;str],/app/Repos/pandas/pandas/core/arrays/timedeltas.py,_generate_regular_range,[start:Any;end:Any;periods:Any;offset:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,_binop,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/arrays/base.py,_create_method,[cls:Any;op:Any;coerce_to_dtype:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,_create_method,[cls:Any;op:Any;coerce_to_dtype:Any],None,/app/Repos/pandas/pandas/core/arrays/base.py,_maybe_convert,[arr:Any],None
/app/Repos/pandas/pandas/core/arrays/base.py,shift,[self:Any;periods:int;fill_value:object],ExtensionArray,/app/Repos/pandas/pandas/core/arrays/interval.py,shift,[self:Any;periods:int;fill_value:object],ABCExtensionArray
/app/Repos/pandas/pandas/core/arrays/boolean.py,__setitem__,[self:Any;key:Any;value:Any],None,/app/Repos/pandas/pandas/core/arrays/integer.py,__setitem__,[self:Any;key:Any;value:Any],None
/app/Repos/pandas/pandas/core/arrays/boolean.py,_create_arithmetic_method,[cls:Any;op:Any],None,/app/Repos/pandas/pandas/core/arrays/boolean.py,_create_comparison_method,[cls:Any;op:Any],None
/app/Repos/pandas/pandas/core/arrays/boolean.py,_create_comparison_method,[cls:Any;op:Any],None,/app/Repos/pandas/pandas/core/arrays/boolean.py,boolean_arithmetic_method,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/arrays/boolean.py,_reduce,[self:Any;name:str;skipna:bool;**kwargs:Any],None,/app/Repos/pandas/pandas/core/arrays/integer.py,_reduce,[self:Any;name:str;skipna:bool;**kwargs:Any],None
/app/Repos/pandas/pandas/core/arrays/boolean.py,boolean_arithmetic_method,[self:Any;other:Any],None,/app/Repos/pandas/pandas/core/arrays/boolean.py,cmp_method,[self:Any;other:Any],None
/app/Repos/pandas/pandas/core/arrays/categorical.py,_reduce,[self:Any;name:Any;axis:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/core/base.py,_reduce,[self:Any;op:Any;name:str;axis:Any;skipna:Any;numeric_only:Any;filter_type:Any;**kwds:Any],None
