A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any;parallel:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any;parallel:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_cython,[self:Any;parallel:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_numba,[self:Any;parallel:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_cython,[self:Any;parallel:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_cython,[self:Any;parallel:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_cython,[self:Any;parallel:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_numba,[self:Any;parallel:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_numba,[self:Any;parallel:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_cython,[self:Any;parallel:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_numba,[self:Any;parallel:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_numba,[self:Any;parallel:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_cython,[self:Any;parallel:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_numba,[self:Any;parallel:Any],None
/app/Repos/pandas/asv_bench/benchmarks/hash_functions.py,setup,[self:Any;index:Any;N:Any],None,/app/Repos/pandas/asv_bench/benchmarks/hash_functions.py,setup,[self:Any;index:Any;N:Any],None
/app/Repos/pandas/asv_bench/benchmarks/hash_functions.py,setup,[self:Any;index:Any;N:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any;index:Any;index_structure:Any],None
/app/Repos/pandas/asv_bench/benchmarks/reshape.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/frame/test_stack_unstack.py,test_unstack_sparse_keyspace,[self:Any],None
