A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_cython,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_numba,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_cython,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_cython,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_cython,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_numba,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_numba,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_cython,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_dataframe_numba,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_numba,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_cython,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,time_series_numba,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/reshape.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_multilevel.py,test_unstack_sparse_keyspace,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;dtype:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window_size:Any;dtype:Any;method:Any],None
/app/Repos/pandas/pandas/_testing.py,_check_types,[l:Any;r:Any;obj:Any],None,/app/Repos/pandas/pandas/_testing.py,assert_index_equal,[left:Index;right:Index;exact:Union[bool;check_names:bool;check_less_precise:Union[bool;check_exact:bool;check_categorical:bool;rtol:float;atol:float;obj:str],None
/app/Repos/pandas/pandas/_testing.py,_get_ilevel_values,[index:Any;level:Any],None,/app/Repos/pandas/pandas/_testing.py,assert_index_equal,[left:Index;right:Index;exact:Union[bool;check_names:bool;check_less_precise:Union[bool;check_exact:bool;check_categorical:bool;rtol:float;atol:float;obj:str],None
/app/Repos/pandas/pandas/_testing.py,assert_datetime_array_equal,[left:Any;right:Any;obj:Any],None,/app/Repos/pandas/pandas/_testing.py,assert_period_array_equal,[left:Any;right:Any;obj:Any],None
/app/Repos/pandas/pandas/_testing.py,assert_datetime_array_equal,[left:Any;right:Any;obj:Any],None,/app/Repos/pandas/pandas/_testing.py,assert_timedelta_array_equal,[left:Any;right:Any;obj:Any],None
/app/Repos/pandas/pandas/_testing.py,assert_period_array_equal,[left:Any;right:Any;obj:Any],None,/app/Repos/pandas/pandas/_testing.py,assert_timedelta_array_equal,[left:Any;right:Any;obj:Any],None
/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__class_getitem__,[cls:Any;params:Any],None,/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__getitem__,[self:Any;params:Any],None
/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__getitem__,[self:Any;item:Any],None,/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__getitem__,[self:Any;item:Any],None
/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__init__,[cls:Any;*args:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/_vendored/typing_extensions.py,_proto_hook,[other:Any],None
/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__init_subclass__,[cls:Any;*args:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/_vendored/typing_extensions.py,_proto_hook,[other:Any],None
/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__instancecheck__,[cls:Any;instance:Any],None,/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__instancecheck__,[self:Any;instance:Any],None
/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__new__,[cls:Any;*args:Any;**kwds:Any],None,/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__new__,[cls:Any;*args:Any;**kwds:Any],None
/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__new__,[cls:Any;name:Any;bases:Any;namespace:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/_vendored/typing_extensions.py,__new__,[cls:Any;name:Any;bases:Any;namespace:Any;tvars:Any;args:Any;origin:Any;extra:Any;orig_bases:Any],None
