A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/algos/isin.py,setup,[self:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any;dropna:Any],None
/app/Repos/pandas/asv_bench/benchmarks/algos/isin.py,setup,[self:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,setup,[self:Any;skiprows:Any;engine:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,time_baseline,[self:Any;engine:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,time_multiple_date,[self:Any;engine:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;dtype:Any;function:Any;engine:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;dtype:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;dtype:Any;function:Any;engine:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;function:Any;raw:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;dtype:Any;function:Any;engine:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;dtype:Any;function:Any;engine:Any;method:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,setup,[self:Any;constructor:Any;window:Any;dtype:Any;percentile:Any;interpolation:Any],None
/app/Repos/pandas/asv_bench/benchmarks/rolling.py,time_groupby,[self:Any;window:Any;method:Any;pairwise:Any],None,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,time_pairwise,[self:Any;window:Any;method:Any;pairwise:Any],None
/app/Repos/pandas/pandas/_testing/__init__.py,getMixedTypeDict,[],None,/app/Repos/pandas/pandas/tests/io/json/test_pandas.py,test_roundtrip_mixed,[self:Any;request:Any;orient:Any;convert_axes:Any;numpy:Any],None
/app/Repos/pandas/pandas/_testing/__init__.py,get_op_from_name,[op_name:str],Callable,/app/Repos/pandas/pandas/tests/arrays/boolean/test_logical.py,get_op_from_name,[self:Any;op_name:Any],None
/app/Repos/pandas/pandas/_testing/__init__.py,inner,[*args:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/_testing/__init__.py,test_parallel,[num_threads:Any;kwargs_list:Any],None
/app/Repos/pandas/pandas/_testing/__init__.py,inner,[*args:Any;**kwargs:Any],None,/app/Repos/pandas/pandas/_testing/__init__.py,wrapper,[func:Any],None
/app/Repos/pandas/pandas/_testing/__init__.py,test_parallel,[num_threads:Any;kwargs_list:Any],None,/app/Repos/pandas/pandas/_testing/__init__.py,wrapper,[func:Any],None
/app/Repos/pandas/pandas/_testing/_io.py,network,[t:Any;url:Any;raise_on_error:Any;check_before_test:Any;error_classes:Any;skip_errnos:Any;_skip_on_messages:Any],None,/app/Repos/pandas/pandas/_testing/_io.py,wrapper,[*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/_testing/_io.py,optional_args,[decorator:Any],None,/app/Repos/pandas/pandas/_testing/_io.py,wrapper,[*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/_testing/_io.py,round_trip_localpath,[writer:Any;reader:Any;path:Optional[str]],None,/app/Repos/pandas/pandas/_testing/_io.py,round_trip_pathlib,[writer:Any;reader:Any;path:Optional[str]],None
/app/Repos/pandas/pandas/_testing/_random.py,rands_array,[nchars:Any;size:Any;dtype:Any],None,/app/Repos/pandas/pandas/_testing/_random.py,randu_array,[nchars:Any;size:Any;dtype:Any],None
/app/Repos/pandas/pandas/_testing/asserters.py,_check_types,[left:Any;right:Any;obj:Any],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_index_equal,[left:Index;right:Index;exact:Union[bool;check_names:bool;check_less_precise:Union[bool;check_exact:bool;check_categorical:bool;check_order:bool;rtol:float;atol:float;obj:str],None
