A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/algos/isin.py,setup,[self:Any;dtype:Any;MaxNumber:Any;series_type:Any],None,/app/Repos/pandas/asv_bench/benchmarks/algos/isin.py,setup,[self:Any;dtype:Any;series_type:Any],None
/app/Repos/pandas/asv_bench/benchmarks/algos/isin.py,setup,[self:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/strings.py,setup,[self:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any;factor:Any],None,/app/Repos/pandas/pandas/tests/groupby/test_apply.py,test_fast_apply,[],None
/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,setup,[self:Any;engine_and_dtype:Any;index_type:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,setup,[self:Any;index_type:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,setup,[self:Any;engine_and_dtype:Any;index_type:Any],None,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,setup,[self:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/json.py,peakmem_to_json_wide,[self:Any;orient:Any;frame:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,time_to_json_wide,[self:Any;orient:Any;frame:Any],None
/app/Repos/pandas/asv_bench/benchmarks/tslibs/offsets.py,setup,[self:Any;offset:Any],None,/app/Repos/pandas/pandas/tests/tseries/offsets/test_yqm_offsets.py,test_on_offset,[offset:Any],None
/app/Repos/pandas/pandas/conftest.py,any_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/conftest.py,nullable_string_dtype,[request:Any],None
/app/Repos/pandas/pandas/conftest.py,nullable_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/tests/extension/base/casting.py,test_astype_string,[self:Any;data:Any;nullable_string_dtype:Any],None
/app/Repos/pandas/pandas/conftest.py,nullable_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/tests/frame/methods/test_astype.py,test_astype_ignores_errors_for_extension_dtypes,[self:Any;data:Any;dtype:Any;errors:Any],None
/app/Repos/pandas/pandas/conftest.py,nullable_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/tests/series/methods/test_astype.py,test_astype_ignores_errors_for_extension_dtypes,[self:Any;data:Any;dtype:Any;errors:Any],None
/app/Repos/pandas/pandas/core/algorithms.py,_get_score,[at:Any],None,/app/Repos/pandas/pandas/core/algorithms.py,quantile,[x:Any;q:Any;interpolation_method:Any],None
/app/Repos/pandas/pandas/core/apply.py,__init__,[self:Any;obj:GroupBy[FrameOrSeries];func:AggFuncType;args:Any;kwargs:Any],None,/app/Repos/pandas/pandas/core/apply.py,__init__,[self:Any;obj:Resampler|BaseWindow;func:AggFuncType;args:Any;kwargs:Any],None
/app/Repos/pandas/pandas/core/apply.py,__init__,[self:Any;obj:GroupBy[FrameOrSeries];func:AggFuncType;args:Any;kwargs:Any],None,/app/Repos/pandas/pandas/core/apply.py,__init__,[self:Any;obj:Series;func:AggFuncType;convert_dtype:bool;args:Any;kwargs:Any],None
/app/Repos/pandas/pandas/core/apply.py,apply,[self:Any],FrameOrSeriesUnion,/app/Repos/pandas/pandas/core/apply.py,apply,[self:Any],FrameOrSeriesUnion
/app/Repos/pandas/pandas/core/apply.py,infer_to_same_shape,[self:Any;results:ResType;res_index:Index],DataFrame,/app/Repos/pandas/pandas/core/apply.py,wrap_results_for_axis,[self:Any;results:ResType;res_index:Index],FrameOrSeriesUnion
/app/Repos/pandas/pandas/core/apply.py,wrap_results_for_axis,[self:Any;results:ResType;res_index:Index],FrameOrSeriesUnion,/app/Repos/pandas/pandas/core/apply.py,wrap_results_for_axis,[self:Any;results:ResType;res_index:Index],FrameOrSeriesUnion
/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,_minmax,[func:Callable;values:np.ndarray;mask:np.ndarray;skipna:bool],None,/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,_sumprod,[func:Callable;values:np.ndarray;mask:np.ndarray;skipna:bool;min_count:int],None
