A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/gil.py,inner,[*args:Any;**kwargs:Any],None,/app/Repos/pandas/asv_bench/benchmarks/gil.py,test_parallel,[num_threads:Any;kwargs_list:Any],None
/app/Repos/pandas/asv_bench/benchmarks/gil.py,inner,[*args:Any;**kwargs:Any],None,/app/Repos/pandas/asv_bench/benchmarks/gil.py,wrapper,[func:Any],None
/app/Repos/pandas/asv_bench/benchmarks/gil.py,test_parallel,[num_threads:Any;kwargs_list:Any],None,/app/Repos/pandas/asv_bench/benchmarks/gil.py,wrapper,[func:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any;index:Any;index_structure:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any;index:Any;index_structure:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,setup,[self:Any;obs:Any],None,/app/Repos/pandas/asv_bench/benchmarks/strftime.py,setup,[self:Any;obs:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,time_read_excel,[self:Any;engine:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,time_read_excel,[self:Any;engine:Any],None
/app/Repos/pandas/asv_bench/benchmarks/multiindex_object.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/multiindex_object.py,setup,[self:Any],None
/app/Repos/pandas/pandas/_config/config.py,config_prefix,[prefix:Any],Iterator[None],/app/Repos/pandas/pandas/_config/config.py,wrap,[func:F],F
/app/Repos/pandas/pandas/_testing/asserters.py,_raise,[left:Any;right:Any;err_msg:Any],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_numpy_array_equal,"[left:Any;right:Any;strict_nan:Any;check_dtype:bool|Literal[""equiv""];err_msg:Any;check_same:Any;obj:Any;index_values:Any]",None
/app/Repos/pandas/pandas/conftest.py,datapath,[strict_data_files:str],Callable[...;str],/app/Repos/pandas/pandas/conftest.py,deco,[*args:Any],None
/app/Repos/pandas/pandas/conftest.py,lexsorted_two_level_string_multiindex,[],MultiIndex,/app/Repos/pandas/pandas/tests/indexes/multi/test_monotonic.py,test_is_monotonic_decreasing,[],None
/app/Repos/pandas/pandas/conftest.py,lexsorted_two_level_string_multiindex,[],MultiIndex,/app/Repos/pandas/pandas/tests/indexes/multi/test_monotonic.py,test_is_monotonic_increasing,[],None
/app/Repos/pandas/pandas/conftest.py,lexsorted_two_level_string_multiindex,[],MultiIndex,/app/Repos/pandas/pandas/tests/io/pytables/test_select.py,test_select_columns_in_where,[setup_path:Any],None
/app/Repos/pandas/pandas/conftest.py,mixed_type_frame,[],DataFrame,/app/Repos/pandas/pandas/tests/frame/methods/test_get_numeric_data.py,test_get_numeric_data,[self:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,column_looper,[values:np.ndarray;start:np.ndarray;end:np.ndarray;min_periods:int;*args:Any],None,/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None
/app/Repos/pandas/pandas/core/_numba/executor.py,column_looper,[values:np.ndarray;start:np.ndarray;end:np.ndarray;min_periods:int;*args:Any],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_table_func,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/groupby/numba_.py,generate_numba_agg_func,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],Callable[[np.ndarray;np.ndarray;np.ndarray;np.ndarray;int;Any];np.ndarray]
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/groupby/numba_.py,generate_numba_transform_func,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],Callable[[np.ndarray;np.ndarray;np.ndarray;np.ndarray;int;Any];np.ndarray]
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_manual_numpy_nan_agg_with_axis,[nan_func:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_apply_func,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_ewm_func,[nopython:bool;nogil:bool;parallel:bool;com:float;adjust:bool;ignore_na:bool;deltas:tuple;normalize:bool],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_ewm_table_func,[nopython:bool;nogil:bool;parallel:bool;com:float;adjust:bool;ignore_na:bool;deltas:tuple;normalize:bool],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_table_func,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None
/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,add_mean,[val:float;nobs:int;sum_x:float;neg_ct:int;compensation:float;num_consecutive_same_value:int;prev_value:float],tuple[int;float;int;float;int;float],/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,remove_mean,[val:float;nobs:int;sum_x:float;neg_ct:int;compensation:float],tuple[int;float;int;float]
/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,add_mean,[val:float;nobs:int;sum_x:float;neg_ct:int;compensation:float;num_consecutive_same_value:int;prev_value:float],tuple[int;float;int;float;int;float],/app/Repos/pandas/pandas/core/_numba/kernels/sum_.py,add_sum,[val:float;nobs:int;sum_x:float;compensation:float;num_consecutive_same_value:int;prev_value:float],tuple[int;float;float;int;float]
/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,add_mean,[val:float;nobs:int;sum_x:float;neg_ct:int;compensation:float;num_consecutive_same_value:int;prev_value:float],tuple[int;float;int;float;int;float],/app/Repos/pandas/pandas/core/_numba/kernels/sum_.py,remove_sum,[val:float;nobs:int;sum_x:float;compensation:float],tuple[int;float;float]
/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,add_mean,[val:float;nobs:int;sum_x:float;neg_ct:int;compensation:float;num_consecutive_same_value:int;prev_value:float],tuple[int;float;int;float;int;float],/app/Repos/pandas/pandas/core/_numba/kernels/var_.py,add_var,[val:float;nobs:int;mean_x:float;ssqdm_x:float;compensation:float;num_consecutive_same_value:int;prev_value:float],tuple[int;float;float;float;int;float]
/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,remove_mean,[val:float;nobs:int;sum_x:float;neg_ct:int;compensation:float],tuple[int;float;int;float],/app/Repos/pandas/pandas/core/_numba/kernels/sum_.py,add_sum,[val:float;nobs:int;sum_x:float;compensation:float;num_consecutive_same_value:int;prev_value:float],tuple[int;float;float;int;float]
/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,remove_mean,[val:float;nobs:int;sum_x:float;neg_ct:int;compensation:float],tuple[int;float;int;float],/app/Repos/pandas/pandas/core/_numba/kernels/var_.py,add_var,[val:float;nobs:int;mean_x:float;ssqdm_x:float;compensation:float;num_consecutive_same_value:int;prev_value:float],tuple[int;float;float;float;int;float]
