A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/array.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/array.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/hash_functions.py,setup,[self:Any;index:Any;N:Any],None,/app/Repos/pandas/asv_bench/benchmarks/hash_functions.py,setup,[self:Any;index:Any;N:Any],None
/app/Repos/pandas/asv_bench/benchmarks/hash_functions.py,setup,[self:Any;index:Any;N:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any;index:Any;index_structure:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any;index:Any;index_structure:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any;index:Any;index_structure:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,time_read_excel,[self:Any;engine:Any],None,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,time_read_excel,[self:Any;engine:Any],None
/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,setup,[self:Any;level:Any;op:Any],None
/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,setup,[self:Any;level:Any;op:Any],None,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,setup,[self:Any;level:Any;op:Any],None
/app/Repos/pandas/asv_bench/benchmarks/tslibs/offsets.py,setup,[self:Any;offset:Any],None,/app/Repos/pandas/pandas/tests/tseries/offsets/test_quarter.py,test_on_offset,[offset:Any],None
/app/Repos/pandas/pandas/_config/config.py,config_prefix,[prefix:Any],Iterator[None],/app/Repos/pandas/pandas/_config/config.py,wrap,[func:F],F
/app/Repos/pandas/pandas/_config/config.py,pp,[name:str;ks:Iterable[str]],list[str],/app/Repos/pandas/pandas/_config/config.py,pp_options_list,[keys:Iterable[str];width:Any;_print:bool],None
/app/Repos/pandas/pandas/_testing/__init__.py,getMixedTypeDict,[],None,/app/Repos/pandas/pandas/tests/io/json/test_pandas.py,test_roundtrip_mixed,[self:Any;request:Any;orient:Any;convert_axes:Any;numpy:Any],None
/app/Repos/pandas/pandas/_testing/_io.py,network,[t:Any;url:Any;raise_on_error:Any;check_before_test:Any;error_classes:Any;skip_errnos:Any;_skip_on_messages:Any],None,/app/Repos/pandas/pandas/_testing/_io.py,wrapper,[*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/_testing/asserters.py,_check_types,[left:Any;right:Any;obj:Any],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_index_equal,[left:Index;right:Index;exact:bool|str;check_names:bool;check_less_precise:bool|int|NoDefault;check_exact:bool;check_categorical:bool;check_order:bool;rtol:float;atol:float;obj:str],None
/app/Repos/pandas/pandas/_testing/asserters.py,_get_ilevel_values,[index:Any;level:Any],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_index_equal,[left:Index;right:Index;exact:bool|str;check_names:bool;check_less_precise:bool|int|NoDefault;check_exact:bool;check_categorical:bool;check_order:bool;rtol:float;atol:float;obj:str],None
/app/Repos/pandas/pandas/_testing/asserters.py,_raise,[left:Any;right:Any;err_msg:Any],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_numpy_array_equal,"[left:Any;right:Any;strict_nan:Any;check_dtype:bool|Literal[""equiv""];err_msg:Any;check_same:Any;obj:Any;index_values:Any]",None
/app/Repos/pandas/pandas/_testing/asserters.py,assert_datetime_array_equal,[left:Any;right:Any;obj:Any;check_freq:Any],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_period_array_equal,[left:Any;right:Any;obj:Any],None
/app/Repos/pandas/pandas/_testing/asserters.py,assert_datetime_array_equal,[left:Any;right:Any;obj:Any;check_freq:Any],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_timedelta_array_equal,[left:Any;right:Any;obj:Any;check_freq:Any],None
/app/Repos/pandas/pandas/_testing/asserters.py,assert_period_array_equal,[left:Any;right:Any;obj:Any],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_timedelta_array_equal,[left:Any;right:Any;obj:Any;check_freq:Any],None
/app/Repos/pandas/pandas/_version.py,git_get_keywords,[versionfile_abs:Any],None,/app/Repos/pandas/versioneer.py,git_get_keywords,[versionfile_abs:Any],None
/app/Repos/pandas/pandas/_version.py,git_pieces_from_vcs,[tag_prefix:Any;root:Any;verbose:Any;run_command:Any],None,/app/Repos/pandas/versioneer.py,git_pieces_from_vcs,[tag_prefix:Any;root:Any;verbose:Any;run_command:Any],None
/app/Repos/pandas/pandas/_version.py,git_versions_from_keywords,[keywords:Any;tag_prefix:Any;verbose:Any],None,/app/Repos/pandas/versioneer.py,git_versions_from_keywords,[keywords:Any;tag_prefix:Any;verbose:Any],None
/app/Repos/pandas/pandas/_version.py,render,[pieces:Any;style:Any],None,/app/Repos/pandas/versioneer.py,render,[pieces:Any;style:Any],None
