A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,setup,[self:Any;engine_and_dtype:Any;index_type:Any;unique:Any;N:Any],None,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,setup,[self:Any;engine_and_dtype:Any;index_type:Any;unique:Any;N:Any],None
/app/Repos/pandas/pandas/_config/config.py,config_prefix,[prefix:str],Generator[None;None;None],/app/Repos/pandas/pandas/_config/config.py,wrap,[func:F],F
/app/Repos/pandas/pandas/_testing/__init__.py,makeFloatIndex,[k:int;name:Any;dtype:Dtype],Index,/app/Repos/pandas/pandas/_testing/__init__.py,makeIntIndex,[k:int;name:Any;dtype:Dtype],Index
/app/Repos/pandas/pandas/_testing/__init__.py,makeFloatIndex,[k:int;name:Any;dtype:Dtype],Index,/app/Repos/pandas/pandas/_testing/__init__.py,makeNumericIndex,[k:int;name:Any;dtype:Dtype|None],Index
/app/Repos/pandas/pandas/_testing/__init__.py,makeFloatIndex,[k:int;name:Any;dtype:Dtype],Index,/app/Repos/pandas/pandas/_testing/__init__.py,makeUIntIndex,[k:int;name:Any;dtype:Dtype],Index
/app/Repos/pandas/pandas/_testing/__init__.py,makeIntIndex,[k:int;name:Any;dtype:Dtype],Index,/app/Repos/pandas/pandas/_testing/__init__.py,makeUIntIndex,[k:int;name:Any;dtype:Dtype],Index
/app/Repos/pandas/pandas/_testing/__init__.py,makeNumericIndex,[k:int;name:Any;dtype:Dtype|None],Index,/app/Repos/pandas/pandas/_testing/__init__.py,makeUIntIndex,[k:int;name:Any;dtype:Dtype],Index
/app/Repos/pandas/pandas/_testing/asserters.py,_check_types,[left:Any;right:Any;obj:str],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_series_equal,"[left:Any;right:Any;check_dtype:bool|Literal[""equiv""];check_index_type:bool|Literal[""equiv""];check_series_type:bool;check_names:bool;check_exact:bool;check_datetimelike_compat:bool;check_categorical:bool;check_category_order:bool;check_freq:bool;check_flags:bool;rtol:float;atol:float;obj:str;check_index:bool;check_like:bool]",None
/app/Repos/pandas/pandas/core/accessor.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:list[str];typ:str;overwrite:bool;accessor_mapping:Callable[[str];raise_on_missing:bool],None,/app/Repos/pandas/pandas/core/accessor.py,_create_delegator_method,[name:str],None
/app/Repos/pandas/pandas/core/accessor.py,_add_delegate_accessors,[cls:Any;delegate:Any;accessors:list[str];typ:str;overwrite:bool;accessor_mapping:Callable[[str];raise_on_missing:bool],None,/app/Repos/pandas/pandas/core/accessor.py,_create_delegator_property,[name:str],None
/app/Repos/pandas/pandas/core/accessor.py,_register_accessor,[name:str;cls:Any],None,/app/Repos/pandas/pandas/core/accessor.py,decorator,[accessor:Any],None
/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,max,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;axis:AxisInt|None],None,/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,std,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;axis:AxisInt|None;ddof:int],None
/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,mean,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;axis:AxisInt|None],None,/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,std,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;axis:AxisInt|None;ddof:int],None
/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,min,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;axis:AxisInt|None],None,/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,std,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;axis:AxisInt|None;ddof:int],None
/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,prod,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;min_count:int;axis:AxisInt|None],None,/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,std,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;axis:AxisInt|None;ddof:int],None
/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,std,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;axis:AxisInt|None;ddof:int],None,/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,sum,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;min_count:int;axis:AxisInt|None],None
/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,std,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;axis:AxisInt|None;ddof:int],None,/app/Repos/pandas/pandas/core/array_algos/masked_reductions.py,var,[values:np.ndarray;mask:npt.NDArray[np.bool_];skipna:bool;axis:AxisInt|None;ddof:int],None
/app/Repos/pandas/pandas/core/array_algos/replace.py,_check_comparison_types,[result:ArrayLike|bool;a:ArrayLike;b:Scalar|Pattern],None,/app/Repos/pandas/pandas/core/array_algos/replace.py,compare_or_regex_search,[a:ArrayLike;b:Scalar|Pattern;regex:bool;mask:npt.NDArray[np.bool_]],ArrayLike
/app/Repos/pandas/pandas/core/arrays/_mixins.py,_empty,[cls:Any;shape:Shape;dtype:ExtensionDtype],Self,/app/Repos/pandas/pandas/core/arrays/categorical.py,_empty,[cls:type_t[Categorical];shape:Shape;dtype:CategoricalDtype],Categorical
/app/Repos/pandas/pandas/core/arrays/_mixins.py,_fill_mask_inplace,[self:Any;method:str;limit:int|None;mask:npt.NDArray[np.bool_]],None,/app/Repos/pandas/pandas/core/arrays/_mixins.py,fillna,[self:Any;value:Any;method:Any;limit:int|None],Self
/app/Repos/pandas/pandas/core/arrays/_mixins.py,_fill_mask_inplace,[self:Any;method:str;limit:int|None;mask:npt.NDArray[np.bool_]],None,/app/Repos/pandas/pandas/core/arrays/base.py,_fill_mask_inplace,[self:Any;method:str;limit:int|None;mask:npt.NDArray[np.bool_]],None
