A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/frame/methods/test_copy.py,test_copy_consolidates,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/groupby.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/test_sorting.py,test_int64_overflow_groupby_large_df_shuffled,[self:Any;agg:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any;method:Any],None
/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,setup,[self:Any;obs:Any],None,/app/Repos/pandas/asv_bench/benchmarks/strftime.py,setup,[self:Any;obs:Any],None
/app/Repos/pandas/asv_bench/benchmarks/multiindex_object.py,setup,[self:Any],None,/app/Repos/pandas/pandas/tests/indexes/multi/test_duplicates.py,test_duplicated_large,[keep:Any],None
/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any;method:Any;constructor:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any;method:Any],None
/app/Repos/pandas/doc/source/conf.py,format_name,[self:Any],None,/app/Repos/pandas/pandas/core/strings/object_array.py,_str_removesuffix,[self:Any;suffix:str],Series
/app/Repos/pandas/pandas/_testing/__init__.py,makeFloatIndex,[k:int;name:Any;dtype:Dtype],Index,/app/Repos/pandas/pandas/_testing/__init__.py,makeNumericIndex,[k:int;name:Any;dtype:Dtype|None],Index
/app/Repos/pandas/pandas/_testing/_io.py,network,[t:Any;url:str;raise_on_error:bool;check_before_test:bool;error_classes:Any;skip_errnos:Any;_skip_on_messages:Any],None,/app/Repos/pandas/pandas/_testing/_io.py,wrapper,[*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/_testing/_io.py,optional_args,[decorator:Any],None,/app/Repos/pandas/pandas/_testing/_io.py,wrapper,[*args:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,column_looper,[values:np.ndarray;start:np.ndarray;end:np.ndarray;min_periods:int;*args:Any],None,/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None
/app/Repos/pandas/pandas/core/_numba/executor.py,column_looper,[values:np.ndarray;start:np.ndarray;end:np.ndarray;min_periods:int;*args:Any],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_table_func,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None
/app/Repos/pandas/pandas/core/_numba/executor.py,column_looper,[values:np.ndarray;start:np.ndarray;end:np.ndarray;min_periods:int;*args:Any],None,/app/Repos/pandas/pandas/core/window/numba_.py,roll_table,[values:np.ndarray;begin:np.ndarray;end:np.ndarray;minimum_periods:int;*args:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/groupby/numba_.py,generate_numba_agg_func,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],Callable[[np.ndarray;np.ndarray;np.ndarray;np.ndarray;int;Any];np.ndarray]
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/groupby/numba_.py,generate_numba_transform_func,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],Callable[[np.ndarray;np.ndarray;np.ndarray;np.ndarray;int;Any];np.ndarray]
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_manual_numpy_nan_agg_with_axis,[nan_func:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_apply_func,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_ewm_func,[nopython:bool;nogil:bool;parallel:bool;com:float;adjust:bool;ignore_na:bool;deltas:tuple;normalize:bool],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_ewm_table_func,[nopython:bool;nogil:bool;parallel:bool;com:float;adjust:bool;ignore_na:bool;deltas:tuple;normalize:bool],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/window/numba_.py,generate_numba_table_func,[func:Callable[...;nopython:bool;nogil:bool;parallel:bool],None
