A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/libs.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any;inplace:Any],None
/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,setup,[self:Any],None,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,setup,[self:Any],None
/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,setup,[self:Any;engine_and_dtype:Any;index_type:Any;unique:Any;N:Any],None,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,setup,[self:Any;dtype:Any],None
/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any;dtype:Any],None,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,setup,[self:Any;sort:Any],None
/app/Repos/pandas/asv_bench/benchmarks/tslibs/period.py,setup,[self:Any;size:Any;freq:Any;tz:Any],None,/app/Repos/pandas/asv_bench/benchmarks/tslibs/resolution.py,setup,[self:Any;unit:Any;size:Any;tz:Any],None
/app/Repos/pandas/asv_bench/benchmarks/tslibs/period.py,setup,[self:Any;size:Any;freq:Any;tz:Any],None,/app/Repos/pandas/asv_bench/benchmarks/tslibs/tslib.py,setup,[self:Any;box:Any;size:Any;tz:Any],None
/app/Repos/pandas/pandas/_testing/__init__.py,getMixedTypeDict,[],None,/app/Repos/pandas/pandas/tests/io/json/test_pandas.py,test_roundtrip_mixed,[self:Any;orient:Any;convert_axes:Any],None
/app/Repos/pandas/pandas/_testing/__init__.py,makeFloatIndex,[k:int;name:Any;dtype:Dtype],Index,/app/Repos/pandas/pandas/_testing/__init__.py,makeIntIndex,[k:int;name:Any;dtype:Dtype],Index
/app/Repos/pandas/pandas/_testing/__init__.py,makeFloatIndex,[k:int;name:Any;dtype:Dtype],Index,/app/Repos/pandas/pandas/_testing/__init__.py,makeUIntIndex,[k:int;name:Any;dtype:Dtype],Index
/app/Repos/pandas/pandas/_testing/__init__.py,makeIntIndex,[k:int;name:Any;dtype:Dtype],Index,/app/Repos/pandas/pandas/_testing/__init__.py,makeUIntIndex,[k:int;name:Any;dtype:Dtype],Index
/app/Repos/pandas/pandas/_testing/__init__.py,makeNumericIndex,[k:int;name:Any;dtype:Dtype|None],Index,/app/Repos/pandas/pandas/_testing/__init__.py,makeUIntIndex,[k:int;name:Any;dtype:Dtype],Index
/app/Repos/pandas/pandas/_testing/__init__.py,makePeriodSeries,[nper:Any;name:Any],Series,/app/Repos/pandas/pandas/_testing/__init__.py,makeTimeSeries,[nper:Any;freq:Frequency;name:Any],Series
/app/Repos/pandas/pandas/_testing/__init__.py,rands_array,[nchars:Any;size:int;dtype:NpDtype;replace:bool],np.ndarray,/app/Repos/pandas/pandas/tests/series/methods/test_astype.py,rand_str,[nchars:int],str
/app/Repos/pandas/pandas/_testing/asserters.py,_get_ilevel_values,[index:Any;level:Any],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_index_equal,[left:Index;right:Index;exact:bool|str;check_names:bool;check_exact:bool;check_categorical:bool;check_order:bool;rtol:float;atol:float;obj:str],None
/app/Repos/pandas/pandas/arrays/__init__.py,__getattr__,[name:str],None,/app/Repos/pandas/pandas/core/internals/__init__.py,__getattr__,[name:str],None
/app/Repos/pandas/pandas/conftest.py,_create_multiindex,[],None,/app/Repos/pandas/pandas/tests/indexes/multi/conftest.py,idx_dup,[],None
/app/Repos/pandas/pandas/conftest.py,mixed_type_frame,[],DataFrame,/app/Repos/pandas/pandas/tests/frame/methods/test_get_numeric_data.py,test_get_numeric_data,[self:Any],None
/app/Repos/pandas/pandas/conftest.py,tick_classes,[request:Any],None,/app/Repos/pandas/pandas/tests/tseries/offsets/conftest.py,month_classes,[request:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,column_looper,[values:np.ndarray;start:np.ndarray;end:np.ndarray;min_periods:int;*args:Any],None,/app/Repos/pandas/pandas/core/_numba/executor.py,make_looper,[func:Any;result_dtype:Any;nopython:Any;nogil:Any;parallel:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_shared_aggregator,[func:Callable[...;dtype_mapping:dict[np.dtype;nopython:bool;nogil:bool;parallel:bool],None,/app/Repos/pandas/pandas/core/_numba/executor.py,looper_wrapper,[values:Any;start:Any;end:Any;min_periods:Any;**kwargs:Any],None
/app/Repos/pandas/pandas/core/apply.py,apply,[self:Any],DataFrame|Series,/app/Repos/pandas/pandas/core/apply.py,apply,[self:Any],DataFrame|Series
/app/Repos/pandas/pandas/core/apply.py,apply_raw,[self:Any],None,/app/Repos/pandas/pandas/core/apply.py,wrap_function,[func:Any],None
/app/Repos/pandas/pandas/core/arrays/_mixins.py,_fill_mask_inplace,[self:Any;method:str;limit:int|None;mask:npt.NDArray[np.bool_]],None,/app/Repos/pandas/pandas/core/arrays/_mixins.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self
/app/Repos/pandas/pandas/core/arrays/_mixins.py,fillna,[self:Any;value:Any;method:Any;limit:int|None;copy:bool],Self,/app/Repos/pandas/pandas/core/arrays/_mixins.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self
/app/Repos/pandas/pandas/core/arrays/_mixins.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self
/app/Repos/pandas/pandas/core/arrays/_mixins.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self,/app/Repos/pandas/pandas/core/arrays/interval.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self
/app/Repos/pandas/pandas/core/arrays/_mixins.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self,/app/Repos/pandas/pandas/core/arrays/masked.py,fillna,[self:Any;value:Any;method:Any;limit:int|None;copy:bool],Self
/app/Repos/pandas/pandas/core/arrays/_mixins.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self,/app/Repos/pandas/pandas/core/arrays/masked.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self
/app/Repos/pandas/pandas/core/arrays/_mixins.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self,/app/Repos/pandas/pandas/core/arrays/sparse/array.py,pad_or_backfill,"[self:Any;method:FillnaOptions;limit:int|None;limit_area:Literal[""inside"";copy:bool]",Self
/app/Repos/pandas/pandas/core/arrays/_mixins.py,view,[self:Any;dtype:Dtype|None],ArrayLike,/app/Repos/pandas/pandas/core/construction.py,ensure_wrapped_if_datetimelike,[arr:Any],None
/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_maybe_convert_datelike_array,[self:Any],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,to_numpy,[self:Any;dtype:npt.DTypeLike|None;copy:bool;na_value:object],np.ndarray
/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_maybe_convert_setitem_value,[self:Any;value:Any],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,convert_fill_value,[value:Any;pa_type:Any;dtype:Any],None
/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_endswith,[self:Any;pat:str;na:Any],None,/app/Repos/pandas/pandas/core/arrays/string_arrow.py,_str_endswith,[self:Any;pat:str;na:Any],None
/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_endswith,[self:Any;pat:str;na:Any],None,/app/Repos/pandas/pandas/core/arrays/string_arrow.py,_str_startswith,[self:Any;pat:str;na:Any],None
/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_rsplit,[self:Any;pat:str|None;n:int|None],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_split,[self:Any;pat:str|None;n:int|None;expand:bool;regex:bool|None],None
/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_slice,[self:Any;start:int|None;stop:int|None;step:int|None],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_slice_replace,[self:Any;start:int|None;stop:int|None;repl:str|None],None
/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_startswith,[self:Any;pat:str;na:Any],None,/app/Repos/pandas/pandas/core/arrays/string_arrow.py,_str_endswith,[self:Any;pat:str;na:Any],None
/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_startswith,[self:Any;pat:str;na:Any],None,/app/Repos/pandas/pandas/core/arrays/string_arrow.py,_str_startswith,[self:Any;pat:str;na:Any],None
/app/Repos/pandas/pandas/core/arrays/arrow/array.py,convert_fill_value,[value:Any;pa_type:Any;dtype:Any],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,fillna,[self:Any;value:object|ArrayLike|None;method:FillnaOptions|None;limit:int|None;copy:bool],Self
/app/Repos/pandas/pandas/core/arrays/arrow/array.py,factorize,[self:Any;use_na_sentinel:bool],tuple[np.ndarray;ExtensionArray],/app/Repos/pandas/pandas/core/arrays/arrow/array.py,unique,[self:Any],Self
