A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/pandas/_config/config.py,config_prefix,[prefix:str],Generator[None],/app/Repos/pandas/pandas/_config/config.py,wrap,[func:F],F
/app/Repos/pandas/pandas/_testing/asserters.py,_check_types,[left:Any;right:Any;obj:str],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_index_equal,[left:Index;right:Index;exact:bool|str;check_names:bool;check_exact:bool;check_categorical:bool;check_order:bool;rtol:float;atol:float;obj:str|None],None
/app/Repos/pandas/pandas/_testing/contexts.py,setTZ,[tz:Any],None,/app/Repos/pandas/pandas/_testing/contexts.py,set_timezone,[tz:str],Generator[None]
/app/Repos/pandas/pandas/conftest.py,any_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/conftest.py,pyarrow_string_dtype,[request:Any],None
/app/Repos/pandas/pandas/conftest.py,any_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/conftest.py,string_dtype_arguments,[request:Any],None
/app/Repos/pandas/pandas/conftest.py,any_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/conftest.py,string_dtype_no_object,[request:Any],None
/app/Repos/pandas/pandas/conftest.py,pyarrow_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/conftest.py,string_dtype_arguments,[request:Any],None
/app/Repos/pandas/pandas/conftest.py,pyarrow_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/conftest.py,string_dtype_no_object,[request:Any],None
/app/Repos/pandas/pandas/conftest.py,string_dtype_arguments,[request:Any],None,/app/Repos/pandas/pandas/conftest.py,string_dtype_no_object,[request:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_apply_looper,[func:Any;nopython:Any;nogil:Any;parallel:Any],None,/app/Repos/pandas/pandas/core/_numba/executor.py,nb_looper,[values:Any;axis:Any;*args:Any],None
/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,grouped_mean,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int;skipna:bool],tuple[np.ndarray;list[int]],/app/Repos/pandas/pandas/core/_numba/kernels/sum_.py,grouped_sum,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int;skipna:bool],tuple[np.ndarray;list[int]]
/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,grouped_mean,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int;skipna:bool],tuple[np.ndarray;list[int]],/app/Repos/pandas/pandas/core/_numba/kernels/var_.py,grouped_var,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int;ddof:int;skipna:bool],tuple[np.ndarray;list[int]]
/app/Repos/pandas/pandas/core/_numba/kernels/sum_.py,grouped_kahan_sum,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;skipna:bool],tuple[np.ndarray;npt.NDArray[np.int64];np.ndarray;npt.NDArray[np.int64];np.ndarray],/app/Repos/pandas/pandas/core/_numba/kernels/var_.py,grouped_var,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int;ddof:int;skipna:bool],tuple[np.ndarray;list[int]]
/app/Repos/pandas/pandas/core/_numba/kernels/sum_.py,grouped_sum,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int;skipna:bool],tuple[np.ndarray;list[int]],/app/Repos/pandas/pandas/core/_numba/kernels/var_.py,grouped_var,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int;ddof:int;skipna:bool],tuple[np.ndarray;list[int]]
/app/Repos/pandas/pandas/core/apply.py,generate_numba_apply_func,[func:Any;nogil:Any;nopython:Any;parallel:Any],Callable[[npt.NDArray;Index;Index];dict[int;Any]],/app/Repos/pandas/pandas/core/apply.py,numba_func,[values:Any;col_names:Any;df_index:Any;*args:Any],None
/app/Repos/pandas/pandas/core/apply.py,generate_numba_apply_func,[func:Any;nogil:Any;nopython:Any;parallel:Any],Callable[[npt.NDArray;Index;Index];dict[int;Any]],/app/Repos/pandas/pandas/core/apply.py,numba_func,[values:Any;col_names_index:Any;index:Any;*args:Any],None
/app/Repos/pandas/pandas/core/apply.py,numba_func,[values:Any;col_names:Any;df_index:Any;*args:Any],None,/app/Repos/pandas/pandas/core/apply.py,numba_func,[values:Any;col_names_index:Any;index:Any;*args:Any],None
/app/Repos/pandas/pandas/core/array_algos/quantile.py,_nanquantile_1d,[values:np.ndarray;mask:npt.NDArray[np.bool_];qs:npt.NDArray[np.float64];na_value:Scalar;interpolation:str],Scalar|np.ndarray,/app/Repos/pandas/pandas/core/array_algos/quantile.py,quantile_with_mask,[values:np.ndarray;mask:npt.NDArray[np.bool_];fill_value:Any;qs:npt.NDArray[np.float64];interpolation:str],np.ndarray
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_endswith,[self:Any;pat:str|tuple[str;na:Scalar|lib.NoDefault],None,/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_startswith,[self:Any;pat:str|tuple[str;na:Scalar|lib.NoDefault],None
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_find,[self:Any;sub:str;start:int;end:int|None],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_index,[self:Any;sub:str;start:int;end:int|None],Self
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_find,[self:Any;sub:str;start:int;end:int|None],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_rfind,[self:Any;sub:str;start:int;end:Any],Self
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_find,[self:Any;sub:str;start:int;end:int|None],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_rindex,[self:Any;sub:str;start:int;end:int|None],Self
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_find,[self:Any;sub:str;start:int;end:int|None],None,/app/Repos/pandas/pandas/core/arrays/string_arrow.py,_str_find,[self:Any;sub:str;start:int;end:int|None],None
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_fullmatch,[self:Any;pat:Any;case:bool;flags:int;na:Scalar|lib.NoDefault],None,/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_match,[self:Any;pat:str;case:bool;flags:int;na:Scalar|lib.NoDefault],None
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_lstrip,[self:Any;to_strip:Any],Self,/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_rstrip,[self:Any;to_strip:Any],Self
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_lstrip,[self:Any;to_strip:Any],Self,/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_strip,[self:Any;to_strip:Any],Self
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_removeprefix,[self:Any;prefix:str],None,/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_removesuffix,[self:Any;suffix:str],None
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_removeprefix,[self:Any;prefix:str],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_partition,[self:Any;sep:str;expand:bool],Self
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_removeprefix,[self:Any;prefix:str],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_rpartition,[self:Any;sep:str;expand:bool],Self
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_removeprefix,[self:Any;prefix:str],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_translate,[self:Any;table:dict[int],Self
