A_path,A_method,A_args,A_ret,B_path,B_method,B_args,B_ret
/app/Repos/pandas/pandas/_config/config.py,config_prefix,[prefix:str],Generator[None;None;None],/app/Repos/pandas/pandas/_config/config.py,wrap,[func:F],F
/app/Repos/pandas/pandas/_testing/asserters.py,_check_types,[left:Any;right:Any;obj:str],None,/app/Repos/pandas/pandas/_testing/asserters.py,assert_index_equal,[left:Index;right:Index;exact:bool|str;check_names:bool;check_exact:bool;check_categorical:bool;check_order:bool;rtol:float;atol:float;obj:str],None
/app/Repos/pandas/pandas/_testing/contexts.py,setTZ,[tz:Any],None,/app/Repos/pandas/pandas/_testing/contexts.py,set_timezone,[tz:str],Generator[None;None;None]
/app/Repos/pandas/pandas/conftest.py,any_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/conftest.py,string_storage,[request:Any],None
/app/Repos/pandas/pandas/conftest.py,any_string_dtype,[request:Any],None,/app/Repos/pandas/pandas/tests/series/methods/test_rank.py,dtype,[request:Any],None
/app/Repos/pandas/pandas/conftest.py,int_frame,[],DataFrame,/app/Repos/pandas/pandas/tests/io/pytables/test_append.py,test_append_raise,[setup_path:Any],None
/app/Repos/pandas/pandas/conftest.py,int_frame,[],DataFrame,/app/Repos/pandas/pandas/tests/io/pytables/test_round_trip.py,test_frame,[compression:Any;setup_path:Any],None
/app/Repos/pandas/pandas/conftest.py,int_frame,[],DataFrame,/app/Repos/pandas/pandas/tests/io/pytables/test_store.py,test_contains,[setup_path:Any],None
/app/Repos/pandas/pandas/conftest.py,int_frame,[],DataFrame,/app/Repos/pandas/pandas/tests/io/pytables/test_store.py,test_repr,[setup_path:Any;performance_warning:Any],None
/app/Repos/pandas/pandas/conftest.py,multiindex_year_month_day_dataframe_random_data,[],None,/app/Repos/pandas/pandas/tests/groupby/test_groupby.py,test_groupby_multiple_key,[],None
/app/Repos/pandas/pandas/conftest.py,multiindex_year_month_day_dataframe_random_data,[],None,/app/Repos/pandas/pandas/tests/indexing/test_partial.py,test_setitem_with_expansion_numeric_into_datetimeindex,[self:Any;key:Any],None
/app/Repos/pandas/pandas/conftest.py,string_storage,[request:Any],None,/app/Repos/pandas/pandas/tests/series/methods/test_rank.py,dtype,[request:Any],None
/app/Repos/pandas/pandas/core/_numba/executor.py,generate_apply_looper,[func:Any;nopython:Any;nogil:Any;parallel:Any],None,/app/Repos/pandas/pandas/core/_numba/executor.py,nb_looper,[values:Any;axis:Any],None
/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,grouped_mean,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int],tuple[np.ndarray;list[int]],/app/Repos/pandas/pandas/core/_numba/kernels/sum_.py,grouped_sum,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int],tuple[np.ndarray;list[int]]
/app/Repos/pandas/pandas/core/_numba/kernels/mean_.py,grouped_mean,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int],tuple[np.ndarray;list[int]],/app/Repos/pandas/pandas/core/_numba/kernels/var_.py,grouped_var,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int;ddof:int],tuple[np.ndarray;list[int]]
/app/Repos/pandas/pandas/core/_numba/kernels/sum_.py,grouped_kahan_sum,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int],tuple[np.ndarray;npt.NDArray[np.int64];np.ndarray;npt.NDArray[np.int64];np.ndarray],/app/Repos/pandas/pandas/core/_numba/kernels/var_.py,grouped_var,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int;ddof:int],tuple[np.ndarray;list[int]]
/app/Repos/pandas/pandas/core/_numba/kernels/sum_.py,grouped_sum,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int],tuple[np.ndarray;list[int]],/app/Repos/pandas/pandas/core/_numba/kernels/var_.py,grouped_var,[values:np.ndarray;result_dtype:np.dtype;labels:npt.NDArray[np.intp];ngroups:int;min_periods:int;ddof:int],tuple[np.ndarray;list[int]]
/app/Repos/pandas/pandas/core/algorithms.py,value_counts_internal,[values:Any;sort:bool;ascending:bool;normalize:bool;bins:Any;dropna:bool],Series,/app/Repos/pandas/pandas/core/arrays/string_arrow.py,value_counts,[self:Any;dropna:bool],Series
/app/Repos/pandas/pandas/core/apply.py,generate_numba_apply_func,[func:Any;nogil:Any;nopython:Any;parallel:Any],Callable[[npt.NDArray;Index;Index];dict[int;Any]],/app/Repos/pandas/pandas/core/apply.py,numba_func,[values:Any;col_names:Any;df_index:Any],None
/app/Repos/pandas/pandas/core/apply.py,generate_numba_apply_func,[func:Any;nogil:Any;nopython:Any;parallel:Any],Callable[[npt.NDArray;Index;Index];dict[int;Any]],/app/Repos/pandas/pandas/core/apply.py,numba_func,[values:Any;col_names_index:Any;index:Any],None
/app/Repos/pandas/pandas/core/apply.py,numba_func,[values:Any;col_names:Any;df_index:Any],None,/app/Repos/pandas/pandas/core/apply.py,numba_func,[values:Any;col_names_index:Any;index:Any],None
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_removesuffix,[self:Any;suffix:str],None,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_removeprefix,[self:Any;prefix:str],None
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_removesuffix,[self:Any;suffix:str],None,/app/Repos/pandas/pandas/core/arrays/string_arrow.py,_str_removeprefix,[self:Any;prefix:str],None
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_removesuffix,[self:Any;suffix:str],None,/app/Repos/pandas/pandas/core/arrays/string_arrow.py,_str_removesuffix,[self:Any;suffix:str],None
/app/Repos/pandas/pandas/core/arrays/_arrow_string_mixins.py,_str_slice_replace,[self:Any;start:int|None;stop:int|None;repl:str|None],Self,/app/Repos/pandas/pandas/core/arrays/arrow/array.py,_str_slice,[self:Any;start:int|None;stop:int|None;step:int|None],Self
/app/Repos/pandas/pandas/core/arrays/_mixins.py,value_counts,[self:Any;dropna:bool],Series,/app/Repos/pandas/pandas/core/arrays/string_arrow.py,value_counts,[self:Any;dropna:bool],Series
