group_id,method_id,group_size
1,2ae341f11aeb5140b966b1603b4aa016,4
1,5835f227f9232e0f778c5aa48a0b144f,4
1,8e7e2b36d01118cfd960fc06aef93840,4
1,f41991b1c62d04564cc9f42720e84c4b,4
2,38a44501cedaae513ee32e9ce4d93012,2
2,3ff9a3f8c5a01596f96dc9f35834d7c4,2
3,a30f8e1373cd54960c77595d01ba4a15,2
3,aaadd7b97fce0fe9e8d74291f20d0541,2
4,f84fbf5daf30057f489a5391b7bb8898,1
5,0ef47f82f52f4f2c943dd366f1b337ef,4
5,29052d981acf30ddf711d4af46da8009,4
5,7ba97139efffd6926bbbba6cc02c09eb,4
5,92d5aa1e5aaf986fbe7ec2e701448032,4
6,088a22b67477e69c97cdc09ff46d1b7c,5
6,47c2049b12019a8cc90d788be678f3f3,5
6,5733b5bcf5154027c8c01be74f6deecb,5
6,84738d39cda4d33c137ee1fa6a57e6ac,5
6,da7b0101abc10a108bad2ed142b660d4,5
7,887265d7e9e5f7e582f80372b4015a91,2
7,acfe7ca04fc67ff3768463cc0435276f,2
8,c88f52a200c152438f7828a2b6f2c392,2
8,d85a61696999bd00d0a573ca71454267,2
9,6e543087e35edba4c054439483c16547,2
9,d3148bb29b165596da58df01c55ac132,2
10,1f911db9bc24194c75e27a8011112ac7,3
10,26d18f41f1569dfce88b5ad2f9571517,3
10,78e464360d1b65c58a57317af19ff5d2,3
11,27ddb1cfaf17a93cb6a0db925082c8af,2
11,ff2dbe6396621b6b470ae7258b98fe2b,2
12,0ce2bb09fae08e8aaa8b24e1d27d526b,2
12,a1be820e6ec3536753775d1b25be358a,2
13,8b8e2425f3df48722d53db89bc3391dc,3
13,98967cc7003d13fcfa7d1b3d7fcee2f0,3
13,b998956616bc70c34601678c62d9a169,3
14,2c344b595a53930fd5308dc4f318bf9a,2
14,38d92e58e3952b093c485170fdabc1b6,2
15,5f7f20ef5f820514ac1cd1fc79f95ed2,2
15,a10b013be06622b6c5f2b82129b27932,2
16,23b49b146f57f459b40be9a544dcd688,3
16,2fb1b0d1d6817b5f7ad2879e9fa24d47,3
16,f43312bc8bae6c3cd2955adea84d90dc,3
17,2234187952a4c0c968cd033fe2b73200,4
17,601b86651df7633a8a8da1d147fdc708,4
17,634fe3801bec811c27922dd81dd8110c,4
17,7334a3ecb08d7be924c649df303d18c8,4
18,041bed2bc0908241b55c29cdc40d2cb7,2
18,9027388ccd9d86042416b847a7bf07b5,2
19,670cf36a17c63c67912245c5c8d8cb62,2
19,8481768235f7b689ef6dff446fbcbdf9,2
20,14d505f527bcefcaf760d1e4c598f0b4,2
20,3f6f11d0ca6aa1b8c6149ef9880ed351,2
21,2b622abeb3f17bf68842d87f1c177149,2
21,745fe1ccb469655865ba03c9da29be0e,2
22,71fe3cbe225d6efc6860aad7908adbe1,2
22,c45b793b3f22187fbbb95a1221001c56,2
23,1b1bf7aa40dd9e35a34a2c8b506e16d8,8
23,23c67fc06cc602b65c86aae7fdbd08a6,8
23,45fc34cbccbecf2837d9f804ec7895d8,8
23,47e9bbf07883be6932d602f9cc63a226,8
23,a7e4c0157841ec1c91a09e4f4664e113,8
23,b178148925e95504efdaa5468de05c0e,8
23,b5e98366227505b4c1271c592ce78a81,8
23,f3015b8c4bf4897d46af5339b327af00,8
24,b1bbb21951fa40199fae57aeb17fb65a,1
25,e58e1ac64e4a474d2adc2d8eaff629fc,2
25,fe4dd5e3688b87ed313a158b8f1b1dca,2
26,3ea223260430381409eb3ef558e02f25,2
26,5bbcf0aee21c8a35d3c9bec39e5feb88,2
27,1d210796addca37849785c7c768c68f0,2
27,41c9c12af5626a58004a76d71a5637a1,2
28,24669443307627ab3f5e3693f8c4a7ac,4
28,8b12d8de0c017a817c046a493c5c8ae3,4
28,ca98605a05f5eabe7748a22be0057898,4
28,fa7543f56b7bd7042005c1848d682215,4
29,9c17ddba2dcb390a2651b4b991688e53,2
29,e49b2e5a22a6877e6fbbda3587602f60,2
30,374889278cf90bef9a1f7c09ecdd4ba8,3
30,63b01258f94608888d618a4f17bf0bff,3
30,7457608b87ab218defe41769d1a2f272,3
31,619d7c31b88a8239654998b4dae749fa,3
31,bcc97c9b5ef59a7c29266d79fc41df58,3
31,e29500b45eaafb552e8ac12c2bb7b4a1,3
32,53bf0ef1ee574b041cf7ae73fc5b4541,2
32,6b14d6e3acdf23fe8d33df271c63e347,2
33,13886c25bfe59ea6a1b4d3292a06bd68,2
33,6b911e921ea30b57838ee7549d91a865,2
34,b0e0e8cea2b088c9c690f1e6baa9f39f,2
34,b82c8bcf4ff669c9aa0dfd52c1ff9f57,2
35,3b3af0440a08de88aa240a6a0566a1d4,2
35,7437e8a5d1fd79b35611342c559f13bb,2
36,0ff6ffaeb394a25bdb5b5f0f557f71cf,2
36,441653668509f682f53c23531c623724,2
37,06b080dc61aa1f5814e651758029e6bb,7
37,237babefd4f9ed4b80372f303e90408a,7
37,4deaaf2b2cad19485d5757386cb124eb,7
37,4e25940d5f180fa1ceb90c47ffc7a78d,7
37,8175b562eeb5039a96bd60df74a6ca06,7
37,820ac00db936b9506c167aa6e387a7dc,7
37,c06cd7ddfa8cccbdb420b72fd220d771,7
38,0587bd47a9297e9579c0fa5f2c4f9c54,7
38,1c6dd1dea55d97ece7e7887314b786dd,7
38,2e733ee6ca6bcebb1650720bba7a9ab7,7
38,a539cb748977dba3723ae9095e8e0e84,7
38,b5c7199b96c41b29cd8fb446e142c7e8,7
38,e189fd5d7f16f6b1165e3a3c2f70bcb7,7
38,f38e60225cf67862ab54ed5c88957255,7
39,0f1f08c9698c3104a1a28ac53ce9c9c0,4
