group_id,method_id,group_size
1,6deee48df871dd82b20ae15c5347e41a,2
1,bc24c1695b9a7ea543612195750a4ecb,2
2,2ae341f11aeb5140b966b1603b4aa016,4
2,5835f227f9232e0f778c5aa48a0b144f,4
2,8e7e2b36d01118cfd960fc06aef93840,4
2,f41991b1c62d04564cc9f42720e84c4b,4
3,a30f8e1373cd54960c77595d01ba4a15,2
3,aaadd7b97fce0fe9e8d74291f20d0541,2
4,0ef47f82f52f4f2c943dd366f1b337ef,4
4,29052d981acf30ddf711d4af46da8009,4
4,7ba97139efffd6926bbbba6cc02c09eb,4
4,92d5aa1e5aaf986fbe7ec2e701448032,4
5,2fb1b0d1d6817b5f7ad2879e9fa24d47,3
5,640953084badb614a1870c5cfea6f18b,3
5,f43312bc8bae6c3cd2955adea84d90dc,3
6,1f911db9bc24194c75e27a8011112ac7,3
6,26d18f41f1569dfce88b5ad2f9571517,3
6,78e464360d1b65c58a57317af19ff5d2,3
7,619d7c31b88a8239654998b4dae749fa,3
7,bcc97c9b5ef59a7c29266d79fc41df58,3
7,e29500b45eaafb552e8ac12c2bb7b4a1,3
8,1d210796addca37849785c7c768c68f0,2
8,41c9c12af5626a58004a76d71a5637a1,2
9,5f7f20ef5f820514ac1cd1fc79f95ed2,2
9,a10b013be06622b6c5f2b82129b27932,2
10,088a22b67477e69c97cdc09ff46d1b7c,5
10,47c2049b12019a8cc90d788be678f3f3,5
10,5733b5bcf5154027c8c01be74f6deecb,5
10,84738d39cda4d33c137ee1fa6a57e6ac,5
10,da7b0101abc10a108bad2ed142b660d4,5
11,887265d7e9e5f7e582f80372b4015a91,2
11,acfe7ca04fc67ff3768463cc0435276f,2
12,84c2fdd1f9f0a277a848a46a006e7e7e,4
12,a83edae834fde2e1ef6e1e17e9dbc461,4
12,bc5bdbf3ab63827d94d71468b9c20f97,4
12,be8287330d3aaaddec7075c246e53406,4
13,04beda0a9dcbbd08da86b7115c0514ab,6
13,3770709f47e14b264d0a3ae184a68e62,6
13,399919f301ba57a86a455cfc9be1a3bd,6
13,7c550c9f98f4933931cfeadca9326c7e,6
13,d5727ed204ce0ba4115c1ed5e79a6917,6
13,f005b178876244b8a97f4b8a7ad7f998,6
14,59084cb2dee1f45d672fe68599af8918,3
14,a67004da14e412f39bdf954b028e320b,3
14,e6ae0e4b9c4c834cf04bedf2365b50d0,3
15,04fd1f84cb639b434cc4a9ed387cd5b9,8
15,0f1f08c9698c3104a1a28ac53ce9c9c0,8
15,4a236a9641f12dfc6abf38aa373f3f55,8
15,8240bd93c87fbbb7a53f2ee9e900d2db,8
15,8b773eac9f285cb8f81be08cfb383dea,8
15,a25a44cf6a8794d2ead5b2a2ea62d5b9,8
15,b9fd2148fb635a952ff7c8afb0b292c8,8
15,eb11cc36e14d7e09ce34475968afeda9,8
16,f84fbf5daf30057f489a5391b7bb8898,1
17,4aa536148844673e51bef639b6b8e3be,2
17,d08966bcc4b587491e13359f8b2144da,2
18,38a44501cedaae513ee32e9ce4d93012,2
18,3ff9a3f8c5a01596f96dc9f35834d7c4,2
19,9b30ef8570fd5c355218d5f5f0597a2e,3
19,dcd62e9a7fdef495e15ba0e1f0bfbe2e,3
19,e41879e6b8478efd9a27910f07452b8a,3
20,5cbe544365c09612fc218392bf2de916,2
20,ec5f4c8fe7710184cdb4c366e898fbbd,2
21,0ce2bb09fae08e8aaa8b24e1d27d526b,2
21,a1be820e6ec3536753775d1b25be358a,2
22,cea2f8ec3f49dae82b174f77070c5585,2
22,f3059ccd8b8f5fad1b0c81577b95ac5e,2
23,6f43d93bb3a2d404b952b8775f25b56b,2
23,c080077e3fac3cb519473166531ba0ef,2
24,2234187952a4c0c968cd033fe2b73200,4
24,601b86651df7633a8a8da1d147fdc708,4
24,634fe3801bec811c27922dd81dd8110c,4
24,7334a3ecb08d7be924c649df303d18c8,4
25,39597714def6dd645ae1964e8b522acc,2
25,f1575c65bfaed3fe625004fc088fee9f,2
26,041bed2bc0908241b55c29cdc40d2cb7,2
26,9027388ccd9d86042416b847a7bf07b5,2
27,2b622abeb3f17bf68842d87f1c177149,2
27,745fe1ccb469655865ba03c9da29be0e,2
28,27ddb1cfaf17a93cb6a0db925082c8af,2
28,ff2dbe6396621b6b470ae7258b98fe2b,2
29,374889278cf90bef9a1f7c09ecdd4ba8,3
29,63b01258f94608888d618a4f17bf0bff,3
29,7457608b87ab218defe41769d1a2f272,3
30,44f41a757aef74877e03fd22f1fe932c,2
30,fd4797e3bfb46bda28fd767b94029038,2
31,13886c25bfe59ea6a1b4d3292a06bd68,2
31,6b911e921ea30b57838ee7549d91a865,2
32,6826738df8781aaaae130e1c2586efc2,2
32,b6ac657bbf3e1cac67900bb12950a94b,2
33,96577dea7f2f450b72531bef5e60b494,2
33,c537c5ad5facc693537ba9d3afe4db74,2
34,670cf36a17c63c67912245c5c8d8cb62,2
34,8481768235f7b689ef6dff446fbcbdf9,2
35,15a0048afe6986da8f55b2fbe80abe54,2
35,9a0e92e89017ccbf867683f99eadcf03,2
36,44a06e0cab0d894a0b7a03aa2c130f8e,2
