group_id,method_id,group_size
1,3888337d7c3e9bdea2724ce64d45df23,2
1,81db2b331bbfe92040eb5ccf99564f53,2
2,a30f8e1373cd54960c77595d01ba4a15,2
2,aaadd7b97fce0fe9e8d74291f20d0541,2
3,14f8738eb45b995f6ed97996477567cf,2
3,4034d5e92c01c1706933ca7f38f204f2,2
4,0ef47f82f52f4f2c943dd366f1b337ef,4
4,29052d981acf30ddf711d4af46da8009,4
4,7ba97139efffd6926bbbba6cc02c09eb,4
4,92d5aa1e5aaf986fbe7ec2e701448032,4
5,2ae341f11aeb5140b966b1603b4aa016,4
5,5835f227f9232e0f778c5aa48a0b144f,4
5,8e7e2b36d01118cfd960fc06aef93840,4
5,f41991b1c62d04564cc9f42720e84c4b,4
6,088a22b67477e69c97cdc09ff46d1b7c,5
6,47c2049b12019a8cc90d788be678f3f3,5
6,5733b5bcf5154027c8c01be74f6deecb,5
6,84738d39cda4d33c137ee1fa6a57e6ac,5
6,da7b0101abc10a108bad2ed142b660d4,5
7,14d505f527bcefcaf760d1e4c598f0b4,2
7,3f6f11d0ca6aa1b8c6149ef9880ed351,2
8,00edbe8f19ecbbc27bca836dbb291b0b,3
8,2fb1b0d1d6817b5f7ad2879e9fa24d47,3
8,f43312bc8bae6c3cd2955adea84d90dc,3
9,66f4840ee032632ec8b2ab13a7a0c61d,2
9,6c4bdcdde717f7435a99acdccb95b06c,2
10,40602aa191e49f0d95ad2b402a916abc,2
10,68d6499faab8f79c2a1d09374b9b6191,2
11,2b622abeb3f17bf68842d87f1c177149,2
11,745fe1ccb469655865ba03c9da29be0e,2
12,2234187952a4c0c968cd033fe2b73200,4
12,601b86651df7633a8a8da1d147fdc708,4
12,634fe3801bec811c27922dd81dd8110c,4
12,7334a3ecb08d7be924c649df303d18c8,4
13,1f911db9bc24194c75e27a8011112ac7,3
13,26d18f41f1569dfce88b5ad2f9571517,3
13,78e464360d1b65c58a57317af19ff5d2,3
14,0590ccdd896c47620acf661638433c74,2
14,685837425ede2f4113315035491f5644,2
15,1c46fa36dc99d509eb40714c58357724,4
15,3c8503fa606b04ca009f6196668d3ee4,4
15,4f9a97fc1226bf0a67d412cfe914a5e0,4
15,a2836123173e085a15248fe177117954,4
16,27ddb1cfaf17a93cb6a0db925082c8af,2
16,ff2dbe6396621b6b470ae7258b98fe2b,2
17,15a0048afe6986da8f55b2fbe80abe54,2
17,9a0e92e89017ccbf867683f99eadcf03,2
18,44f41a757aef74877e03fd22f1fe932c,2
18,fd4797e3bfb46bda28fd767b94029038,2
19,a05169e35307b195a10171aa786fa0ed,3
19,a9ab6cf2a0bac47918d6ec4665623b88,3
19,b826f6656737752c9f8de3780dc8037f,3
20,23ced103ebce2a0b34c5bceee4c8fc5b,2
20,dc6bb6b9240222a09285ec78ef895498,2
21,3d102c904a0fa0bd218e7e4921f743bd,2
21,4cb2ff0787bbb6172745d6b58ebe8a98,2
22,09d89f331271ebf2eeab3a631f227c4b,2
22,5d7effdd14cf1ae4df372d2ad03bcbfc,2
23,6deee48df871dd82b20ae15c5347e41a,2
23,bc24c1695b9a7ea543612195750a4ecb,2
24,6a5d0a6722b68ab0ad15aa05b160dfad,2
24,6e543087e35edba4c054439483c16547,2
25,887265d7e9e5f7e582f80372b4015a91,2
25,acfe7ca04fc67ff3768463cc0435276f,2
26,599eb06b588873779bb0056402560cc8,2
26,9599c58d7f1410a9be3463e7cf605dc9,2
27,374889278cf90bef9a1f7c09ecdd4ba8,3
27,6cfb9733a7be2aade19751244d45cecb,3
27,943e3a403cf38d1c114e21ab3a40dab9,3
28,3d5865708c074d58647a3dd0c93abc62,2
28,e230bb3c611fc64caa344f7ab32f2ede,2
29,9224a004e7eb3c8898d0e04d866cbe5f,2
29,939276d17e228caa9f2f9e579f16784d,2
30,0ce2bb09fae08e8aaa8b24e1d27d526b,2
30,a1be820e6ec3536753775d1b25be358a,2
31,3ca17b2727aea43d51f174ae59b43ac4,2
31,ca88d50afa1d066706c11ee94be7f073,2
32,5f7f20ef5f820514ac1cd1fc79f95ed2,2
32,a10b013be06622b6c5f2b82129b27932,2
33,1d8e17cc327173941d1a974a71751862,6
33,1dbb8d50d6a39e0b7257f4bbd7c45b49,6
33,8c1b3041fe79145bb16064d4ce75c9d0,6
33,94fb11e762e5555dccfd8ab9b31cb5ec,6
33,95bd9fd3188ced7cd953717cf95dc037,6
33,cd5cd1f3750c5c805b4038ddaac3bf46,6
34,670cf36a17c63c67912245c5c8d8cb62,2
34,8481768235f7b689ef6dff446fbcbdf9,2
35,326cf4a04cbb9751dbfdec17ede466d9,2
35,e1451491b29ec1993978cca150204e74,2
36,9c17ddba2dcb390a2651b4b991688e53,2
36,e49b2e5a22a6877e6fbbda3587602f60,2
37,283e9e165e0fb8797b75cdc79ecceff4,2
37,d2cde2cb9620b19788aadf0a05fa73b0,2
38,0e374181e60252b3880b3cd084e453ed,17
38,2ecb1174c2ef19336304e5b144b0914f,17
38,3536ae1c022800dc897e66f891b36283,17
38,420b5d0a071165b04413e47ca846a7ec,17
38,438b1d07642f815f098e62fa11234b4c,17
38,5564bb4341968d8b5ceb7a83dea1367a,17
38,60bbec18797997fde95bf6e494852bec,17
38,68ec7e4a533b0393da411792507ae4f2,17
38,7e871281b251b4118302b0a911374231,17
38,9d1fccfe945ca758eb4426b54e593efc,17
38,c6154eb7a4d24f9d0f322983bdb2cf14,17
38,c959bc248e242bace53d66f2e1282707,17
38,d4bf00b52bd891b3bbbe53304c021c72,17
38,e55c141e065e16cb75b4d8bb6861d3f4,17
38,ed26359c2df48a2b4c05a2552ba8ffd8,17
38,ee7417b8692349e69361c5a02a99a79c,17
38,fd078408f52799e523d399e7696522f4,17
39,04beda0a9dcbbd08da86b7115c0514ab,6
39,3770709f47e14b264d0a3ae184a68e62,6
39,399919f301ba57a86a455cfc9be1a3bd,6
39,7c550c9f98f4933931cfeadca9326c7e,6
39,d5727ed204ce0ba4115c1ed5e79a6917,6
39,f005b178876244b8a97f4b8a7ad7f998,6
40,2a2a6189d052edfb5f0ac29feba865c0,2
40,a0b1733e5cd0d915e9ececa7f80bbd10,2
41,67030b1812ad7cb2342b7791285395eb,2
41,d15882990e62c5b200e39b1e608f8262,2
42,e4c77588b62ce0a630e8e1162e2cbee8,2
42,fbe9c96e500ca68dcecf1632d5cde134,2
43,041bed2bc0908241b55c29cdc40d2cb7,2
43,9027388ccd9d86042416b847a7bf07b5,2
44,84c2fdd1f9f0a277a848a46a006e7e7e,4
44,a83edae834fde2e1ef6e1e17e9dbc461,4
44,bc5bdbf3ab63827d94d71468b9c20f97,4
44,be8287330d3aaaddec7075c246e53406,4
45,59084cb2dee1f45d672fe68599af8918,3
45,a67004da14e412f39bdf954b028e320b,3
45,e6ae0e4b9c4c834cf04bedf2365b50d0,3
46,4aa536148844673e51bef639b6b8e3be,2
46,d08966bcc4b587491e13359f8b2144da,2
47,38a44501cedaae513ee32e9ce4d93012,2
47,3ff9a3f8c5a01596f96dc9f35834d7c4,2
48,4c48a3758837efbf22303d3bcfa2c82c,3
48,7afa5e1eeac88c7a1713eca75df19051,3
48,8b6b641c474d6df84dacc0f3343c1fa1,3
49,5177dbb1cb5596a86d36bade8c37c487,3
49,cf37ca76395be28faceb306adc44c896,3
49,f0d731798797a889cd29022fd528a0be,3
50,066dd410cd59bf35de859dc5927a798f,3
50,0f4f06279ac413477d8a5199b024dd91,3
50,7f274f86990cb91f7a189a88e7d242d3,3
51,1b1bf7aa40dd9e35a34a2c8b506e16d8,9
51,23c67fc06cc602b65c86aae7fdbd08a6,9
51,45fc34cbccbecf2837d9f804ec7895d8,9
51,47e9bbf07883be6932d602f9cc63a226,9
51,5dd0ee93849413c67afaf97361c99a23,9
51,8912e554cd71c23e84b777fbe99c14d7,9
51,ae73946d11cef36c24cab516701cb9d4,9
51,b9d3c653c0e13629327ece0f619b6cb4,9
51,ede3ea7b2bdd9f424ebf88dc8ae29f20,9
52,051bba1f33c1062cc7323e07ec7df954,2
52,7c889275a571e7c9dd2883b5720f6d88,2
53,53bf0ef1ee574b041cf7ae73fc5b4541,2
