group_id,method_id,group_size
1,3888337d7c3e9bdea2724ce64d45df23,2
1,81db2b331bbfe92040eb5ccf99564f53,2
2,0ef47f82f52f4f2c943dd366f1b337ef,4
2,29052d981acf30ddf711d4af46da8009,4
2,7ba97139efffd6926bbbba6cc02c09eb,4
2,92d5aa1e5aaf986fbe7ec2e701448032,4
3,15a0048afe6986da8f55b2fbe80abe54,2
3,9a0e92e89017ccbf867683f99eadcf03,2
4,00edbe8f19ecbbc27bca836dbb291b0b,3
4,2fb1b0d1d6817b5f7ad2879e9fa24d47,3
4,f43312bc8bae6c3cd2955adea84d90dc,3
5,2ae341f11aeb5140b966b1603b4aa016,4
5,5835f227f9232e0f778c5aa48a0b144f,4
5,8e7e2b36d01118cfd960fc06aef93840,4
5,f41991b1c62d04564cc9f42720e84c4b,4
6,088a22b67477e69c97cdc09ff46d1b7c,5
6,47c2049b12019a8cc90d788be678f3f3,5
6,5733b5bcf5154027c8c01be74f6deecb,5
6,84738d39cda4d33c137ee1fa6a57e6ac,5
6,da7b0101abc10a108bad2ed142b660d4,5
7,1c46fa36dc99d509eb40714c58357724,4
7,3c8503fa606b04ca009f6196668d3ee4,4
7,4f9a97fc1226bf0a67d412cfe914a5e0,4
7,a2836123173e085a15248fe177117954,4
8,09d89f331271ebf2eeab3a631f227c4b,2
8,5d7effdd14cf1ae4df372d2ad03bcbfc,2
9,6cd7b9479712509c199f542263964707,4
9,8c43d6f40483f7f6db68fd069c2214c2,4
9,bf081c7ae28659f0248a14d558a095e4,4
9,ee1eb6a1cc5c5c174b45c0e393c4e95d,4
10,27ddb1cfaf17a93cb6a0db925082c8af,2
10,ff2dbe6396621b6b470ae7258b98fe2b,2
11,44f41a757aef74877e03fd22f1fe932c,2
11,fd4797e3bfb46bda28fd767b94029038,2
12,14f8738eb45b995f6ed97996477567cf,2
12,4034d5e92c01c1706933ca7f38f204f2,2
13,14d505f527bcefcaf760d1e4c598f0b4,2
13,3f6f11d0ca6aa1b8c6149ef9880ed351,2
14,a30f8e1373cd54960c77595d01ba4a15,2
14,aaadd7b97fce0fe9e8d74291f20d0541,2
15,283e9e165e0fb8797b75cdc79ecceff4,2
15,d2cde2cb9620b19788aadf0a05fa73b0,2
16,38a44501cedaae513ee32e9ce4d93012,2
16,3ff9a3f8c5a01596f96dc9f35834d7c4,2
17,374889278cf90bef9a1f7c09ecdd4ba8,3
17,6cfb9733a7be2aade19751244d45cecb,3
17,943e3a403cf38d1c114e21ab3a40dab9,3
18,2e8abff582a73ebba41d9de30da9a571,2
18,bf731d6a8dcd4b59335c57dd49a3b8c9,2
19,670cf36a17c63c67912245c5c8d8cb62,2
19,8481768235f7b689ef6dff446fbcbdf9,2
20,40602aa191e49f0d95ad2b402a916abc,2
20,68d6499faab8f79c2a1d09374b9b6191,2
21,aff2e4d30d4b7b849ebb116d16373248,2
21,d09f5ead7be6959272e77461cf34f8f5,2
22,2a2a6189d052edfb5f0ac29feba865c0,2
22,a0b1733e5cd0d915e9ececa7f80bbd10,2
23,04beda0a9dcbbd08da86b7115c0514ab,6
23,3770709f47e14b264d0a3ae184a68e62,6
23,399919f301ba57a86a455cfc9be1a3bd,6
23,7c550c9f98f4933931cfeadca9326c7e,6
23,d5727ed204ce0ba4115c1ed5e79a6917,6
23,f005b178876244b8a97f4b8a7ad7f998,6
24,4aa536148844673e51bef639b6b8e3be,2
24,d08966bcc4b587491e13359f8b2144da,2
25,6deee48df871dd82b20ae15c5347e41a,2
25,bc24c1695b9a7ea543612195750a4ecb,2
26,5a2a755bed97b9c1bdd3e0911f349029,2
26,afb186f4ba2cf82a2912df1856f9bdb2,2
27,0ce2bb09fae08e8aaa8b24e1d27d526b,2
27,a1be820e6ec3536753775d1b25be358a,2
28,2620e07d1680450bf8b17b865d90cb9e,2
28,f3cc4ba1ca914c1f7644cc6b60097d18,2
29,04341c5119192e9f49d4443f5d1780de,4
29,32db3b900d54c1d26251e97e8e3178c0,4
29,77033b33056cd8ffc8a8396c5d3715a0,4
29,93cebd5c988dc653d7f685c46ff0dab3,4
30,bf33e5272b5e108941876cd6eb998434,2
30,f120ee7c83e08bdc40d6cd69de226212,2
31,6a5d0a6722b68ab0ad15aa05b160dfad,2
31,6e543087e35edba4c054439483c16547,2
32,9c17ddba2dcb390a2651b4b991688e53,2
32,e49b2e5a22a6877e6fbbda3587602f60,2
33,a05169e35307b195a10171aa786fa0ed,3
33,a9ab6cf2a0bac47918d6ec4665623b88,3
33,b826f6656737752c9f8de3780dc8037f,3
34,2234187952a4c0c968cd033fe2b73200,4
34,601b86651df7633a8a8da1d147fdc708,4
34,634fe3801bec811c27922dd81dd8110c,4
34,7334a3ecb08d7be924c649df303d18c8,4
35,59084cb2dee1f45d672fe68599af8918,3
35,a67004da14e412f39bdf954b028e320b,3
35,e6ae0e4b9c4c834cf04bedf2365b50d0,3
36,c99a78e4ef8740998951cb926e5b001e,2
36,d1bec67fa4dc6f99d0fbcf96f387095b,2
37,23ced103ebce2a0b34c5bceee4c8fc5b,2
37,465fdc8b572b6eb880937c944614196b,2
38,00edc2c5b6cf7dacf0d3dcbba111bb30,4
38,151f7a39362cccfbc45ee34e17c216c9,4
38,9a75ed81ee578032d419801e23fc2ad2,4
38,fe0dcf7e0d614ac41dd40a8db4285f9c,4
39,174536d72ded99d1a8785c23baccb4b2,2
39,599eb06b588873779bb0056402560cc8,2
40,2b622abeb3f17bf68842d87f1c177149,2
40,745fe1ccb469655865ba03c9da29be0e,2
41,5f7f20ef5f820514ac1cd1fc79f95ed2,2
41,a10b013be06622b6c5f2b82129b27932,2
42,ca48848c915fb21b77e568cadb5f380c,2
42,f8989e174d05389786fb131b12794132,2
43,0455f1fc1ebaa0d948102a512564f605,2
43,c9ba05f99d1fdac23a71fcea3fedc627,2
44,93ddb5bdec70b3b1d0e6807d687ef79c,2
44,b6cdad3a5b3e7602b9d9d99b147065fb,2
45,cea2f8ec3f49dae82b174f77070c5585,2
45,f3059ccd8b8f5fad1b0c81577b95ac5e,2
46,1f911db9bc24194c75e27a8011112ac7,3
46,26d18f41f1569dfce88b5ad2f9571517,3
46,78e464360d1b65c58a57317af19ff5d2,3
47,75e2b814c559050243bc4e11e4aad896,2
47,ef5119a07fab6f155cf1ab813cf24773,2
48,5da136f08abfd7750ebc06b87bb4b1d9,2
48,86e27a780c3252a74f346939a079d593,2
49,96676bb018404d422555bc1c10c34d09,2
49,c7f087f09bd68a88c0b32bdbea3748c5,2
50,013bcf5e825521711882771fdcc7a1b8,4
50,2ab186d0a94b12255d0476ac9c76447b,4
50,390e248ab997435d538158bec81502e0,4
50,931376de4c1b24bda84fbe931d9223cb,4
51,389979eb329a55af77838263c6b0be90,2
51,87e8441b92e3f915692fa0d1f6f017c3,2
52,67030b1812ad7cb2342b7791285395eb,2
52,d15882990e62c5b200e39b1e608f8262,2
53,887265d7e9e5f7e582f80372b4015a91,2
53,acfe7ca04fc67ff3768463cc0435276f,2
54,9224a004e7eb3c8898d0e04d866cbe5f,2
54,939276d17e228caa9f2f9e579f16784d,2
55,041bed2bc0908241b55c29cdc40d2cb7,2
55,9027388ccd9d86042416b847a7bf07b5,2
56,142419605a8e2c456586c467ac127a7d,2
56,8136432ae9427003c1ba2aef0a248b7a,2
57,0590ccdd896c47620acf661638433c74,2
57,685837425ede2f4113315035491f5644,2
58,5177dbb1cb5596a86d36bade8c37c487,3
58,cf37ca76395be28faceb306adc44c896,3
58,f0d731798797a889cd29022fd528a0be,3
59,1ea97ef3dbbbe4ba5244770921637928,2
59,9e0fee4e2323861d8b96d7dada8983ed,2
60,051bba1f33c1062cc7323e07ec7df954,2
60,7c889275a571e7c9dd2883b5720f6d88,2
61,6e1008fe86ac314819515dddd70141b0,2
61,ac41810de8709945142a7ac35d72872f,2
62,3ca17b2727aea43d51f174ae59b43ac4,2
62,ca88d50afa1d066706c11ee94be7f073,2
63,9185b136ebb4be85ab134c38219a7665,2
63,957ff63f431d2167a6eb4d74c88fe394,2
64,53def1a1c30c5cc1142010da97c76330,2
64,9a6e720d07fc136d12bc264fe10e8e0a,2
