group_id,method_id,group_size
1,1caa8c0f3ed837d84b5d4a689d9517d7,5
1,647be05be3652135d6e6ffcc43f696eb,5
1,6fa1c29cdc23545c090ddecef7ab375b,5
1,f1be72ef274399dd0b369c17316188dc,5
1,f342265e1be09cfd5fab923a19a19cb8,5
2,2f3b40f013df083f0da847e57ce734b3,4
2,3a3de304076360397939c3488f9c84de,4
2,653c9427c7906a71d970264351154b1a,4
2,795c033e7eb5c2416ca0cb35d50b98fc,4
3,2c17dad009e2acc13dac1394f7059884,2
3,3e30dfd75a7f57d48c425da2eaeae93b,2
4,38f2252cc80ce61697c064eb059deaa8,7
4,6e58fee60e6e69e7be2945fb03e2f8a8,7
4,9f35656a9b4a2702bbcd6466683b0327,7
4,aca2dfa328bca52f6802dcf9e5522533,7
4,d615e33db3cff59c059179cf94d5ac74,7
4,de4d722168041941e2a224865a7c8a0a,7
4,e39eb1ca442758332ad3bf57aad2a1cd,7
5,5c3f3256485501756378e5535a51fcb1,1
6,08ef6e5f668d6bf93a03b7c4f2384183,3
6,39d0dab6308350053d507e398d5614e7,3
6,a68d1bb2508cca42bb3c83bb5936607e,3
7,413570c95352931189142609e5101d2b,3
7,7adeb702faa71ef2162f348d4bf8acf9,3
7,aa0804a3e081eca13317ce6207e688a3,3
8,e9f77e315eacea46e6e5d37ac39c21a0,1
9,6ebd9abb5f6d08539a0df63b123c2685,5
9,88620601669cb9f9c123d2e25b9babe9,5
9,ac17b7f9a0dbfbabab5d8720c4d7548f,5
9,b33d6e346c9c8007b8c7d8fd7a0f114c,5
9,dcfb100f5d3663c1c08b4e0c972834c7,5
10,29e4f7b0c02ce886c799b50adad44fbc,2
10,c2f153eb763c4d08da9cf17ec20d4767,2
11,088a22b67477e69c97cdc09ff46d1b7c,5
11,47c2049b12019a8cc90d788be678f3f3,5
11,5733b5bcf5154027c8c01be74f6deecb,5
11,84738d39cda4d33c137ee1fa6a57e6ac,5
11,da7b0101abc10a108bad2ed142b660d4,5
12,3fba6d54de054e58340e43f4b251b0da,2
12,44450ce18e82c11a77b80c54ad4166c0,2
13,27ddb1cfaf17a93cb6a0db925082c8af,2
13,ff2dbe6396621b6b470ae7258b98fe2b,2
14,52b498810d00a73b96866a17709a4ba8,4
14,85d923e95586d6e36c681591d91a05e1,4
14,c05032abee20b49a74ac9d4b3c0e71ff,4
14,f08f61af1fe3000055c5b3906cb43d2d,4
15,2b622abeb3f17bf68842d87f1c177149,2
15,745fe1ccb469655865ba03c9da29be0e,2
16,2bd2b6fe191c8c031f0c6e73659d2b36,3
16,431965c37cd15e83f14e9e0afa1fe060,3
16,d6430ec979a9f6b52df86f591fab380b,3
17,9c17ddba2dcb390a2651b4b991688e53,2
17,e49b2e5a22a6877e6fbbda3587602f60,2
18,86f094e0cda5afbf13b06738445345e2,2
18,d8b9752a359c3519adb4c5e7d00e9e9c,2
19,0fc93b5da89ec8b37782729c2ee2dd83,2
19,fadf6985a74b9d4369ebc43ed6bd3c84,2
20,26b955630088261609b3b509e8371271,2
20,9d3682f2fd88ad48e236a1530b1a9bb8,2
21,14f8738eb45b995f6ed97996477567cf,2
21,4034d5e92c01c1706933ca7f38f204f2,2
22,74b4531c354525e51d02b8cd1c910b9c,2
22,d8c6ab1eaf8dbce0cf847f9a469dcbd0,2
23,8777030a1075cd230e63e031d4e3242e,2
23,ad67f84906e508a398c15a4d94446862,2
24,0ce2bb09fae08e8aaa8b24e1d27d526b,2
24,a1be820e6ec3536753775d1b25be358a,2
25,397e8079d1111ff6d4df0b5ba2277593,3
25,5d02ccc5189127bc3f3e7a49a23a3c32,3
25,8d210e317988bab8a34faada827c71e4,3
26,54da7402f9c0c5f87254e7515f23a26f,2
26,75adbbadf5a4cab26c1fae4c1952ed24,2
27,8702521a138634d48f6b7569628ecc86,2
27,8cfe8861e3a55689d5814afc77680107,2
28,a0efaa52a65e88596728fe1ae88b7ac1,2
28,b6760dd862752520ffe3f4a8619e24ca,2
29,1c46fa36dc99d509eb40714c58357724,3
29,3c8503fa606b04ca009f6196668d3ee4,3
29,a2836123173e085a15248fe177117954,3
30,aff2e4d30d4b7b849ebb116d16373248,2
30,d09f5ead7be6959272e77461cf34f8f5,2
31,0590ccdd896c47620acf661638433c74,2
31,685837425ede2f4113315035491f5644,2
32,283e9e165e0fb8797b75cdc79ecceff4,2
32,d2cde2cb9620b19788aadf0a05fa73b0,2
33,00edbe8f19ecbbc27bca836dbb291b0b,3
33,2fb1b0d1d6817b5f7ad2879e9fa24d47,3
33,f43312bc8bae6c3cd2955adea84d90dc,3
34,4c48a3758837efbf22303d3bcfa2c82c,3
34,7afa5e1eeac88c7a1713eca75df19051,3
34,8b6b641c474d6df84dacc0f3343c1fa1,3
35,3ca17b2727aea43d51f174ae59b43ac4,2
35,ca88d50afa1d066706c11ee94be7f073,2
36,50a49eaa4ed0ba328faaee95967ca2a8,3
36,d7b2e8f688ed1ccb797228d5f4836103,3
36,d8bedf0f83c6e49a41e5cad195b30a84,3
37,0f04b8d39e82603b69b725543e7ee7cb,2
37,c454b4364e33e7feb81927889ece5f8a,2
38,02eff8179c1ed8a210dee71a3706e430,2
38,0b69258fc4d739a25dff3fdebdc15291,2
39,cbf57059e9189c398aef06ca74a62cb9,2
39,d5860f87d5f2ee145ccff64ffcc6ec57,2
40,88517cb2b38525c8d57846fc135d9394,2
40,e1944ad76664ba5f336cc54f5dfa0df7,2
41,1647e80ee2e526dad576b6145174f4d4,14
41,26286da23de5c5bddb4e2d9da47a4112,14
41,4d70d8d0925f9dcae1c37047f1c343c1,14
41,4f5666359faff8acb9809e0effe68019,14
41,5221c3ee0af7d104d657eecf2f84cbac,14
41,67b99d3cb3670002c92dc5fc1c0218b7,14
41,8a0b9f009e7d69e995c73f8a98eb542f,14
41,984c0cb6674ea57a5d06596476ea9f7c,14
41,a7aefb4984e6c62ec27b63dacb4a93cf,14
41,b87f05470b0b38c1ba424f76e669b6a0,14
41,c56b5b001955e8451fff589a83ac79fd,14
41,e48bd74d6e93f5c514dda7807c1fd0c5,14
41,f4e84e232367d7f87b5dde4c34003cdd,14
41,f9f0942fec34d29cbc99dd1982353e4a,14
42,1d0673a157c3365d0601c4c4203d341c,3
42,8e28ceb867749da4a744ff55970a38a4,3
42,91b1597c2d3b4ddb8c8effe9d6dd8c16,3
43,0c85ff34733f56ba45b88dbc7980cefd,2
43,fff9d0a3827d569d7bc144d07600f496,2
44,670cf36a17c63c67912245c5c8d8cb62,2
44,8481768235f7b689ef6dff446fbcbdf9,2
45,7c5ce041c3c88c5276141d78f3c90317,2
45,80f1c99b058989c1856bca3eaaccf599,2
46,374889278cf90bef9a1f7c09ecdd4ba8,3
46,6cfb9733a7be2aade19751244d45cecb,3
46,943e3a403cf38d1c114e21ab3a40dab9,3
47,34e740ae28097e175576f883570be3a8,2
47,d695465afd8727fd6b819269d0fd027b,2
48,52a9a460984d23c7a7f2bb88d6901d26,2
48,d44ca786aa7220c8563f9aa060fde256,2
49,664b99309763b80f4cd89cdedad5c340,2
49,9754f3cc06eff122890537a904eba372,2
50,274accab79a23f51ca37a325873f920b,4
50,33addf4f7fe209ab51f0f2625f77c8f0,4
50,9f07661bb5280edec18f9fead223b97e,4
50,fdce4dcacab4f7eb2fb8494d53a54949,4
51,98372fb903537c0c7614eeb3aaa36acc,2
51,c63a584a593088931b7e00c7880b0558,2
52,0002b19e40470d3c395fc55eb82cb599,2
52,ecbb4580dfe72a59d459711488c9316d,2
53,05647dc51f4fbf43eaf81ce1ddbad3ac,30
53,10ec221ac6f0f078eacee16f692fff69,30
53,22672e2fba92036440da6eb18fc668f6,30
53,2f6111e15cdd40906038c301507f7ea0,30
53,314f5f8c957ea0097db008a787d6c4b1,30
53,43ef86dd6ae743c894255085160746b3,30
53,450e4c0d57c59bda88fa8827a829c4e4,30
53,5ecdb48e2e64f752a5ce52f4e6fb1620,30
53,647088ac757ee2cbb447c4ce798d74ae,30
53,6949e877849b51b0486c232c1a40e56f,30
53,6a49f188aef526308296ff684fcf6d4b,30
53,752d33195fbea75f6e6a046ae16e8aa4,30
53,79b20b8a828e231a77278cbe7357168d,30
53,7c6e54db6cf09fc85fc4116ff1a174bd,30
53,8200d6003af73e4608e38f3b5a137803,30
53,99b6e34fe2c52f7fc503bfde5e2f027b,30
53,aa4ff719c729e979c3545abea570213e,30
53,adbfb2b77e3676eec8a6fc529698c5e2,30
53,b078333afaa451d89988b1c5a862edf6,30
53,c2147b2957ed397f2867cc7230c4fae8,30
53,c480d9a7ee2e9063faaab27af37285ee,30
53,c732da5840952eefc1c931d07bfd4fff,30
53,c976772cb5e3f5e6c37b0a512ebb43ae,30
53,d003ee8c034ba59bb2082738f8ee7431,30
53,d07501551200ca578b7a572cf318abfe,30
53,d6e39f9122efcd060bafb0e8c50f3903,30
53,da5047a198c8897a227e21dee4cdd033,30
53,e5d896431aa0f91fadd233b9d56ca6df,30
53,f387be8d726a652faff3d3edb13cd5ac,30
53,ffc5e54d78d2cda441b4fe34cb66eeaf,30
54,a8475e8ad1e9636f5110cbc6a850c708,2
54,b041bd1f01b85773f117aa51679a651e,2
55,0455f1fc1ebaa0d948102a512564f605,2
55,c9ba05f99d1fdac23a71fcea3fedc627,2
56,b60444393947346d37dc9231234ba8d7,2
56,c1a02f0d85b1cce075f2a51a7d7f4123,2
57,6250da73278c4fed38006299f373b5bc,2
57,d1f3faa32fdaa4d49f71090d0c742cff,2
58,015760039ab8ef7f642d0dc3e591b205,5
58,2bdcaa4b4ff5fdd32a3976a0fa3e2d2a,5
58,c1ba767ce778f537d696b0baf0caf081,5
58,dadfaab35f823b273ec8def4cabf4311,5
58,f03f1213e974ced02cd3ab3bdf22867f,5
59,a499b32229b859a9d346a15c469c7db8,2
59,f4ab0341fac81f1b099bf5d2bdc51016,2
60,1589d97a6e8cfda0365c8429b98ffc8d,2
