group_id,method_id,group_size
1,42e7c1b0f5d50719a10738c2b57fe83a,6
1,694fd360c92a4123aa209fa3c8ef8610,6
1,7314124d2a5d0348c14b7f2e547359ce,6
1,77c88ff7159d92678ea38b3259ba4481,6
1,c6413f35895d43849e0c128222ff2482,6
1,fb1e456cd5fe77e68e3b88e82d323a7f,6
2,6ea755306967aca3af93d5fb0e0c1ae7,3
2,9051e2e3e47c6ed5648cced917c088b2,3
2,b6897a36b7bd2cca0fc2ea68e5cd3a60,3
3,0d6ca06c05df3f699df04fd229fe40da,2
3,9d43ca86ba40d59780f96bb1565eb307,2
4,138a8a60e7883bca7d5936c90e3b7d2d,2
4,56f41a5623fa7b5eb3a42c133deedcbc,2
5,b67634b3c89c79282d12dc71bbc08244,2
5,e941890236a7a70456b2dd0f3f72c3c5,2
6,2dbb0b0433830219896dc8b2915607d4,4
6,a856a6e2acfd6edd1a4234e246af0ee8,4
6,a9800e8c24c95f752377bc281d747e2d,4
6,b09a48c0ca97db11fa7b343bd6725213,4
7,6326351c2faefbf3895126069a8130cf,3
7,66d058863603b4f8c4d86cb60a347b1d,3
7,9dd1d8260a612b929e1c29114686a7a8,3
8,655055fc7d5041219aa802bd11918d12,7
8,78f5593ad3d0181bda55ed8970d8c1d9,7
8,7a2529a3a0b974e40feff542e4b636ba,7
8,aeaa83ed3d6eb5aec49657d07d977e68,7
8,d80242f2f4450ace525b66b77b3c168a,7
8,da8ff56d34c7cf02edc85d5b41dd65f3,7
8,f9016e6f3576e300b8113be7ba7ed407,7
9,2f1d53cb9cc7d060795b24b2f7d3c7c1,2
9,74b4531c354525e51d02b8cd1c910b9c,2
10,1098c3a6b628d60f3d993f33306e3cc6,2
10,2b6105b01fc2d5889e5b8aef786c8c16,2
11,1d81b95658b8e84f588f574ccf1c4b49,3
11,3e57e75a71152f95f059884de43e28f8,3
11,ad817092a754793548874e81e2df5761,3
12,61684ee83e21c3c7941c31e60dc13f5a,2
12,6422b0b9872c7667fbb91d256d252706,2
13,4c48a3758837efbf22303d3bcfa2c82c,3
13,7afa5e1eeac88c7a1713eca75df19051,3
13,8b6b641c474d6df84dacc0f3343c1fa1,3
14,4e46846144349ffac36290aff6e98073,2
