group_id,method_id,group_size
1,0b0db1106d3d59cf56e3f21b1b62b97b,3
1,204d441a8c677afdaf8520c144fd194f,3
1,9a2295396d61923b42a7e17b2ed32b76,3
2,152ba94b0114e383629109249bda5382,12
2,48365b46d17f09c46e09eeb5df3f7cbc,12
2,7e9bad1f676f0a951d057f5aad3897e6,12
2,90193f7be859ab74851a160024675509,12
2,b3cd769ab41d73b881f827466a2c765d,12
2,b9c5156e3586d6d36af52983e5da5a78,12
2,ca21f525cc951d4c8880948bfa020af6,12
2,dbbd3c080e2c7f2fdac4167c18b71ebc,12
2,dd04cec69a2a99dff39091f92c0cba6b,12
2,dda2dfefaeba02120db5fa591431b0d9,12
2,e0d337ea5f839bf2f6b467d85bd535d8,12
2,fccb548b077af16b453a1e6c28e1400d,12
3,1164be3f66b76ce43ce9741ed09d025e,4
3,5ad825aadfb1a7e2da1ee44a27768933,4
3,bd197d3d9a17a6ad970eaf41679a0a42,4
3,d85dae2786c2f0218c313908c21ad935,4
4,00cfefa887f25eebd27f61cf8b5eb9b2,9
4,055ec3faa510ed5d08f99dc57f78df78,9
4,2a83455d00a676c3e38c843da14a86ff,9
4,41f29299dbd838538fbb2c707e114e5a,9
4,72277ae7707b8a39ac6dd68dede48f48,9
4,989b01d1046db20aba29c0abed57c888,9
4,af26c37d2cbac0d242ab74867eca3cf0,9
4,b166babe7107cb28a3b9a27f48df9768,9
4,ffe6791b91684aad5a42ad9f824dbba7,9
5,138a8a60e7883bca7d5936c90e3b7d2d,2
5,58865b67175f1b2c13b622ef620290c3,2
6,56114f7a0c8f408f518b3b8a92c52feb,2
6,c04070b7b85e3a27f8964d11e5fea888,2
7,07bd25e7095c4f6eddcf836cadb1a1ff,9
7,48a9acce1b44ac668f3e3da7fd75490f,9
7,4e25a5014b4179b90637b04f9902ac31,9
7,6326351c2faefbf3895126069a8130cf,9
7,66c347b2e39cf202296ff96fd3d1ee59,9
7,66d058863603b4f8c4d86cb60a347b1d,9
7,beb49aa624b1b73ccd139ada4e85c0c9,9
7,dd8e185515c310737b7e1f66521ca253,9
7,f7005edb014ecf40183e2d25db48f457,9
8,9f1e54ec0df11b909fe0f1d8f0b7bad9,2
8,b6f805cdb73f2881e136984f4dd4118a,2
9,3223b11f28a152bc3eee486d96478e8d,2
9,ca2bb950e783b723c0104aa3287541fe,2
10,43ba4d06b364cbd90874ff598f3a4d67,4
10,5727f51a19043f161ba4fe8f4254dc14,4
10,b1664f87d4cb624e791169f7ed4cc9cc,4
10,d97bc52cd487f2dbc65475c5710e8de6,4
11,86afb483a0b3f673ee2878a4d3beb913,2
11,d606e98b09cb26ff1be94975e5e861d9,2
12,4ba0012f22b6dde309eaede56908a78a,2
12,b97702ffc7e4e79d53e697e57e8a272b,2
13,0ad7912f7de28877cfba2e496713c5da,3
13,4a8eb1aba4bd7f65d877ebc2788442d5,3
13,7acc86de4ef4193cc6941395fa408711,3
14,1cadcde2a09e7493f64f6383e105ad6b,3
14,9adbe31b5e428859f9c5a3dce6b04152,3
14,9db189bd0ebe2e7e3df8bfaac8bec5bb,3
15,14dc14aae33a1d99c8816a72378c39a2,8
15,31d7850bcca7082be9d60084cede0c4c,8
15,368083fd65f059567d961a00f18ea1ad,8
15,42ad777e9275e3ffb5c00d90d5d2cc65,8
15,59ba62a79483c88f328bcacc8f2c7c80,8
15,60dc82091bdbd8deccf78ab2539adf2e,8
15,a06911754b94cc304372f775f571040e,8
15,cc0ab5c1a689c74c8d004c487e42bc98,8
16,258570f40d0d665e8ec6554d2348c62c,4
16,7a097d21f10b953290e17f15ad5ff11a,4
16,8ed35399ab1d3fc2c91e1d4fc8361f79,4
16,b8faa13603b72f54a57a016db1c58375,4
17,4c2a894e5bb1904607f0e23246110093,2
17,514bf91316ce3a445b1a354d9d3e8b5e,2
18,50ecef5b76f9033698087fa6512e60d1,6
18,5ec5a2d83f5fcf59953ceb3f994758a4,6
18,ae0ed4183082fca5ad874e5e8cb192c3,6
18,c6522d1852627aa7b81970f4baf891ab,6
18,e5fa8197512f3ed57f59d7276517df80,6
18,ea4a27c320bf13ad28704b225f2d43e6,6
19,0f17c73a541283e63d779839150857b0,4
19,5ae3e165bae74ef6fe2425cf304fd1cb,4
19,73317cf07af020b7d77f737e57c5fca7,4
19,7fd56f9bdc50e36feeb57913c07140ed,4
20,0e21cf64cfcb7147246a2341cf17254e,2
20,1ba1a98ef664cf9ec922545e4e2159ff,2
21,0fa07ed48e3ad03a6a4e4e5da01ada36,2
21,7c8d39aec73a863e75d3829dae5af3e4,2
22,0974054f37db9532994598c688c634a3,3
22,61f98e5193b0b5d6ba2c476db97f8fdb,3
22,71d31bab7d7f8a0400bef5f5f7bbf972,3
23,2292069ef78da198b4268b9da4cfb6ba,3
23,3049b4fbb09b196630a8c4a04effc19e,3
23,40cc1affb74d00e060c96380afb20bee,3
24,16665eb2691b9ec2f0ab5e834d31dd32,2
24,b5896db25a185715c7cc0ab95ec5c767,2
25,0d0263d771e0b07683eec414380241c4,2
25,b14ffcc2124d3b80f90ac8d49c49a771,2
26,05533d4a488a0a1d1f8daee8640fb8e2,2
26,856fa7934b2b9f6968893003ca7a688b,2
27,098b0be0b6588ae250f00ce48351747e,5
27,0d94910f0318e6ef9209095cadf6d3ae,5
27,37fda2fbbc895227814f5e324a0997a6,5
27,3823ab4b85f045dbdf7c9be614e10bf3,5
27,998166019c220dd08a689fa386cd8170,5
28,1ba21061e2799939936422beeac69913,4
28,2c84a18abd087a52b45cca17c15931d4,4
28,8e73c6ddc3b63f1b31eb8574cfd2affd,4
28,f728b38d9232cc593019d23c4af7c8b8,4
29,2f1d53cb9cc7d060795b24b2f7d3c7c1,2
29,eed05e3a88b4b1c2cb3d5f9179ff7911,2
30,11d358ea3dbc9366de48a0aaaf900d7d,6
30,1a469019420df7e53301e9cd2a06e71f,6
30,6409772fe5eeb51465fa9afb566680ef,6
30,778c8ce3e64793a1fed037d1feb7ff2f,6
30,da6a5667337d3b72621302d399aef6ca,6
30,f74401ed51f3f5facd3b3c27bf89fd5a,6
31,09fa4f7e33c4a008657f52b8712f07b6,7
31,0d91cf77669ef7fc31bfd906f53314ac,7
31,1273f8a7c545f26edb53363cbd7827a1,7
31,391fd8bd4289fa9f8b80b96e058d7497,7
31,7d3c30636708185d9aba8f39f4611638,7
31,efd1030119803dec013b974f0673a9fe,7
31,f50c673739bdd15c1c29fbca1792506e,7
32,244cd33b5ee2d8f6244f2d70402a1c37,2
32,ac4ac1eb5b198eba378b61d65633c0b3,2
33,7c86e56b099e70a6cb1336934e1a8e7e,2
33,ced3b479914e99b23e9c80da11c3f9b5,2
34,325c9a8f72a5ed5938d36ff412a8ba48,2
34,92647a866cfdea281d7d437260f38cc2,2
35,4fc1b2c84b520789548d8ba9804a81e5,4
35,54e34b7944b7da7084d9cdd49e342e02,4
35,5ee371cc94ee4b915f525010f5bd2529,4
35,a430301f2470eb263612c94f7936eb9b,4
36,8b046f34f76e612b12d253cc1763255e,2
36,93bd5de705e712bffd402a7bd9f565cc,2
37,5d0f5c7be6d061ef0d7b3847b294a6d8,2
37,68458a6b30ec3d402863f77770acb018,2
38,03f1a36ece2415c0d0874d464d5186ad,2
38,47f458aa69e34f3fe21edadeb75be9cf,2
39,24db7e59edc78ea654623cf1276e448e,2
