group_id,method_id,group_size
1,00cfefa887f25eebd27f61cf8b5eb9b2,9
1,055ec3faa510ed5d08f99dc57f78df78,9
1,2a83455d00a676c3e38c843da14a86ff,9
1,41f29299dbd838538fbb2c707e114e5a,9
1,72277ae7707b8a39ac6dd68dede48f48,9
1,989b01d1046db20aba29c0abed57c888,9
1,af26c37d2cbac0d242ab74867eca3cf0,9
1,b166babe7107cb28a3b9a27f48df9768,9
1,ffe6791b91684aad5a42ad9f824dbba7,9
2,1164be3f66b76ce43ce9741ed09d025e,4
2,5ad825aadfb1a7e2da1ee44a27768933,4
2,bd197d3d9a17a6ad970eaf41679a0a42,4
2,d85dae2786c2f0218c313908c21ad935,4
3,138a8a60e7883bca7d5936c90e3b7d2d,2
3,58865b67175f1b2c13b622ef620290c3,2
4,4e25a5014b4179b90637b04f9902ac31,7
4,6326351c2faefbf3895126069a8130cf,7
4,b10e31a5723840ed8b75a8cd0fae682c,7
4,b1686544dccebfb75846317e63cdabc8,7
4,d6106c1ab720e9d333d591c19d863bd4,7
4,dd8e185515c310737b7e1f66521ca253,7
4,f7005edb014ecf40183e2d25db48f457,7
5,258570f40d0d665e8ec6554d2348c62c,4
5,7a097d21f10b953290e17f15ad5ff11a,4
5,8ed35399ab1d3fc2c91e1d4fc8361f79,4
5,b8faa13603b72f54a57a016db1c58375,4
6,43ba4d06b364cbd90874ff598f3a4d67,4
6,5727f51a19043f161ba4fe8f4254dc14,4
6,b1664f87d4cb624e791169f7ed4cc9cc,4
6,d97bc52cd487f2dbc65475c5710e8de6,4
7,0b0db1106d3d59cf56e3f21b1b62b97b,3
7,204d441a8c677afdaf8520c144fd194f,3
7,9a2295396d61923b42a7e17b2ed32b76,3
8,152ba94b0114e383629109249bda5382,12
8,48365b46d17f09c46e09eeb5df3f7cbc,12
8,7e9bad1f676f0a951d057f5aad3897e6,12
8,90193f7be859ab74851a160024675509,12
8,b3cd769ab41d73b881f827466a2c765d,12
8,b9c5156e3586d6d36af52983e5da5a78,12
8,ca21f525cc951d4c8880948bfa020af6,12
8,dbbd3c080e2c7f2fdac4167c18b71ebc,12
8,dd04cec69a2a99dff39091f92c0cba6b,12
8,dda2dfefaeba02120db5fa591431b0d9,12
8,e0d337ea5f839bf2f6b467d85bd535d8,12
8,fccb548b077af16b453a1e6c28e1400d,12
9,1cadcde2a09e7493f64f6383e105ad6b,3
9,9adbe31b5e428859f9c5a3dce6b04152,3
9,9db189bd0ebe2e7e3df8bfaac8bec5bb,3
10,86afb483a0b3f673ee2878a4d3beb913,2
10,d606e98b09cb26ff1be94975e5e861d9,2
11,b93ca9be83f68ab39596c8e68fb48276,4
11,c04736c6845ab007c0d725e770b989d1,4
11,ed2df552b34b4c2b258d02160c940c7d,4
11,f3fdf35c22001ab8f40d020e4d13bd87,4
12,56114f7a0c8f408f518b3b8a92c52feb,2
12,c04070b7b85e3a27f8964d11e5fea888,2
13,0d0263d771e0b07683eec414380241c4,2
13,b14ffcc2124d3b80f90ac8d49c49a771,2
14,7c86e56b099e70a6cb1336934e1a8e7e,2
14,ced3b479914e99b23e9c80da11c3f9b5,2
15,325c9a8f72a5ed5938d36ff412a8ba48,2
15,92647a866cfdea281d7d437260f38cc2,2
16,4ba0012f22b6dde309eaede56908a78a,2
16,b97702ffc7e4e79d53e697e57e8a272b,2
17,3223b11f28a152bc3eee486d96478e8d,2
17,ca2bb950e783b723c0104aa3287541fe,2
18,0ad7912f7de28877cfba2e496713c5da,3
18,4a8eb1aba4bd7f65d877ebc2788442d5,3
18,7acc86de4ef4193cc6941395fa408711,3
19,79d51a62135a822084eebf33d8cb9f78,2
19,a04ccaf5c5b8b62a5d1f38dd93425039,2
20,9f1e54ec0df11b909fe0f1d8f0b7bad9,2
20,b6f805cdb73f2881e136984f4dd4118a,2
21,731a2ae3dd1ace0238c37be03ee0140b,2
21,bfd02b7ad03355958593cad44112b2e5,2
22,0171f653a631cdbc599b26070825c74a,3
22,61f98e5193b0b5d6ba2c476db97f8fdb,3
22,ec1cf19da896ff1f1db7f4ca68b27027,3
23,2f1d53cb9cc7d060795b24b2f7d3c7c1,2
23,eed05e3a88b4b1c2cb3d5f9179ff7911,2
24,4c2a894e5bb1904607f0e23246110093,2
24,514bf91316ce3a445b1a354d9d3e8b5e,2
25,50ecef5b76f9033698087fa6512e60d1,6
25,5ec5a2d83f5fcf59953ceb3f994758a4,6
25,ae0ed4183082fca5ad874e5e8cb192c3,6
25,c6522d1852627aa7b81970f4baf891ab,6
25,e5fa8197512f3ed57f59d7276517df80,6
25,ea4a27c320bf13ad28704b225f2d43e6,6
26,b4582fc24253bff900f228392efbecf8,2
26,bd85a81ee4fdead909c0e5675f372e2f,2
27,0f17c73a541283e63d779839150857b0,4
27,5ae3e165bae74ef6fe2425cf304fd1cb,4
27,73317cf07af020b7d77f737e57c5fca7,4
27,7fd56f9bdc50e36feeb57913c07140ed,4
28,11d358ea3dbc9366de48a0aaaf900d7d,6
28,1a469019420df7e53301e9cd2a06e71f,6
28,6409772fe5eeb51465fa9afb566680ef,6
28,778c8ce3e64793a1fed037d1feb7ff2f,6
28,da6a5667337d3b72621302d399aef6ca,6
28,f74401ed51f3f5facd3b3c27bf89fd5a,6
29,14dc14aae33a1d99c8816a72378c39a2,8
29,31d7850bcca7082be9d60084cede0c4c,8
29,368083fd65f059567d961a00f18ea1ad,8
29,42ad777e9275e3ffb5c00d90d5d2cc65,8
29,59ba62a79483c88f328bcacc8f2c7c80,8
29,60dc82091bdbd8deccf78ab2539adf2e,8
29,a06911754b94cc304372f775f571040e,8
29,cc0ab5c1a689c74c8d004c487e42bc98,8
30,6afc30d00d5337eee773eed69af9f5d9,1
31,09fa4f7e33c4a008657f52b8712f07b6,7
31,0d91cf77669ef7fc31bfd906f53314ac,7
31,1273f8a7c545f26edb53363cbd7827a1,7
31,391fd8bd4289fa9f8b80b96e058d7497,7
31,7d3c30636708185d9aba8f39f4611638,7
31,efd1030119803dec013b974f0673a9fe,7
31,f50c673739bdd15c1c29fbca1792506e,7
32,0d94910f0318e6ef9209095cadf6d3ae,3
32,933fd7c4d9883e7c91017d2763749fc9,3
32,b0c482c66a08c06995ee81bf232fc929,3
33,6c6266fcd4f4f8e6f21ee36568f4b73f,3
33,744a8da4bfda5bf82fac78ce94463a43,3
33,9f10a67a19bc74a140525652d0efedb5,3
34,7f198a46fe83b8ab8c08a3f7e9f60651,3
34,a16290d7c278252df6fabcfa90ce3e96,3
34,eec01adf16a0120811db63f396d47283,3
35,049f00772bf241d3d5a2003119b7dd82,2
35,70013b3624815aa91343bea9bbf760ef,2
36,2292069ef78da198b4268b9da4cfb6ba,3
36,3049b4fbb09b196630a8c4a04effc19e,3
36,40cc1affb74d00e060c96380afb20bee,3
37,597a4784d7544e8a5c4b9a197c0661b7,2
37,d09f5ead7be6959272e77461cf34f8f5,2
38,1ba21061e2799939936422beeac69913,4
38,2c84a18abd087a52b45cca17c15931d4,4
38,8e73c6ddc3b63f1b31eb8574cfd2affd,4
38,f728b38d9232cc593019d23c4af7c8b8,4
39,5d0f5c7be6d061ef0d7b3847b294a6d8,2
39,68458a6b30ec3d402863f77770acb018,2
40,18c4d82a4ed8972effc0021af032e2a0,2
40,764e87cd57f27de7ab28e62f0f7dfa28,2
41,8f18297580e68a2392b0bc560c8e922f,6
41,91d8165298aaa764524aa68920adc6e0,6
41,96c3925624f50fa8ec0622c0e900f0ad,6
41,cdcfdd6a2f633b27875e6b202421cf7c,6
41,db96d4962e62342e325175f662f65da7,6
41,dbf416824164ffd39ebca4400b86c2c7,6
42,2734525b5c068a1c0e53dfb8a80d731b,3
42,324a009d5c2e69930b6a766b65d935aa,3
42,f8a011746c2b3786425dd3b23afed62d,3
43,27693123aabd55610e73137f64b52aa1,2
43,a805a84c9a9cfd1ac6104e80bc18a026,2
44,06cc1a13d5ec1d871aafb9daaf0b0881,2
44,6f33c31087bfe202a27e1942d19515cf,2
45,05533d4a488a0a1d1f8daee8640fb8e2,2
45,856fa7934b2b9f6968893003ca7a688b,2
46,0717c10f48e28b57c43ac1b4b2eadc4c,3
46,2e893f3486d41e2011b8077d52acef21,3
46,c224a52aae95330526d6644686d9d20a,3
47,050defb18b7121a14ce1c4e743bc8761,3
47,07d68ceb839d7f2db5ba05dfc9b62f89,3
47,58889047a9558d27a8efc6d76f76a5bb,3
48,54e34b7944b7da7084d9cdd49e342e02,4
48,6f1a70c3075213c94d16150f58d48c35,4
48,a430301f2470eb263612c94f7936eb9b,4
48,ad4adb98442547bedda170941f0a1d15,4
49,32731a9663e630a286babcca8e6f4ff4,2
49,860426eed0c2484ab6a285a03552da1f,2
50,17dbf832868154b01bb6e3e726d0afbd,2
50,8d8a1b9e8c0982e7573751da356706b2,2
51,65145b6e396bd30f2959925786ea5b6b,6
51,7433e79865efd6b0cabb04f9c042429b,6
51,8b73500edf8405d3f9f7ffe0d5a57944,6
51,a64a49953a69428cbc302c84ec29a265,6
51,df7d62d25f45ef9105ad8d57d4cec4f5,6
51,f0eb15b5593078223975cbbd9a67e0e7,6
52,5bb5ac28c1754334d4cf033a1ceba0e4,2
52,b70ce0631531981bace77b8a04e16ef4,2
53,88339959685f4ee3d63274e94f9f9128,4
53,924cf233e2a39efc3ed3a7bb2740c961,4
53,ba3ccc49a56ef3d044b12748ba2039fd,4
53,ed38c87382c0f4913d1b07c9606bab60,4
54,0fa07ed48e3ad03a6a4e4e5da01ada36,2
54,3baeb63212b5930da353126721f5ab25,2
55,1f0406409c657820a33d150c82f1ddda,6
55,2f808024141a33217b6fe76f6c71c34d,6
55,8ff98b1bec0867e5bb7a82318f6a8c51,6
55,af58f295afd9aee5fb95bbdc41a554fb,6
55,cfe572f459d82d0f05d93d4250feadcd,6
55,eaaec12ec3030ac4e4df24951f3c5708,6
56,3c516de8295a4093abbbc9355fda84ec,6
56,8cf27ac896fe74ffe3ecfeb947593c11,6
56,b4e9c7abdd46d6806989bbf6568a1637,6
56,c3a458c6bc7b32ff0dcfc9f0bb52fe37,6
56,db8375a250c9c9109f1ce6f1e407a571,6
56,e76fd7302f990f5e7e5ecfc85920ed27,6
57,04d53cf9423a7a1c8cbeb1e999c41145,11
57,15134f7faa014d586a4816e192ed1b4d,11
57,282998bf326bfcbebe518b112574e1ec,11
57,2b594ddfcd8c79aa2f647f60f0e05491,11
57,31b67f474b2fab96501e5653aa637273,11
57,5be34dadd6c8c8b92aad4a26821f2cb7,11
57,b2511f6417f44a54c21d7b9be48e09e0,11
57,ca9a38d62b07e1978d66523d2b194cfa,11
57,cb127124392965eed7e985fcb78ae611,11
57,efb27db69d41551b6f38e30d37578fc3,11
57,f94aa1ec2a5ff5493f80b730da1e56ba,11
58,352fadd785019232b9788c5553505170,6
58,6f21a52706d2170fb21ad0f07b8d667f,6
58,b23a329251cf5f4a847cd7c227058e2f,6
58,b8ccb4897074e3c9ee6aece2500ecd35,6
58,c61640335e41b0067a5392b837ef2d9a,6
58,ef768776368efeedfd2ad983e6532dc1,6
59,084b8a6635d6e63c015b8c99300171b2,16
59,1713a3bcf6cdefc9a9bba776cb3d05c1,16
59,27a421942ee688922723b991835de196,16
59,35b73fd3811076168098ef1eddc233eb,16
59,37b012e1356848b1bf110a2a18876f60,16
59,4536f8a3686c5242a62e06f76fac47fe,16
59,4af2c4f857660ed05b053795c5a79bb4,16
59,8f1e4b8140b84e46d38499d1a62bd4ac,16
59,a5555ad915ac467e5c4d8303acf4ac3b,16
59,bdf2b42baeea4c2eaa6f74dc9af1a786,16
59,c23f29072611578b201a787afa412fa8,16
59,c30700dcf1e4ef69f8300d6d0dd4580c,16
59,cf5be113c958dc3bfb872a6ace26ec68,16
59,df36b624704f784d846344c74ba383e5,16
59,f40620875edc07e50139eac977a9bbfc,16
