group_id,method_id,group_size
1,0fed5afa4d202fbd644d049d6175883f,3
1,4c8e90509ff5320336fde5c7ccf32da2,3
1,7f822de0449bd3eff60cc80e7e8cba2d,3
2,089eb7bff8c4c3994a36b937c63b09ef,4
2,6dbc826b6707e53b0b501c0376e052fd,4
2,aacc57d4e2b4af2a95a6549354432421,4
2,aec8c4af832c5ce01b80b94e95bf67bf,4
3,4e25a5014b4179b90637b04f9902ac31,7
3,6326351c2faefbf3895126069a8130cf,7
3,b10e31a5723840ed8b75a8cd0fae682c,7
3,b1686544dccebfb75846317e63cdabc8,7
3,d6106c1ab720e9d333d591c19d863bd4,7
3,dd8e185515c310737b7e1f66521ca253,7
3,f7005edb014ecf40183e2d25db48f457,7
4,00cfefa887f25eebd27f61cf8b5eb9b2,9
4,055ec3faa510ed5d08f99dc57f78df78,9
4,2a83455d00a676c3e38c843da14a86ff,9
4,41f29299dbd838538fbb2c707e114e5a,9
4,72277ae7707b8a39ac6dd68dede48f48,9
4,989b01d1046db20aba29c0abed57c888,9
4,af26c37d2cbac0d242ab74867eca3cf0,9
4,b166babe7107cb28a3b9a27f48df9768,9
4,ffe6791b91684aad5a42ad9f824dbba7,9
5,1cadcde2a09e7493f64f6383e105ad6b,4
5,599fc8647a31ce432171339bc0d35362,4
5,9adbe31b5e428859f9c5a3dce6b04152,4
5,9db189bd0ebe2e7e3df8bfaac8bec5bb,4
6,0ad7912f7de28877cfba2e496713c5da,3
6,4a8eb1aba4bd7f65d877ebc2788442d5,3
6,7acc86de4ef4193cc6941395fa408711,3
7,b93ca9be83f68ab39596c8e68fb48276,4
7,c04736c6845ab007c0d725e770b989d1,4
7,ed2df552b34b4c2b258d02160c940c7d,4
7,f3fdf35c22001ab8f40d020e4d13bd87,4
8,152ba94b0114e383629109249bda5382,12
8,48365b46d17f09c46e09eeb5df3f7cbc,12
8,7e9bad1f676f0a951d057f5aad3897e6,12
8,90193f7be859ab74851a160024675509,12
8,b3cd769ab41d73b881f827466a2c765d,12
8,b9c5156e3586d6d36af52983e5da5a78,12
8,ca21f525cc951d4c8880948bfa020af6,12
8,dbbd3c080e2c7f2fdac4167c18b71ebc,12
8,dd04cec69a2a99dff39091f92c0cba6b,12
8,dda2dfefaeba02120db5fa591431b0d9,12
8,e0d337ea5f839bf2f6b467d85bd535d8,12
8,fccb548b077af16b453a1e6c28e1400d,12
9,56114f7a0c8f408f518b3b8a92c52feb,2
9,c04070b7b85e3a27f8964d11e5fea888,2
10,800bfa9e7c9c59fe63cece7fa1d2a0aa,2
10,ce7803b318a3a52cf7c6dcacef21c7f1,2
11,3223b11f28a152bc3eee486d96478e8d,2
11,ca2bb950e783b723c0104aa3287541fe,2
12,258570f40d0d665e8ec6554d2348c62c,4
12,7a097d21f10b953290e17f15ad5ff11a,4
12,8ed35399ab1d3fc2c91e1d4fc8361f79,4
12,b8faa13603b72f54a57a016db1c58375,4
13,50ecef5b76f9033698087fa6512e60d1,6
13,5ec5a2d83f5fcf59953ceb3f994758a4,6
13,ae0ed4183082fca5ad874e5e8cb192c3,6
