group_id,method_id,group_size
1,0fed5afa4d202fbd644d049d6175883f,3
1,4c8e90509ff5320336fde5c7ccf32da2,3
1,7f822de0449bd3eff60cc80e7e8cba2d,3
2,00cfefa887f25eebd27f61cf8b5eb9b2,9
2,055ec3faa510ed5d08f99dc57f78df78,9
2,2a83455d00a676c3e38c843da14a86ff,9
2,41f29299dbd838538fbb2c707e114e5a,9
2,72277ae7707b8a39ac6dd68dede48f48,9
2,989b01d1046db20aba29c0abed57c888,9
2,af26c37d2cbac0d242ab74867eca3cf0,9
2,b166babe7107cb28a3b9a27f48df9768,9
2,ffe6791b91684aad5a42ad9f824dbba7,9
3,4e25a5014b4179b90637b04f9902ac31,7
3,6326351c2faefbf3895126069a8130cf,7
3,b10e31a5723840ed8b75a8cd0fae682c,7
3,b1686544dccebfb75846317e63cdabc8,7
3,d6106c1ab720e9d333d591c19d863bd4,7
3,dd8e185515c310737b7e1f66521ca253,7
3,f7005edb014ecf40183e2d25db48f457,7
4,0ad7912f7de28877cfba2e496713c5da,3
4,4a8eb1aba4bd7f65d877ebc2788442d5,3
4,7acc86de4ef4193cc6941395fa408711,3
5,75162d3ab033b7165761814677fa3dc2,3
5,94c5a5a908f097315765eb9f60eac29c,3
5,c04070b7b85e3a27f8964d11e5fea888,3
6,731a2ae3dd1ace0238c37be03ee0140b,2
6,bfd02b7ad03355958593cad44112b2e5,2
7,2060ec412a6524fa18d17937375cf762,4
7,56afb9be1168c62653d4c8fe9a73c669,4
7,5d6480123bb661b358e5a9f92fa8f9d9,4
7,680e536d21de30e9db82672ef96e9cf8,4
8,0b0db1106d3d59cf56e3f21b1b62b97b,3
8,204d441a8c677afdaf8520c144fd194f,3
8,9a2295396d61923b42a7e17b2ed32b76,3
9,152ba94b0114e383629109249bda5382,11
9,48365b46d17f09c46e09eeb5df3f7cbc,11
9,6153352698326961657fb6c71d69cb41,11
9,7e9bad1f676f0a951d057f5aad3897e6,11
9,90193f7be859ab74851a160024675509,11
9,b3cd769ab41d73b881f827466a2c765d,11
9,cc03fd8d97e6e336170c1c2ddf10447f,11
9,dbbd3c080e2c7f2fdac4167c18b71ebc,11
9,dda2dfefaeba02120db5fa591431b0d9,11
9,e0d337ea5f839bf2f6b467d85bd535d8,11
9,fccb548b077af16b453a1e6c28e1400d,11
10,258570f40d0d665e8ec6554d2348c62c,4
10,7a097d21f10b953290e17f15ad5ff11a,4
10,8ed35399ab1d3fc2c91e1d4fc8361f79,4
10,b8faa13603b72f54a57a016db1c58375,4
11,9f1e54ec0df11b909fe0f1d8f0b7bad9,2
11,b6f805cdb73f2881e136984f4dd4118a,2
12,747cc7f57f32b159bfcee9939d26ef3a,2
12,914884d91250cc54f55ca7bad74abd78,2
13,458807d4e08cd7ad3cbc17417084849a,1
14,18c4d82a4ed8972effc0021af032e2a0,2
14,764e87cd57f27de7ab28e62f0f7dfa28,2
15,33b5dae1e77cabf6cc8f35f6e303b2be,3
15,7d1a6b7deef8bbb48cbf96c8ad8541fe,3
15,d214fab9520744d68eed16c68907ce2b,3
