group_id,method_id,group_size
1,75162d3ab033b7165761814677fa3dc2,3
1,94c5a5a908f097315765eb9f60eac29c,3
1,c04070b7b85e3a27f8964d11e5fea888,3
2,205a294ecc9ae9e81e58339cddb54008,2
2,de514175e432f83305d8911542811b4d,2
3,00cfefa887f25eebd27f61cf8b5eb9b2,7
3,055ec3faa510ed5d08f99dc57f78df78,7
3,41f29299dbd838538fbb2c707e114e5a,7
3,72277ae7707b8a39ac6dd68dede48f48,7
3,af26c37d2cbac0d242ab74867eca3cf0,7
3,b166babe7107cb28a3b9a27f48df9768,7
3,ffe6791b91684aad5a42ad9f824dbba7,7
4,152ba94b0114e383629109249bda5382,11
4,48365b46d17f09c46e09eeb5df3f7cbc,11
4,6153352698326961657fb6c71d69cb41,11
4,7e9bad1f676f0a951d057f5aad3897e6,11
4,90193f7be859ab74851a160024675509,11
4,b3cd769ab41d73b881f827466a2c765d,11
4,cc03fd8d97e6e336170c1c2ddf10447f,11
4,dbbd3c080e2c7f2fdac4167c18b71ebc,11
4,dda2dfefaeba02120db5fa591431b0d9,11
4,e0d337ea5f839bf2f6b467d85bd535d8,11
4,fccb548b077af16b453a1e6c28e1400d,11
5,2060ec412a6524fa18d17937375cf762,4
5,56afb9be1168c62653d4c8fe9a73c669,4
5,5d6480123bb661b358e5a9f92fa8f9d9,4
5,680e536d21de30e9db82672ef96e9cf8,4
6,338acf3c89db9930733fb4ade1a8ae90,4
6,b0cdecba5eb75d695e4c50de2295b30e,4
6,c680d17e80a532ac58161ce987b7413b,4
6,f1c32869bddd8b645f170d8899bc4196,4
7,b93ca9be83f68ab39596c8e68fb48276,4
7,c04736c6845ab007c0d725e770b989d1,4
7,ed2df552b34b4c2b258d02160c940c7d,4
7,f3fdf35c22001ab8f40d020e4d13bd87,4
8,0fed5afa4d202fbd644d049d6175883f,3
8,4c8e90509ff5320336fde5c7ccf32da2,3
8,7f822de0449bd3eff60cc80e7e8cba2d,3
9,1ca0c2a7bee662452466e290194bfd18,3
9,2f3229f7719addf9d9b3ce595d8d4bf7,3
9,9405f8d60a1db526441e3c60028b2fb9,3
10,0305b4858cdc7011f514dc2a343c3136,6
10,12dfd08f9cb9f7e4fe5cce6406b53c24,6
10,39ac62ce9479da250b38291695e36572,6
10,64b771ed74d42f71bbae578dd3041352,6
10,81289f53ebf61b89ce7cdde1642fe6db,6
10,d243ed43cfcae6f47ebb73c65e07861f,6
11,66425263701939bff0a4f2956f3b8957,2
11,70a8bc2ecd59715b15559f9bb5b49c59,2
12,4e25a5014b4179b90637b04f9902ac31,7
12,6326351c2faefbf3895126069a8130cf,7
12,b10e31a5723840ed8b75a8cd0fae682c,7
12,b1686544dccebfb75846317e63cdabc8,7
12,d6106c1ab720e9d333d591c19d863bd4,7
12,dd8e185515c310737b7e1f66521ca253,7
12,f7005edb014ecf40183e2d25db48f457,7
13,258570f40d0d665e8ec6554d2348c62c,4
13,7a097d21f10b953290e17f15ad5ff11a,4
13,8ed35399ab1d3fc2c91e1d4fc8361f79,4
13,b8faa13603b72f54a57a016db1c58375,4
14,0b0db1106d3d59cf56e3f21b1b62b97b,3
14,204d441a8c677afdaf8520c144fd194f,3
14,9a2295396d61923b42a7e17b2ed32b76,3
15,2f1d53cb9cc7d060795b24b2f7d3c7c1,2
15,eed05e3a88b4b1c2cb3d5f9179ff7911,2
16,731a2ae3dd1ace0238c37be03ee0140b,2
16,bfd02b7ad03355958593cad44112b2e5,2
17,0ad7912f7de28877cfba2e496713c5da,3
17,4a8eb1aba4bd7f65d877ebc2788442d5,3
17,7acc86de4ef4193cc6941395fa408711,3
18,458807d4e08cd7ad3cbc17417084849a,1
19,290d8da41f81c27213a79cc26830183b,6
19,5d0f5c7be6d061ef0d7b3847b294a6d8,6
19,68458a6b30ec3d402863f77770acb018,6
19,74671fb64b7fe0d4c99bd88698bbece0,6
19,d83c47bfaf015ce0e369200d56af1313,6
19,f54a5f4b0a5bfd7511e0029de61778a3,6
20,3223b11f28a152bc3eee486d96478e8d,2
20,ca2bb950e783b723c0104aa3287541fe,2
21,6afc30d00d5337eee773eed69af9f5d9,1
22,4dd1204cbd52dfb40b0f2e418d0593f4,2
22,a8fcdd71cc5534266b2452573f003def,2
23,3bdb09c2e9209a98b959847fa661555d,4
23,43ba4d06b364cbd90874ff598f3a4d67,4
23,b1664f87d4cb624e791169f7ed4cc9cc,4
23,ee8e04e2a1d5a234225836bd1e5f4079,4
24,787807b75474793262300268ba886b23,2
24,7f2ef911e0d7435e5fe634202c89d4ed,2
25,86afb483a0b3f673ee2878a4d3beb913,2
25,d606e98b09cb26ff1be94975e5e861d9,2
26,1ba21061e2799939936422beeac69913,4
26,2c84a18abd087a52b45cca17c15931d4,4
26,8e73c6ddc3b63f1b31eb8574cfd2affd,4
26,f728b38d9232cc593019d23c4af7c8b8,4
27,18c6d6e5329cb985c8e1f78f5a89d30e,2
27,8b0404223529c76d3ebb573ae1a160ec,2
28,33b5dae1e77cabf6cc8f35f6e303b2be,3
28,7d1a6b7deef8bbb48cbf96c8ad8541fe,3
28,d214fab9520744d68eed16c68907ce2b,3
29,020ea1b44cbaa344543a60a4d31473f7,4
29,0e21cf64cfcb7147246a2341cf17254e,4
29,1ba1a98ef664cf9ec922545e4e2159ff,4
29,7c962f811cda502a68112fdcf7539ef1,4
30,9f1e54ec0df11b909fe0f1d8f0b7bad9,2
30,b6f805cdb73f2881e136984f4dd4118a,2
31,1617551db816d830b32a4f1cb87d94ae,4
31,3da8d37d5806145e0c62ee423a1054a3,4
31,4c2a894e5bb1904607f0e23246110093,4
31,514bf91316ce3a445b1a354d9d3e8b5e,4
32,0f17c73a541283e63d779839150857b0,4
32,4cc0eef0118a519529ba08b2b971b1cb,4
32,73317cf07af020b7d77f737e57c5fca7,4
32,7fd56f9bdc50e36feeb57913c07140ed,4
33,b4582fc24253bff900f228392efbecf8,2
33,bd85a81ee4fdead909c0e5675f372e2f,2
34,0679a51f530d9e3b60d7d758c46beb7d,8
34,18fd95dfba8171569662e899de9a8c15,8
34,268275049411f44ac204786b74604cbd,8
34,a3e1afa20beea2bd5a033b243d63f2de,8
34,a63804afa14c6e68b3f247de4c98f294,8
34,d11e247a53890ee2e5ed0562d9be49c1,8
34,e912add67c4ef1e51cb1d71f86138ec3,8
34,fdce1729c2e2e88fefe059a0634e51b6,8
35,53d1d11294b26e49d735e27ea12ec90b,2
35,856fa7934b2b9f6968893003ca7a688b,2
36,11476fa531c5c7bde87e9f4f07db1098,4
36,6f1a70c3075213c94d16150f58d48c35,4
36,a0f4ad6445a658ee56e81fae6cc43b90,4
36,ad4adb98442547bedda170941f0a1d15,4
37,53caddfaba6fcef484275ddfd4aee266,3
37,9f10a67a19bc74a140525652d0efedb5,3
37,eba804dbc3813a9fe6c0488de00b4d8e,3
38,69f9124176353d8b82bdd1c99d8fb6e0,2
38,b8aacec1fe8a7e08a6ac7dbb53e9fcee,2
39,0171f653a631cdbc599b26070825c74a,3
39,61f98e5193b0b5d6ba2c476db97f8fdb,3
39,ec1cf19da896ff1f1db7f4ca68b27027,3
40,325c9a8f72a5ed5938d36ff412a8ba48,2
40,92647a866cfdea281d7d437260f38cc2,2
41,0d0263d771e0b07683eec414380241c4,2
41,b14ffcc2124d3b80f90ac8d49c49a771,2
42,24d42127c7b7bd7a70c19a3ba30613c1,2
42,f7cb54144b2d68b0c6daf63e9b1b6bda,2
43,3376d32fac26713f8beebe9acac4265a,9
43,4fa8ea3258014eeed2e8f39854a077c5,9
43,866cc13cdbeb94378a5087bde3a439db,9
43,94256bcee58851bb13723cb0366708a8,9
43,b3e73b4a4801b537924a95c9cba2683a,9
43,c381525f583f18be07510aa70dd14a43,9
43,c4ce02691b4ec7022e6e41a6aa59efde,9
43,dfe2765af8b28f171d8a1d9d3cf221d2,9
43,f1c37528f255c8537731521bbb16b87f,9
44,07b5cc7f40441cd5b3194ee6529ed958,2
44,36b3a482846facdaf50e60276ae16731,2
45,049f00772bf241d3d5a2003119b7dd82,2
45,70013b3624815aa91343bea9bbf760ef,2
46,5bed926a22053f3b12e3385ab5daca31,2
46,dd331b3bec858638e14182f6baf014c1,2
47,0fa07ed48e3ad03a6a4e4e5da01ada36,2
47,a811dc9919adf6dde8be4a1977db8602,2
48,0b665cbe245428750a93969989679d28,5
