/app/Repos/pandas/bench/serialize.py,76,85,pandas_roundtrip,None,[filename:Any;dma1:Any;dma2:Any],/app/Repos/pandas/bench/io_roundtrip.py,99,109,pandas_roundtrip,None,[filename:Any;dma1:Any;dma2:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,69,74,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,151,156,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,81,86,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,151,156,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,103,108,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,151,156,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,115,120,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,151,156,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,127,132,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,151,156,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,139,144,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,151,156,setup,None,[self:Any]
/app/Repos/pandas/bench/bench_unique.py,32,39,algo1,None,[],/app/Repos/pandas/bench/bench_unique.py,39,48,algo2,None,[]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,69,74,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,103,108,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,81,86,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,103,108,setup,None,[self:Any]
/app/Repos/pandas/bench/test.py,14,31,groupby1,None,[lat:Any;lon:Any;data:Any],/app/Repos/pandas/bench/test.py,31,46,group_mean,None,[lat:Any;lon:Any;data:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,163,169,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,176,182,setup,None,[self:Any]
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[]
/app/Repos/pandas/bench/bench_unique.py,151,169,dict_unique,None,[values:Any;expected_K:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any]
/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any]
/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,215,229,khash_unique_int64,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any]
/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,8,16,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,80,88,setup,None,[self:Any]
/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,215,229,khash_unique_int64,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any]
/app/Repos/pandas/asv_bench/benchmarks/index_object.py,39,47,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/index_object.py,54,62,setup,None,[self:Any]
/app/Repos/pandas/bench/bench_unique.py,151,169,dict_unique,None,[values:Any;expected_K:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any]
/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[]
