pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/bench/io_roundtrip.py,91,100,/app/Repos/pandas/bench/io_roundtrip.py,91,100,True,fb355c97d90d7d8e82fc9097ce5d6cd6
2,/app/Repos/pandas/scripts/bench_join.py,37,44,/app/Repos/pandas/scripts/bench_join.py,44,51,True,223a0cc4dc2eed310c10f9de3f6fc3f2
3,/app/Repos/pandas/doc/sphinxext/phantom_import.py,32,163,/app/Repos/pandas/doc/sphinxext/phantom_import.py,78,92,True,3f3c07bfbc73d2906743813c4acffbc4
4,/app/Repos/pandas/scripts/groupby_sample.py,21,28,/app/Repos/pandas/scripts/groupby_sample.py,28,35,True,2dc9cd0573cc13b539fb1ce54226c86c
5,/app/Repos/pandas/scripts/bench_join.py,77,84,/app/Repos/pandas/scripts/bench_join.py,95,106,True,ebad7c5871bf644e9c2697fe102cfbde
6,/app/Repos/pandas/scripts/bench_join.py,84,95,/app/Repos/pandas/scripts/bench_join.py,95,106,True,a8b225ef5fc2de138fc5b7d422d290b7
7,/app/Repos/pandas/doc/sphinxext/autosummary.py,178,259,/app/Repos/pandas/doc/sphinxext/autosummary.py,206,221,True,b32dff8de12b1d455057e4b45dedb226
8,/app/Repos/pandas/scripts/bench_join.py,56,71,/app/Repos/pandas/scripts/bench_join.py,77,84,True,cd498348d63f0eff664ed7f5f5d6d809
9,/app/Repos/pandas/bench/test.py,12,28,/app/Repos/pandas/bench/test.py,28,42,True,c690b5ebcbe9e4f5333ca39427c185cb
10,/app/Repos/pandas/bench/bench_tseries.py,140,175,/app/Repos/pandas/bench/bench_tseries.py,164,173,True,03b4873f7a6f495f7e142bd6d471d370
11,/app/Repos/pandas/doc/sphinxext/phantom_import.py,32,163,/app/Repos/pandas/doc/sphinxext/phantom_import.py,63,76,True,ca0ae1aa0eeed7bec10b6d4db468c2a8
12,/app/Repos/pandas/scripts/bench_join.py,77,84,/app/Repos/pandas/scripts/bench_join.py,84,95,True,d99f85f92f705940c1473f276866ef51
13,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,36,49,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,57,98,True,b8b6e9fb99e7fd2efe5da3c98a3681cb
