pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/bench/io_roundtrip.py,91,100,/app/Repos/pandas/bench/io_roundtrip.py,91,100,True,fb355c97d90d7d8e82fc9097ce5d6cd6
2,/app/Repos/pandas/bench/bench_unique.py,157,179,/app/Repos/pandas/bench/bench_unique.py,179,201,True,320013cd4df8f4f398da26fbc6b5229d
3,/app/Repos/pandas/bench/bench_unique.py,41,48,/app/Repos/pandas/bench/bench_unique.py,48,55,True,a7d3a8334ad15d4fb0a1bb9f86eb2cc6
4,/app/Repos/pandas/bench/bench_unique.py,140,157,/app/Repos/pandas/bench/bench_unique.py,179,201,True,69ed1cca55e1bf42be8f39aca4a2a539
5,/app/Repos/pandas/bench/bench_unique.py,27,33,/app/Repos/pandas/bench/bench_unique.py,33,41,True,36cc565505b679a65ddd890e6be3401e
6,/app/Repos/pandas/bench/bench_unique.py,41,48,/app/Repos/pandas/bench/bench_unique.py,86,125,True,4572187106cf3d6a057828a08e6741e9
7,/app/Repos/pandas/doc/sphinxext/phantom_import.py,32,163,/app/Repos/pandas/doc/sphinxext/phantom_import.py,63,76,True,ca0ae1aa0eeed7bec10b6d4db468c2a8
8,/app/Repos/pandas/scripts/bench_join.py,37,44,/app/Repos/pandas/scripts/bench_join.py,44,51,True,223a0cc4dc2eed310c10f9de3f6fc3f2
9,/app/Repos/pandas/bench/bench_unique.py,48,55,/app/Repos/pandas/bench/bench_unique.py,86,125,True,5d3db9532c8cbe7ef5ecaf4703d83596
10,/app/Repos/pandas/doc/sphinxext/docscrape.py,189,244,/app/Repos/pandas/doc/sphinxext/docscrape.py,199,210,True,477e9069cf41775ce3fd6128711ad727
11,/app/Repos/pandas/scripts/bench_join.py,56,71,/app/Repos/pandas/scripts/bench_join.py,77,84,True,cd498348d63f0eff664ed7f5f5d6d809
12,/app/Repos/pandas/bench/bench_unique.py,157,179,/app/Repos/pandas/bench/bench_unique.py,201,214,True,656d96a755f91324533174c8d2dcce92
13,/app/Repos/pandas/bench/bench_unique.py,79,86,/app/Repos/pandas/bench/bench_unique.py,86,125,True,6548a72a70fb62d72dea873d18b61ee2
14,/app/Repos/pandas/bench/bench_unique.py,179,201,/app/Repos/pandas/bench/bench_unique.py,201,214,True,216f7e8b230ede8c5fe937cebd1e7449
15,/app/Repos/pandas/scripts/file_sizes.py,148,166,/app/Repos/pandas/scripts/file_sizes.py,166,179,True,199bfd97f204b8f42e8a6ede887ce535
16,/app/Repos/pandas/scripts/bench_join.py,77,84,/app/Repos/pandas/scripts/bench_join.py,95,106,True,ebad7c5871bf644e9c2697fe102cfbde
17,/app/Repos/pandas/scripts/bench_join.py,84,95,/app/Repos/pandas/scripts/bench_join.py,95,106,True,a8b225ef5fc2de138fc5b7d422d290b7
18,/app/Repos/pandas/doc/sphinxext/docscrape.py,369,379,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,123,139,True,845d8f77f689f579dc7dce3b51211cff
19,/app/Repos/pandas/bench/bench_unique.py,140,157,/app/Repos/pandas/bench/bench_unique.py,157,179,True,6ea433c9dd8a619a11ad1c09be8f4caf
20,/app/Repos/pandas/doc/sphinxext/docscrape.py,87,112,/app/Repos/pandas/doc/sphinxext/docscrape.py,87,112,True,fdc8e94bf998882bba428a002017d816
21,/app/Repos/pandas/bench/test.py,12,28,/app/Repos/pandas/bench/test.py,28,42,True,c690b5ebcbe9e4f5333ca39427c185cb
22,/app/Repos/pandas/doc/sphinxext/docscrape.py,326,336,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,36,49,True,4a6f88e8b884df26ed0e72da8ee37aab
23,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,239,253,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,321,333,True,8bc08e90c378f045d4bb53760facb07d
24,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,208,227,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,208,227,True,0264ca2e280d6e32ec41e0913e09c359
25,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,True,3524315f12d0c807dc7cc18413dd4eba
26,/app/Repos/pandas/scripts/groupby_sample.py,21,28,/app/Repos/pandas/scripts/groupby_sample.py,28,35,True,2dc9cd0573cc13b539fb1ce54226c86c
27,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,175,193,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,175,193,True,5217c68f7b88bb793b95fc8313a37fb1
28,/app/Repos/pandas/scripts/file_sizes.py,41,52,/app/Repos/pandas/scripts/file_sizes.py,52,75,True,487c4b78a57ccdd7177bceab797091c5
29,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,True,6886eef8935f8912997d234f1ba332b9
30,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,True,af702190f9f055e6187a2925e370f112
31,/app/Repos/pandas/doc/sphinxext/docscrape.py,379,396,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,175,193,True,05c0486d5ff999b8e02fd2647b9f17ef
32,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,340,348,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,True,53466010e399e9f6cac8d435e0c780b7
33,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,True,e06d47245ae638ecd91e8a1dca21f224
34,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,True,c38786e64c68f8258c3dd09a9cecae35
35,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,132,145,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,462,481,True,a294b69a5b5dc30c58cf6b7772fd2012
36,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,288,311,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,311,321,True,7e5fc024011f4c545142debf7cf89e71
37,/app/Repos/pandas/pandas/tools/tests/test_pivot.py,50,55,/app/Repos/pandas/pandas/tools/tests/test_pivot.py,55,62,True,eb6fe0a7d80a5f01418b9c9ccb091da8
38,/app/Repos/pandas/bench/bench_unique.py,41,48,/app/Repos/pandas/bench/bench_unique.py,79,86,True,2c740fdd12cff76b4a7d2c381f953173
39,/app/Repos/pandas/bench/bench_unique.py,48,55,/app/Repos/pandas/bench/bench_unique.py,79,86,True,df581785e8bb6938cdf8d0446b11ef64
40,/app/Repos/pandas/doc/sphinxext/phantom_import.py,32,163,/app/Repos/pandas/doc/sphinxext/phantom_import.py,78,92,True,3f3c07bfbc73d2906743813c4acffbc4
41,/app/Repos/pandas/pandas/tools/tests/test_tile.py,24,30,/app/Repos/pandas/pandas/tools/tests/test_tile.py,36,42,True,0e7687d1d90e2ceb3cc2f33bc839ef1a
42,/app/Repos/pandas/scripts/testmed.py,29,38,/app/Repos/pandas/scripts/testmed.py,38,64,True,45a0f63ed2ae52c36555e1c03a319b3d
43,/app/Repos/pandas/scripts/bench_join.py,77,84,/app/Repos/pandas/scripts/bench_join.py,84,95,True,d99f85f92f705940c1473f276866ef51
44,/app/Repos/pandas/pandas/tools/tests/test_tile.py,30,36,/app/Repos/pandas/pandas/tools/tests/test_tile.py,36,42,True,8ad595f8a0fe79f97414c3c71249f6d8
45,/app/Repos/pandas/pandas/core/index.py,522,581,/app/Repos/pandas/pandas/core/index.py,585,624,True,2037a80831bee73055ca28c941667c23
46,/app/Repos/pandas/pandas/tools/merge.py,181,200,/app/Repos/pandas/pandas/tools/merge.py,460,485,True,a6f4e1c38ec7238b0f84f44967862c1d
47,/app/Repos/pandas/doc/sphinxext/comment_eater.py,22,29,/app/Repos/pandas/doc/sphinxext/comment_eater.py,42,50,True,0d1c6da1235e11057c66c558cdc92180
48,/app/Repos/pandas/pandas/tools/tests/test_pivot.py,26,50,/app/Repos/pandas/pandas/tools/tests/test_pivot.py,62,69,True,8d825195eff2e1adf7f94ed0887667f9
49,/app/Repos/pandas/pandas/tools/tests/test_pivot.py,12,26,/app/Repos/pandas/pandas/tools/tests/test_pivot.py,224,240,True,8e84d9fe5568840c570af44eeaa5e24f
50,/app/Repos/pandas/doc/sphinxext/docscrape.py,326,336,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,57,98,True,ced590edf8d562c126d9890f25e1d4b6
51,/app/Repos/pandas/pandas/tools/tests/test_tile.py,24,30,/app/Repos/pandas/pandas/tools/tests/test_tile.py,42,48,True,4a6968ee6bc35716fa8bd5edf3b5ce7d
52,/app/Repos/pandas/pandas/tools/tests/test_tile.py,30,36,/app/Repos/pandas/pandas/tools/tests/test_tile.py,42,48,True,0dd8b663bff47503e1915e76cce53d6f
53,/app/Repos/pandas/pandas/tools/tests/test_tile.py,36,42,/app/Repos/pandas/pandas/tools/tests/test_tile.py,42,48,True,1f25f6389c74d73223d73d82d01be09d
54,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,36,49,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,57,98,True,b8b6e9fb99e7fd2efe5da3c98a3681cb
55,/app/Repos/pandas/pandas/tools/tests/test_pivot.py,240,246,/app/Repos/pandas/pandas/tools/tests/test_pivot.py,246,259,True,164739aedfad88735147908c1097d8da
56,/app/Repos/pandas/pandas/util/decorators.py,130,182,/app/Repos/pandas/pandas/util/decorators.py,169,181,True,d80dba433b6c6faaecc70d01c4f342fb
57,/app/Repos/pandas/pandas/tools/tests/test_pivot.py,96,143,/app/Repos/pandas/pandas/tools/tests/test_pivot.py,97,111,True,04b4e4818ece8f5b4435daed42329bce
58,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,340,348,True,4764ce591474df67f5e4bd44b144bfdd
59,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,340,348,True,57e8c9c3379be0bba34ed05829962a7f
60,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,340,348,True,07e03dd1ed7b743ceb7827123186a7e5
61,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,True,531a8145151254c0ee8621ff22b7cb67
62,/app/Repos/pandas/scripts/testmed.py,38,64,/app/Repos/pandas/scripts/testmed.py,64,85,True,9511d5e2a14e22b6ddacfeac2ae3e60c
63,/app/Repos/pandas/setup.py,346,361,/app/Repos/pandas/setup.py,361,371,True,2cbd31c7ededd10f80e1e60baf60e46a
64,/app/Repos/pandas/pandas/tools/tests/test_tile.py,24,30,/app/Repos/pandas/pandas/tools/tests/test_tile.py,30,36,True,09b6d78784b49d70fad191a8e4074457
65,/app/Repos/pandas/pandas/core/index.py,20,35,/app/Repos/pandas/pandas/core/index.py,25,32,True,2c3d45e172188216e1c878c0a4f50a48
66,/app/Repos/pandas/pandas/core/categorical.py,10,28,/app/Repos/pandas/pandas/core/categorical.py,11,23,True,fde1904349442e35abc62149bf707da0
67,/app/Repos/pandas/pandas/core/internals.py,20,37,/app/Repos/pandas/pandas/core/internals.py,398,406,True,117e35d8a7005e69025c0e2e76b8b512
68,/app/Repos/pandas/pandas/compat/scipy.py,8,84,/app/Repos/pandas/pandas/core/algorithms.py,248,269,True,d25692404b5fb51988aa226dd693a44d
69,/app/Repos/pandas/pandas/compat/scipy.py,8,84,/app/Repos/pandas/pandas/core/algorithms.py,202,276,True,ea9c57b33e0b2428abaa2c7bbb7807d7
70,/app/Repos/pandas/pandas/core/index.py,20,35,/app/Repos/pandas/pandas/tseries/index.py,59,79,True,24c5188563d11e57d5703d2983f3c9ce
71,/app/Repos/pandas/pandas/core/index.py,25,32,/app/Repos/pandas/pandas/tseries/index.py,59,79,True,d4a01cdd72551b2be51b5daebba71128
72,/app/Repos/pandas/pandas/core/index.py,25,32,/app/Repos/pandas/pandas/tseries/index.py,63,76,True,99348050b72dabfd3a9e6d706efe90fb
73,/app/Repos/pandas/pandas/core/index.py,282,291,/app/Repos/pandas/pandas/tseries/index.py,506,517,True,00c89d3f7a6bf4418d3df9d3aead2dde
74,/app/Repos/pandas/pandas/core/index.py,197,208,/app/Repos/pandas/pandas/tseries/index.py,584,600,True,d1f0eb11bc215db7fa8917b028f9cf89
75,/app/Repos/pandas/pandas/core/index.py,329,360,/app/Repos/pandas/pandas/tseries/index.py,600,631,True,25a0da86192e2362df03b356b35ee2a5
