pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/bench/bench_unique.py,168,191,/app/Repos/pandas/bench/bench_unique.py,191,214,True,42c96df7eb63e913686c3d2840fd19dd
2,/app/Repos/pandas/bench/io_roundtrip.py,97,107,/app/Repos/pandas/bench/serialize.py,74,83,True,3d33eaa2c76a2affd481604f0ba0b4e2
3,/app/Repos/pandas/bench/bench_unique.py,46,54,/app/Repos/pandas/bench/bench_unique.py,87,95,True,032db17624b19ef8223971b4da9bcd00
4,/app/Repos/pandas/bench/bench_unique.py,46,54,/app/Repos/pandas/bench/bench_unique.py,95,134,True,6878758bc92714454eb1a8570c3f44e6
5,/app/Repos/pandas/bench/bench_unique.py,54,61,/app/Repos/pandas/bench/bench_unique.py,87,95,True,f30fbce269bef44bc7546e0062013804
6,/app/Repos/pandas/bench/bench_unique.py,54,61,/app/Repos/pandas/bench/bench_unique.py,95,134,True,d99a5562b469fc7080e98d23336dbd75
7,/app/Repos/pandas/bench/bench_unique.py,87,95,/app/Repos/pandas/bench/bench_unique.py,95,134,True,0c984034d3b5a759fd3e9ab6b8da2f68
8,/app/Repos/pandas/bench/bench_unique.py,30,37,/app/Repos/pandas/bench/bench_unique.py,37,46,True,d83d83b4926d58947a23c7cf2ee28f39
9,/app/Repos/pandas/bench/bench_unique.py,150,168,/app/Repos/pandas/bench/bench_unique.py,191,214,True,b132e019c5779f328fb03a48097644a1
10,/app/Repos/pandas/scripts/bench_join.py,61,77,/app/Repos/pandas/scripts/bench_join.py,84,92,True,e1d2608e52c61322ba2d4efad648511e
11,/app/Repos/pandas/scripts/file_sizes.py,44,55,/app/Repos/pandas/scripts/file_sizes.py,55,78,True,62bff62ba938a0600de8481df27f780c
12,/app/Repos/pandas/doc/sphinxext/comment_eater.py,22,29,/app/Repos/pandas/doc/sphinxext/comment_eater.py,42,50,True,0d1c6da1235e11057c66c558cdc92180
13,/app/Repos/pandas/bench/bench_unique.py,150,168,/app/Repos/pandas/bench/bench_unique.py,168,191,True,8c53b849c419b7a2f902d29ab1589f2e
14,/app/Repos/pandas/bench/bench_unique.py,168,191,/app/Repos/pandas/bench/bench_unique.py,214,228,True,157311e4a073e01b9cb4acc82e7d9f8e
15,/app/Repos/pandas/bench/bench_unique.py,191,214,/app/Repos/pandas/bench/bench_unique.py,214,228,True,d456e74550b141d5bf5869c649dc04cd
16,/app/Repos/pandas/doc/sphinxext/phantom_import.py,32,163,/app/Repos/pandas/doc/sphinxext/phantom_import.py,78,92,True,3f3c07bfbc73d2906743813c4acffbc4
17,/app/Repos/pandas/bench/test.py,13,30,/app/Repos/pandas/bench/test.py,30,45,True,4d51c9de5c7274d253bcbb35b0d8df17
18,/app/Repos/pandas/bench/bench_unique.py,46,54,/app/Repos/pandas/bench/bench_unique.py,54,61,True,8a16d32dd469588b7bf7dabcf1446b37
19,/app/Repos/pandas/doc/sphinxext/phantom_import.py,32,163,/app/Repos/pandas/doc/sphinxext/phantom_import.py,63,76,True,ca0ae1aa0eeed7bec10b6d4db468c2a8
20,/app/Repos/pandas/scripts/bench_join.py,84,92,/app/Repos/pandas/scripts/bench_join.py,104,116,True,4ee231a4c162d431c64626fc3c27d236
21,/app/Repos/pandas/scripts/bench_join.py,92,104,/app/Repos/pandas/scripts/bench_join.py,104,116,True,39bb0b4ce0499ab5232a3ebb85575e30
22,/app/Repos/pandas/scripts/file_sizes.py,155,174,/app/Repos/pandas/scripts/file_sizes.py,174,187,True,2deecf3cb1d8e19a1e58e6cfe186bc28
23,/app/Repos/pandas/vb_suite/perf_HEAD.py,191,229,/app/Repos/pandas/vb_suite/perf_HEAD.py,198,209,True,c2ccd636e4660e612a23aa735acf6204
24,/app/Repos/pandas/scripts/testmed.py,42,68,/app/Repos/pandas/scripts/testmed.py,68,89,True,f458c3bacbc0b89824de3227e3d086ad
25,/app/Repos/pandas/scripts/bench_join.py,84,92,/app/Repos/pandas/scripts/bench_join.py,92,104,True,18e28bbb73f35ec909aedd3789597dc9
26,/app/Repos/pandas/scripts/bench_join.py,40,48,/app/Repos/pandas/scripts/bench_join.py,48,55,True,375ee8c09c02f4aa1f65528b13aedd08
27,/app/Repos/pandas/scripts/testmed.py,33,42,/app/Repos/pandas/scripts/testmed.py,42,68,True,34d25c10e251f8c8fc87f009f38a5aa7
28,/app/Repos/pandas/scripts/groupby_sample.py,21,29,/app/Repos/pandas/scripts/groupby_sample.py,29,37,True,1e92c23d7ef162429041137925351098
29,/app/Repos/pandas/doc/sphinxext/docscrape.py,369,379,/app/Repos/pandas/doc/sphinxext/docscrape.py,369,379,True,fd44c6532dfd05d89205618a75f69da9
30,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,True,3524315f12d0c807dc7cc18413dd4eba
31,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,True,6886eef8935f8912997d234f1ba332b9
32,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,True,af702190f9f055e6187a2925e370f112
33,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,340,348,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,367,375,True,53466010e399e9f6cac8d435e0c780b7
34,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,True,531a8145151254c0ee8621ff22b7cb67
35,/app/Repos/pandas/scripts/find_undoc_args.py,72,92,/app/Repos/pandas/scripts/find_undoc_args.py,92,107,True,ab760b6a54c76169f0d04a1c4eae9067
36,/app/Repos/pandas/doc/sphinxext/docscrape.py,189,244,/app/Repos/pandas/doc/sphinxext/docscrape.py,199,210,True,477e9069cf41775ce3fd6128711ad727
37,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,239,253,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,321,333,True,8bc08e90c378f045d4bb53760facb07d
38,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,36,49,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,57,98,True,b8b6e9fb99e7fd2efe5da3c98a3681cb
39,/app/Repos/pandas/doc/sphinxext/docscrape.py,379,396,/app/Repos/pandas/doc/sphinxext/docscrape.py,379,396,True,72b43dc7bdb5026fe6a02115c0a423ca
40,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,288,311,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,311,321,True,7e5fc024011f4c545142debf7cf89e71
41,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,True,e06d47245ae638ecd91e8a1dca21f224
42,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,True,c38786e64c68f8258c3dd09a9cecae35
43,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,97,105,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,340,348,True,4764ce591474df67f5e4bd44b144bfdd
44,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,156,167,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,340,348,True,57e8c9c3379be0bba34ed05829962a7f
45,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,167,178,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,340,348,True,07e03dd1ed7b743ceb7827123186a7e5
46,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,132,145,/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,462,481,True,a294b69a5b5dc30c58cf6b7772fd2012
47,/app/Repos/pandas/doc/sphinxext/docscrape.py,326,336,/app/Repos/pandas/doc/sphinxext/docscrape.py,326,336,True,ae1c924f98868604e97d5e3d276edb85
47,/app/Repos/pandas/doc/sphinxext/docscrape.py,326,336,/app/Repos/pandas/doc/sphinxext/docscrape.py,326,336,False,ae1c924f98868604e97d5e3d276edb85
48,/app/Repos/pandas/pandas/tools/tests/test_tile.py,26,32,/app/Repos/pandas/pandas/tools/tests/test_tile.py,32,38,True,c5250132ee85f235eca6472529793991
49,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,208,227,/app/Repos/pandas/doc/sphinxext/traitsdoc.py,114,137,True,96b8e5403820bfb82b156834316547e4
50,/app/Repos/pandas/pandas/util/compat.py,404,421,/app/Repos/pandas/pandas/util/compat.py,421,437,True,f1866907309c3b66d0a2e4c040cf08ec
51,/app/Repos/pandas/pandas/core/config.py,691,716,/app/Repos/pandas/pandas/core/config.py,705,714,True,621667fb2fa795b8429a292ba35fcb58
52,/app/Repos/pandas/pandas/core/config.py,581,614,/app/Repos/pandas/pandas/core/config.py,587,595,True,f733e44b4b79414164757270a523d10b
53,/app/Repos/pandas/pandas/tools/tests/test_tile.py,26,32,/app/Repos/pandas/pandas/tools/tests/test_tile.py,38,44,True,f7f21140dfc3e152686e5c3188010d03
54,/app/Repos/pandas/pandas/tools/tests/test_tile.py,32,38,/app/Repos/pandas/pandas/tools/tests/test_tile.py,38,44,True,48facd6413cff2b1ca15719a0426a991
55,/app/Repos/pandas/pandas/util/compat.py,404,421,/app/Repos/pandas/pandas/util/compat.py,437,454,True,f92f8d41a6828b525299de4f265452ee
56,/app/Repos/pandas/pandas/util/compat.py,421,437,/app/Repos/pandas/pandas/util/compat.py,437,454,True,8552c0a4f6d84152bce22ccdc0f6e933
57,/app/Repos/pandas/doc/sphinxext/docscrape.py,87,112,/app/Repos/pandas/doc/sphinxext/traitsdoc.py,30,77,True,fbb594960660f0d8944bf93bc9e9ea7d
58,/app/Repos/pandas/pandas/tools/merge.py,182,201,/app/Repos/pandas/pandas/tools/merge.py,480,505,True,82ef6f485febf0ef570cd2188c8b4670
59,/app/Repos/pandas/pandas/io/tests/test_stata.py,154,166,/app/Repos/pandas/pandas/io/tests/test_stata.py,178,191,True,1caf44abc8eb0fedfbfd9af961ac9eb2
60,/app/Repos/pandas/pandas/io/tests/test_stata.py,166,178,/app/Repos/pandas/pandas/io/tests/test_stata.py,178,191,True,10654fd51058b4334abdce021dda5d56
61,/app/Repos/pandas/pandas/core/config.py,691,716,/app/Repos/pandas/pandas/core/config.py,716,727,True,1c0081fc0fd2e834dc7f54eaebd762f8
62,/app/Repos/pandas/pandas/io/tests/test_stata.py,106,116,/app/Repos/pandas/pandas/io/tests/test_stata.py,178,191,True,fa759a32be781ffb8ae55b2f48125195
63,/app/Repos/pandas/pandas/tools/tests/test_tile.py,26,32,/app/Repos/pandas/pandas/tools/tests/test_tile.py,44,50,True,dd1d4abb9b49c804f03c78d8f2c2fa65
64,/app/Repos/pandas/pandas/tools/rplot.py,35,57,/app/Repos/pandas/pandas/tools/rplot.py,130,144,True,658b4ffca9ca9beb5a5fa0ebfa92b3a0
65,/app/Repos/pandas/pandas/tools/tests/test_tile.py,32,38,/app/Repos/pandas/pandas/tools/tests/test_tile.py,44,50,True,5e0e925b1d224b59d3adebc63b60799f
66,/app/Repos/pandas/pandas/tools/rplot.py,78,109,/app/Repos/pandas/pandas/tools/rplot.py,130,144,True,475f3d2950e63cffbeb1739cd2c9d4bc
67,/app/Repos/pandas/pandas/tools/tests/test_tile.py,38,44,/app/Repos/pandas/pandas/tools/tests/test_tile.py,44,50,True,422471f7cf4a2559beebf4d76f7c13a0
68,/app/Repos/pandas/pandas/io/tests/test_stata.py,135,145,/app/Repos/pandas/pandas/io/tests/test_stata.py,145,154,True,96b45b9196912edb0631ea33e9e0be1a
69,/app/Repos/pandas/pandas/tools/rplot.py,35,57,/app/Repos/pandas/pandas/tools/rplot.py,78,109,True,6f334f3f1a6b6b67b5429f668d770b4d
70,/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,175,193,/app/Repos/pandas/doc/sphinxext/traitsdoc.py,83,100,True,9bd979993801ffa483e4311bf8524a51
71,/app/Repos/pandas/pandas/io/tests/test_stata.py,154,166,/app/Repos/pandas/pandas/io/tests/test_stata.py,166,178,True,e57e36a14702837d48c2612a25b2afa1
72,/app/Repos/pandas/pandas/util/compat.py,404,421,/app/Repos/pandas/pandas/util/compat.py,454,473,True,f873699b70e68d9fb66555d936fb02ea
73,/app/Repos/pandas/pandas/io/tests/test_stata.py,106,116,/app/Repos/pandas/pandas/io/tests/test_stata.py,166,178,True,a6b89f3fb424c2a0326b86a05009c2b4
74,/app/Repos/pandas/pandas/util/compat.py,421,437,/app/Repos/pandas/pandas/util/compat.py,454,473,True,1a601bf52578bd5894bc4033b54e857f
75,/app/Repos/pandas/pandas/util/compat.py,437,454,/app/Repos/pandas/pandas/util/compat.py,454,473,True,65856756d4950cba196cae2b9d8ecafa
76,/app/Repos/pandas/pandas/io/tests/test_stata.py,106,116,/app/Repos/pandas/pandas/io/tests/test_stata.py,154,166,True,0ffb693412a3542eed3111e2e1599a25
77,/app/Repos/pandas/pandas/core/panel.py,238,244,/app/Repos/pandas/pandas/core/panel.py,238,244,True,f112305290a6bdc9b8c4e44c81ece929
78,/app/Repos/pandas/pandas/compat/scipy.py,8,84,/app/Repos/pandas/pandas/core/algorithms.py,217,291,True,58b1be1700e2c4f789e64650406a8266
79,/app/Repos/pandas/pandas/compat/scipy.py,8,84,/app/Repos/pandas/pandas/core/algorithms.py,263,284,True,e8c1786a1523dd568229dc3cdd347bd2
80,/app/Repos/pandas/bench/bench_merge.py,9,31,/app/Repos/pandas/pandas/tools/tests/test_merge.py,28,39,True,a90bdf511749a7cfc051d2e2885f3855
81,/app/Repos/pandas/pandas/util/compat.py,317,329,/app/Repos/pandas/pandas/util/counter.py,85,98,True,433092a6953952bc3ffa09a4b0e9ae27
82,/app/Repos/pandas/pandas/util/compat.py,351,380,/app/Repos/pandas/pandas/util/counter.py,129,165,True,a37e43c1dd6e0627b01cae13dfe2efdd
83,/app/Repos/pandas/pandas/util/compat.py,351,380,/app/Repos/pandas/pandas/util/counter.py,165,192,True,28f792325ad9b97745caa1cfa0a4d53f
84,/app/Repos/pandas/pandas/util/compat.py,389,404,/app/Repos/pandas/pandas/util/counter.py,206,221,True,378ed009d0232d9818ab2b09f2521e6e
85,/app/Repos/pandas/pandas/util/compat.py,404,421,/app/Repos/pandas/pandas/util/counter.py,221,240,True,92e2445cb667d424064aa2254d658d5b
86,/app/Repos/pandas/pandas/io/tests/test_cparser.py,36,42,/app/Repos/pandas/pandas/io/tests/test_cparser.py,36,42,True,b17f419d736c161f4a909af2c026f0d7
87,/app/Repos/pandas/pandas/util/compat.py,421,437,/app/Repos/pandas/pandas/util/counter.py,221,240,True,ec7b0ea9c5aee48374d4f475ae4b7631
88,/app/Repos/pandas/pandas/util/compat.py,437,454,/app/Repos/pandas/pandas/util/counter.py,221,240,True,d4b1f757181634b75131522fa68d61ed
89,/app/Repos/pandas/pandas/core/daterange.py,17,34,/app/Repos/pandas/pandas/tseries/period.py,1326,1349,True,47a584ca0afaf1aeb9a8fc817c28d92e
90,/app/Repos/pandas/pandas/util/compat.py,421,437,/app/Repos/pandas/pandas/util/counter.py,240,259,True,7c2cef48acecac6b2bb393a84204d694
91,/app/Repos/pandas/pandas/util/compat.py,404,421,/app/Repos/pandas/pandas/util/counter.py,240,259,True,a85d5e686ba06c8113caff71f38e0dc0
92,/app/Repos/pandas/pandas/util/compat.py,437,454,/app/Repos/pandas/pandas/util/counter.py,240,259,True,d64cd22ac91957abd09e96adc382eeea
93,/app/Repos/pandas/pandas/util/compat.py,437,454,/app/Repos/pandas/pandas/util/counter.py,259,279,True,834c20dc4967b2afaf55a44fabf53b76
94,/app/Repos/pandas/pandas/util/compat.py,404,421,/app/Repos/pandas/pandas/util/counter.py,259,279,True,f0546b66aacc978bad46607c27445438
95,/app/Repos/pandas/pandas/util/compat.py,421,437,/app/Repos/pandas/pandas/util/counter.py,259,279,True,11a70b562ebb77701c368426af29177c
96,/app/Repos/pandas/pandas/util/compat.py,454,473,/app/Repos/pandas/pandas/util/counter.py,279,295,True,803a56e1754c55718a756d174dc358ce
97,/app/Repos/pandas/pandas/util/compat.py,404,421,/app/Repos/pandas/pandas/util/counter.py,279,295,True,71ba124b139406ca1aee0c04db1b3e34
98,/app/Repos/pandas/pandas/util/compat.py,421,437,/app/Repos/pandas/pandas/util/counter.py,279,295,True,7a74ff76d0a3e6f5846e9bc48aaa41d4
99,/app/Repos/pandas/pandas/util/compat.py,437,454,/app/Repos/pandas/pandas/util/counter.py,279,295,True,a41c273167cfcef30ae80fb9091a9434
100,/app/Repos/pandas/pandas/tools/rplot.py,334,379,/app/Repos/pandas/pandas/tools/rplot.py,444,466,True,2fb7a714505112c40af0fd044685ec52
101,/app/Repos/pandas/pandas/tools/rplot.py,397,426,/app/Repos/pandas/pandas/tools/rplot.py,508,533,True,f7b6564a0caa775c415ebe9d364051ad
