pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/bench/io_roundtrip.py,99,109,/app/Repos/pandas/bench/io_roundtrip.py,99,109,True,ff66f66fb6d8a8e940f04bd4d591706b
2,/app/Repos/pandas/bench/bench_unique.py,48,56,/app/Repos/pandas/bench/bench_unique.py,96,135,True,5972e153b78d128233d1d42b7ebc0db1
3,/app/Repos/pandas/bench/bench_unique.py,48,56,/app/Repos/pandas/bench/bench_unique.py,56,63,True,c193c3addb77e362333e60b1c9752f55
4,/app/Repos/pandas/vb_suite/perf_HEAD.py,195,233,/app/Repos/pandas/vb_suite/perf_HEAD.py,202,213,True,c6d85d47e3e6d549656ee3203e483abd
5,/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,34,168,/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,65,78,True,dd1864d19c5d97f8e46ae312d2941ea6
6,/app/Repos/pandas/bench/bench_with_subset.py,24,30,/app/Repos/pandas/bench/bench_with_subset.py,33,39,True,98fa5a1cba04752bff8bb0d380bf8ee6
7,/app/Repos/pandas/bench/bench_unique.py,32,39,/app/Repos/pandas/bench/bench_unique.py,39,48,True,bbfe9384ac90de913cf81e9f69d90527
8,/app/Repos/pandas/bench/bench_unique.py,56,63,/app/Repos/pandas/bench/bench_unique.py,96,135,True,876c00419f5cd1b1f82bea544ffe047a
9,/app/Repos/pandas/bench/bench_unique.py,48,56,/app/Repos/pandas/bench/bench_unique.py,88,96,True,0515ac3bb0b2e99bc34727986dab53c4
10,/app/Repos/pandas/scripts/bench_join.py,41,49,/app/Repos/pandas/scripts/bench_join.py,49,56,True,c7fca393bedb6325d0032d59d7628513
11,/app/Repos/pandas/bench/bench_unique.py,88,96,/app/Repos/pandas/bench/bench_unique.py,96,135,True,a311ad9d35b7816bbb0ede29dab08978
12,/app/Repos/pandas/bench/bench_unique.py,56,63,/app/Repos/pandas/bench/bench_unique.py,88,96,True,38e71db6d1780bb45774e160238bf068
13,/app/Repos/pandas/scripts/json_manip.py,176,239,/app/Repos/pandas/scripts/json_manip.py,204,236,True,2f15b794e6e6dc18a0a91be6b3ca09da
14,/app/Repos/pandas/bench/bench_unique.py,151,169,/app/Repos/pandas/bench/bench_unique.py,169,192,True,fb7be23b2e84fa1eaf8ee693dd81e6f4
15,/app/Repos/pandas/scripts/testmed.py,36,45,/app/Repos/pandas/scripts/testmed.py,45,71,True,abad80b5848008300d33861e292a41bf
16,/app/Repos/pandas/bench/bench_unique.py,169,192,/app/Repos/pandas/bench/bench_unique.py,215,229,True,1dfd9cc1354348d7a3fdd06d11750de9
17,/app/Repos/pandas/bench/test.py,14,31,/app/Repos/pandas/bench/test.py,31,46,True,38376abdfb6fe672552269333613005c
18,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,49,66,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,66,83,True,514de64e0e45db2a7869ea93da55321d
19,/app/Repos/pandas/doc/make.py,126,149,/app/Repos/pandas/doc/make.py,149,172,True,89b99ed4e0fc3b6cb372d6fb956a0207
20,/app/Repos/pandas/scripts/bench_join.py,85,93,/app/Repos/pandas/scripts/bench_join.py,105,117,True,54974fde2791cdf7ec5c2f1d825d9635
21,/app/Repos/pandas/scripts/bench_join.py,93,105,/app/Repos/pandas/scripts/bench_join.py,105,117,True,b63f637dd06118add2fe071346698576
22,/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,34,168,/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,80,94,True,6e429a032a957a1ceb88719540dbc7f8
23,/app/Repos/pandas/bench/bench_unique.py,169,192,/app/Repos/pandas/bench/bench_unique.py,192,215,True,9d27afc23dd3373e37189fa2098b59cd
24,/app/Repos/pandas/bench/bench_unique.py,192,215,/app/Repos/pandas/bench/bench_unique.py,215,229,True,42eea1540c85954a6cc1e1d6a6c0d9a5
25,/app/Repos/pandas/bench/bench_unique.py,151,169,/app/Repos/pandas/bench/bench_unique.py,192,215,True,3ebed9293c5802f97f26cc995e0e6350
26,/app/Repos/pandas/scripts/json_manip.py,239,265,/app/Repos/pandas/scripts/json_manip.py,250,260,True,db7015de8a2b36ceeb3909cf245c5e50
27,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,89,114,/app/Repos/pandas/doc/sphinxext/numpydoc/traitsdoc.py,32,79,True,e8568362692f1aaccec6f002985bca97
28,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,511,520,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,520,528,True,82249c41dc9c40f6740628e4a692603d
29,/app/Repos/pandas/vb_suite/test_perf.py,258,279,/app/Repos/pandas/vb_suite/test_perf.py,268,277,True,7c448ed1f4022f8e02254b5732c99785
30,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,378,388,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,378,388,True,0ed8a3d1f22c401f1c7800fd13877b9f
31,/app/Repos/pandas/scripts/file_sizes.py,46,57,/app/Repos/pandas/scripts/file_sizes.py,57,80,True,b9a43a19a0ea7db65bbbaa68eaa653f2
