pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/bench/io_roundtrip.py,99,109,/app/Repos/pandas/bench/serialize.py,76,85,True,bea9a00426859c116b90c6f8bec90ce2
2,/app/Repos/pandas/bench/bench_unique.py,169,192,/app/Repos/pandas/bench/bench_unique.py,192,215,True,9d27afc23dd3373e37189fa2098b59cd
3,/app/Repos/pandas/bench/bench_unique.py,48,56,/app/Repos/pandas/bench/bench_unique.py,88,96,True,0515ac3bb0b2e99bc34727986dab53c4
4,/app/Repos/pandas/bench/bench_unique.py,56,63,/app/Repos/pandas/bench/bench_unique.py,88,96,True,38e71db6d1780bb45774e160238bf068
5,/app/Repos/pandas/bench/bench_unique.py,32,39,/app/Repos/pandas/bench/bench_unique.py,39,48,True,bbfe9384ac90de913cf81e9f69d90527
6,/app/Repos/pandas/bench/test.py,14,31,/app/Repos/pandas/bench/test.py,31,46,True,38376abdfb6fe672552269333613005c
7,/app/Repos/pandas/bench/bench_unique.py,151,169,/app/Repos/pandas/bench/bench_unique.py,192,215,True,3ebed9293c5802f97f26cc995e0e6350
8,/app/Repos/pandas/bench/bench_unique.py,48,56,/app/Repos/pandas/bench/bench_unique.py,96,135,True,5972e153b78d128233d1d42b7ebc0db1
9,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,39,47,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,54,62,True,c8ed21cfbfcca9c66c95f6084b5b5fa3
10,/app/Repos/pandas/bench/bench_unique.py,56,63,/app/Repos/pandas/bench/bench_unique.py,96,135,True,876c00419f5cd1b1f82bea544ffe047a
11,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,90,95,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,172,177,True,d940f63bc24712a3c1c82f746b5f0d4d
12,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,102,107,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,172,177,True,9bfbdc6c48e4310fcc43dd45a282b6bb
13,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,124,129,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,172,177,True,8eba985fba8ffa39da92c90e91866ee5
14,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,136,141,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,172,177,True,e41e71d3646c82865890f644f1715498
15,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,148,153,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,172,177,True,e6609d10af79262c0a45420ca77ab99e
16,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,160,165,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,172,177,True,40b62d320d92772581637c0ce7bda22f
17,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,90,95,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,124,129,True,c23cbe7046427943d3b27637121dfe5d
18,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,102,107,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,124,129,True,b8f799036fee75d976b00cb0aa456969
19,/app/Repos/pandas/bench/bench_with_subset.py,24,30,/app/Repos/pandas/bench/bench_with_subset.py,33,39,True,98fa5a1cba04752bff8bb0d380bf8ee6
20,/app/Repos/pandas/bench/bench_unique.py,88,96,/app/Repos/pandas/bench/bench_unique.py,96,135,True,a311ad9d35b7816bbb0ede29dab08978
21,/app/Repos/pandas/vb_suite/perf_HEAD.py,195,233,/app/Repos/pandas/vb_suite/perf_HEAD.py,202,213,True,c6d85d47e3e6d549656ee3203e483abd
22,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,90,95,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,136,141,True,cd0bce462c4d3b10ac3d983c9f3017b9
23,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,102,107,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,136,141,True,9ad02bcfe97be563d81b545faf17a0a4
24,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,124,129,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,136,141,True,4efb3956499c20cb8a659a0c4de0b735
25,/app/Repos/pandas/bench/bench_unique.py,48,56,/app/Repos/pandas/bench/bench_unique.py,56,63,True,c193c3addb77e362333e60b1c9752f55
26,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,184,190,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,228,234,True,26e7b568ef660a915e970628e146cedb
27,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,7,17,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,24,31,True,a463aeccd135f47a1b218cebf8cbe34a
28,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,197,203,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,228,234,True,3c1be818c01156ea112587049ece9819
29,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,210,218,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,228,234,True,b0180b93dbc16d0331f51868e8b148f8
30,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,184,190,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,197,203,True,0d1e64ecaae6c93e60f9cb2e53663230
31,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,90,95,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,102,107,True,0d1e4af81a7bb06f4504cad4c5e4e58f
32,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,90,95,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,148,153,True,969db99630c18519bc1063fd96fa61b1
33,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,102,107,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,148,153,True,668ddc5b7f3c5a31216e84a13eb81f8d
34,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,124,129,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,148,153,True,230226d53b4f5e145f1886f5d5a558f0
