pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,25,32,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,39,46,True,8a8de96ab514c741a3a7bb7a999fc40c
2,/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,13,19,/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,32,40,True,932ebcb5db6017c8de6ca5259257d529
3,/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,83,91,/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,107,114,True,747fe3ab6aedf72ec738aae29813f7b6
4,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,8,18,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,53,64,True,cb57154f1eda16e61e99daa4fe45b635
5,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,8,18,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,25,32,True,62e07116cdd88aab93d7fca9fee2a2f5
6,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,25,32,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,53,64,True,a082e0e61652acc36be7545fb83ef367
7,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,39,46,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,53,64,True,dfde6c92076c19c7b84e5e641177080f
8,/app/Repos/pandas/asv_bench/benchmarks/replace.py,7,16,/app/Repos/pandas/asv_bench/benchmarks/replace.py,60,69,True,8d809b3b08da9aa4c8e3068f26c2dc40
9,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,102,110,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,172,183,True,e52c79a2ff1d10b75ec075644c9f700d
10,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,161,172,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,172,183,True,3c36bafdba30bd0e218371e11a3a5339
11,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,89,101,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,89,101,True,4e512a83528fae3f568649fdc81ab062
12,/app/Repos/pandas/asv_bench/benchmarks/gil.py,160,171,/app/Repos/pandas/asv_bench/benchmarks/gil.py,186,197,True,a66c7c10b05d3b3b4725d3bc56436e62
13,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,102,110,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,161,172,True,6aced5690bd619c3c69499079d9fac16
14,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,8,15,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,42,47,True,ed22a4f9dcb7d6199ce8794cb8c6476d
15,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,22,30,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,42,47,True,7cf86a23112f2731f086ff701c0fac0c
16,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,42,47,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,78,84,True,71471ed0b6861752fca1a856c701a8f9
17,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,115,139,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,191,203,True,6dcc1911b14ef3ff6a2b5e2b38e6727d
18,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,8,18,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,39,46,True,7ff96056c2bd8a8c0576c7bab02b9cc8
19,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,89,101,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,78,84,True,88703396ed50c8f2cb39c37d35249eee
20,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,39,45,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,78,84,True,33896efb4aadb396ddeacbdfa8e7bbdb
21,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,52,58,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,78,84,True,09c9e0ccbec986c472a5008401e1bcc2
22,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,65,71,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,78,84,True,d2b9275a31cb544d000b37cbdb164d9f
23,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,8,15,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,86,96,True,3259eed664a83523d79b27923dcee4ca
24,/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,8,41,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,112,117,True,fb3e25261f943a7dfd6b07955eb64709
25,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,29,43,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,130,141,True,7644361601d29022b7bf92c529efcee0
26,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,100,105,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,112,117,True,b0cad266d9f6198ed42b9634b310ac0f
27,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,112,117,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,112,117,True,4018a188c0f96eefbc7def4da6c04927
27,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,112,117,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,112,117,False,4018a188c0f96eefbc7def4da6c04927
28,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,129,160,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,129,160,True,020fe74c137f96a69258a5917489a69f
29,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,153,160,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,237,254,True,9f1fc4814cecf8d1f9832cb17be50a92
30,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,42,47,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,86,96,True,803aadc6b370af93a5f4c333593d52a5
31,/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,56,62,/app/Repos/pandas/asv_bench/benchmarks/io_sql.py,84,92,True,ddf2cbd88ad4cc91d1d5319ccfefc430
32,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,63,70,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,78,85,True,9739b12929947d3b24bc9ede6748281a
33,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,36,41,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,78,85,True,dd5de32d08443e6808c640af9c095e25
34,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,51,56,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,78,85,True,eaf5b7bbe39b5085562cc80eda619628
35,/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,8,41,/app/Repos/pandas/asv_bench/benchmarks/io_bench.py,100,105,True,40580685ae45aeae82d9152d212704cf
36,/app/Repos/pandas/asv_bench/benchmarks/timeseries.py,222,233,/app/Repos/pandas/asv_bench/benchmarks/timeseries.py,260,272,True,746da28d64aca21a3451247b5f8e79f7
37,/app/Repos/pandas/scripts/find_undoc_args.py,72,92,/app/Repos/pandas/scripts/find_undoc_args.py,92,107,True,ab760b6a54c76169f0d04a1c4eae9067
38,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,68,74,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,559,564,True,33a88ce961e7a5c49a5c351dbc21e3a0
39,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,43,49,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,141,147,True,bd6474836a74c1c9d1c00be9d0ffa0b6
40,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,49,56,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,141,147,True,efcae6d5e55047f900d6c35b83f8bce4
41,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,36,41,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,63,70,True,595d27875b47e60d9224e795835df076
42,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,51,56,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,63,70,True,4653fa995a413ea4f006223127ebb54e
43,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,43,49,/app/Repos/pandas/asv_bench/benchmarks/sparse.py,49,56,True,101aa348b7ef15e7ee194dc9e42d7945
44,/app/Repos/pandas/asv_bench/benchmarks/packers.py,190,196,/app/Repos/pandas/asv_bench/benchmarks/packers.py,196,202,True,b171c3e72b153a914d18b483ef3880ab
45,/app/Repos/pandas/pandas/core/window.py,1217,1223,/app/Repos/pandas/pandas/core/window.py,1237,1244,True,5979c43ba89b5bd4c16ab02edf390770
46,/app/Repos/pandas/asv_bench/benchmarks/replace.py,23,29,/app/Repos/pandas/asv_bench/benchmarks/replace.py,36,44,True,cb3729c5959dfdd06fb1bf914eced43b
28,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,129,160,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,129,160,False,020fe74c137f96a69258a5917489a69f
47,/app/Repos/pandas/pandas/core/window.py,567,618,/app/Repos/pandas/pandas/core/window.py,603,610,True,28a7af91cf823397c217dbd02ca4e550
48,/app/Repos/pandas/asv_bench/benchmarks/packers.py,44,51,/app/Repos/pandas/asv_bench/benchmarks/packers.py,196,202,True,696ba2edfc9b8f54ca5ab67625878517
49,/app/Repos/pandas/pandas/core/window.py,1223,1230,/app/Repos/pandas/pandas/core/window.py,1237,1244,True,02d0f05c58239dbcf230aee43df39756
28,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,129,160,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,129,160,False,020fe74c137f96a69258a5917489a69f
50,/app/Repos/pandas/pandas/core/window.py,1217,1223,/app/Repos/pandas/pandas/core/window.py,1283,1289,True,7037a4c747c5c25cb1465f0350367dd9
51,/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,14,24,/app/Repos/pandas/asv_bench/benchmarks/eval.py,15,24,True,396c765c864cb73f1f6582b0f84cc6fc
52,/app/Repos/pandas/pandas/core/window.py,1230,1237,/app/Repos/pandas/pandas/core/window.py,1237,1244,True,2f3caa87c28f72da378e72025a00b5c4
53,/app/Repos/pandas/pandas/core/window.py,1223,1230,/app/Repos/pandas/pandas/core/window.py,1283,1289,True,2d6c45eb3dc1a1c3321b1d0b11304098
54,/app/Repos/pandas/pandas/core/window.py,1217,1223,/app/Repos/pandas/pandas/core/window.py,1460,1466,True,2dc45d7e7f49274c06118c522f91167c
55,/app/Repos/pandas/pandas/core/window.py,1230,1237,/app/Repos/pandas/pandas/core/window.py,1283,1289,True,d0f97473d02aceef1acdf72f3f9e5ab9
56,/app/Repos/pandas/pandas/core/window.py,1237,1244,/app/Repos/pandas/pandas/core/window.py,1283,1289,True,3738f97d0ca9184b5c8144ac11eb7079
57,/app/Repos/pandas/pandas/core/window.py,1244,1251,/app/Repos/pandas/pandas/core/window.py,1283,1289,True,198cb87efff6a6b7143b1021366eb862
58,/app/Repos/pandas/pandas/core/window.py,1257,1264,/app/Repos/pandas/pandas/core/window.py,1283,1289,True,eb907d3e5d6aed3d8c21e7bafaadfe57
59,/app/Repos/pandas/pandas/core/window.py,1264,1271,/app/Repos/pandas/pandas/core/window.py,1283,1289,True,47aab74aa199e894fa2b1d9e3d3cb63f
60,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,235,254,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,277,284,True,4efc4b69b378a964b673ebf6d93d3b5f
61,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,261,268,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,277,284,True,0a0a99a9e9a434e5c719db45a0fc0c14
62,/app/Repos/pandas/pandas/core/window.py,1500,1507,/app/Repos/pandas/pandas/core/window.py,1532,1539,True,18e49af2e7e3763316e2e75ff84539fe
63,/app/Repos/pandas/pandas/core/window.py,1507,1514,/app/Repos/pandas/pandas/core/window.py,1532,1539,True,3acfb0d33d5d147f761fa7211863adae
64,/app/Repos/pandas/pandas/core/window.py,1526,1532,/app/Repos/pandas/pandas/core/window.py,1532,1539,True,f8a0cb9edd59f1fb75d971d4a5403c5b
65,/app/Repos/pandas/pandas/core/window.py,1289,1296,/app/Repos/pandas/pandas/core/window.py,1532,1539,True,02a1a25a42c6d1cc6adbbe1114d70c84
66,/app/Repos/pandas/pandas/core/window.py,1296,1304,/app/Repos/pandas/pandas/core/window.py,1532,1539,True,3ad242b0d95312e2d94e32f0d86ef95b
67,/app/Repos/pandas/doc/make.py,183,206,/app/Repos/pandas/doc/make.py,206,229,True,75ce4f42a5facf66e1f05f967db98f1e
68,/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,34,168,/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,65,78,True,dd1864d19c5d97f8e46ae312d2941ea6
69,/app/Repos/pandas/pandas/core/window.py,1460,1466,/app/Repos/pandas/pandas/core/window.py,1487,1494,True,211c3cb61e04a743ba30b791a6ad432e
70,/app/Repos/pandas/pandas/core/window.py,1466,1473,/app/Repos/pandas/pandas/core/window.py,1487,1494,True,0b3c9542e9c593b1c1a6b0ec135da28e
71,/app/Repos/pandas/pandas/core/window.py,1473,1480,/app/Repos/pandas/pandas/core/window.py,1487,1494,True,0560b82972cb70dabea1bb3696ecc6d5
72,/app/Repos/pandas/pandas/core/window.py,1480,1487,/app/Repos/pandas/pandas/core/window.py,1487,1494,True,25c1110a4f4900650a2bd2e9674f1ea1
73,/app/Repos/pandas/pandas/core/window.py,678,686,/app/Repos/pandas/pandas/core/window.py,1487,1494,True,44e67356aba6cfacba2a0d0559af75b0
74,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,244,258,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,326,338,True,17db88b2474bfce4e330e8508a220fd9
75,/app/Repos/pandas/pandas/core/window.py,1244,1251,/app/Repos/pandas/pandas/core/window.py,1487,1494,True,6e4254fbf9d3c9d5549df10de0088387
76,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,42,47,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,52,58,True,7115d707ae61738c36b485e56447d66a
77,/app/Repos/pandas/asv_bench/benchmarks/packers.py,190,196,/app/Repos/pandas/asv_bench/benchmarks/packers.py,202,209,True,fe0b53b7e3496b43e1644c2dbc664f25
78,/app/Repos/pandas/asv_bench/benchmarks/packers.py,196,202,/app/Repos/pandas/asv_bench/benchmarks/packers.py,202,209,True,1aaba493b8d18fd2a5ee26655464be59
