pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,12,22,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,14,33,True,c1732ea4d4c411765d8f3656cda48d17
2,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,15,28,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,15,28,True,67ea8682ffea08fff9938b409884a868
3,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,12,22,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,31,38,True,461589f2e2685fe3913cbd43198efa25
4,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,31,38,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,47,58,True,dc05c0cba3154498283713972d76cfdf
2,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,15,28,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,15,28,False,67ea8682ffea08fff9938b409884a868
5,/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,19,28,/app/Repos/pandas/asv_bench/benchmarks/eval.py,18,27,True,95f4d2d5c0d8f9fb110ef74339ecf706
6,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,137,147,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,137,147,True,3d361502c83d447608abaf685b39da43
6,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,137,147,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,137,147,False,3d361502c83d447608abaf685b39da43
6,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,137,147,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,137,147,False,3d361502c83d447608abaf685b39da43
7,/app/Repos/pandas/asv_bench/benchmarks/gil.py,36,53,/app/Repos/pandas/asv_bench/benchmarks/gil.py,255,270,True,8c1dc9fe3e66804a867a2df06ba2eaf5
8,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,15,28,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,137,147,True,56556fb022f45223865b751e47c44d02
9,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,12,22,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,12,22,True,186037fa08f36be4f8f346655599df16
10,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,12,22,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,12,22,True,58af9dbce4683aa3e0baae5bfcc9a82f
11,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,15,28,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,12,22,True,3f89e07a889682f0c9135a60acdbd9c1
12,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,82,99,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,114,131,True,a33613ee3842a64acd2118d3e70cd844
13,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,17,37,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,114,131,True,190e0eee58fb3651fd802c5a64a3db51
14,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,51,71,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,114,131,True,b7e428f7920ef95a0d3309d5fa4ed2e7
15,/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,49,63,/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,49,63,True,09637890acdf8158a08a8a51ef9cc4c5
16,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,81,86,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,105,110,True,ceeee8ba8ffe851214ba053d72636642
17,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,17,22,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,34,40,True,4aec6bbb4aaf8660bef4e57c31ab453b
18,/app/Repos/pandas/pandas/compat/chainmap_impl.py,9,35,/app/Repos/pandas/pandas/compat/chainmap_impl.py,12,32,True,a3276d79d424c9d2278ddf93e6f9ece7
19,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,17,37,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,51,71,True,0676e06b2f42b07fe6aff0235af806f0
20,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,15,24,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,35,44,True,99b44d1eb5e017ce5c20a27ae584c7bb
21,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,True,595b8a9065caca7c9541efc016511484
21,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,False,595b8a9065caca7c9541efc016511484
22,/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,83,94,/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,83,94,True,6887661e2ac2208ce86f8c233bcd4b87
23,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,25,31,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,48,54,True,d2d7f568a415f63ed4e6e929dadc7bc5
24,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,463,470,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,12,28,True,b554a3d3c959df74c37b62de823240ba
21,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,False,595b8a9065caca7c9541efc016511484
25,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,17,37,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,82,99,True,8deade9dbbc2ca254fa512cb0a7847f6
26,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,51,71,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,82,99,True,c49540aec8a908e05854ab80bdf926ef
21,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,False,595b8a9065caca7c9541efc016511484
27,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,240,248,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,262,278,True,816730e709e8d400e6a2daa57e359005
28,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,36,45,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,74,83,True,8218a1076b70e7986b6c47aabddf3593
21,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,False,595b8a9065caca7c9541efc016511484
21,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,284,289,False,595b8a9065caca7c9541efc016511484
29,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,79,90,/app/Repos/pandas/asv_bench/benchmarks/join_merge.py,105,113,True,a786138135ae99426d70da5b95357ee6
30,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,463,470,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,161,171,True,2cfad193dd1646adcc54ffe780f3ee36
31,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,101,121,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,161,171,True,ee35cd3cc4ceba83165ae95aa2c9c5e9
32,/app/Repos/pandas/pandas/compat/chainmap_impl.py,9,35,/app/Repos/pandas/pandas/compat/chainmap_impl.py,15,27,True,771abad702aca8c8c52c8075bee6e4a4
33,/app/Repos/pandas/pandas/compat/chainmap_impl.py,12,32,/app/Repos/pandas/pandas/compat/chainmap_impl.py,15,27,True,fd5ba99db6e623080aea371659784de6
34,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,17,22,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,70,75,True,4e7b203154b580437c9adfa7f3e6c315
35,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,34,40,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,70,75,True,1bcbaf29aa88f0ff0e315168242d073f
36,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,17,26,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,55,64,True,0d2e8eab87e3e032e557b011c0234de6
37,/app/Repos/pandas/doc/sphinxext/numpydoc/numpydoc.py,266,289,/app/Repos/pandas/doc/sphinxext/numpydoc/numpydoc.py,268,288,True,cae6b562c46f7f28441c53b1c1e10e1c
38,/app/Repos/pandas/scripts/find_undoc_args.py,86,101,/app/Repos/pandas/scripts/find_undoc_args.py,101,114,True,f3097c01bd2ca2d565882ed43f1e56c3
39,/app/Repos/pandas/pandas/core/window.py,785,803,/app/Repos/pandas/pandas/core/window.py,792,800,True,ea07372fa54ea5515861437188f7e07d
40,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,44,49,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,59,66,True,3e1991d91f262828ccc890eb25162955
41,/app/Repos/pandas/pandas/core/nanops.py,328,342,/app/Repos/pandas/pandas/core/nanops.py,342,368,True,d0bae357257bc1331f2fc27e17857ac6
42,/app/Repos/pandas/pandas/core/window.py,755,761,/app/Repos/pandas/pandas/core/window.py,1504,1510,True,75df0049d8590c7dfa7e4ee481226b37
43,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,234,245,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,234,245,True,378ed72939ba75a0dfe100c21e2404bd
44,/app/Repos/pandas/pandas/core/window.py,653,701,/app/Repos/pandas/pandas/core/window.py,686,693,True,a667a6c3e93771ad44f0e6ce0361a315
45,/app/Repos/pandas/pandas/core/nanops.py,542,601,/app/Repos/pandas/pandas/core/nanops.py,601,669,True,95ffea55643f86367d19b90c9566145a
46,/app/Repos/pandas/pandas/core/window.py,1762,1768,/app/Repos/pandas/pandas/core/window.py,1775,1781,True,af3247cce625a43367836065306c2611
47,/app/Repos/pandas/pandas/core/window.py,1768,1775,/app/Repos/pandas/pandas/core/window.py,1775,1781,True,4c522afaae314f4b0ac286c6d4cd7056
48,/app/Repos/pandas/pandas/core/window.py,1517,1523,/app/Repos/pandas/pandas/core/window.py,1775,1781,True,51d89e34ad1259c109037afc0e71f566
49,/app/Repos/pandas/pandas/core/reshape/tile.py,26,208,/app/Repos/pandas/pandas/core/reshape/tile.py,208,280,True,f5d7ac1993d0c959c9f52c74bfa5bd03
50,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,463,470,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,101,121,True,e1d760a2f903334bd982dc66c46eccb9
51,/app/Repos/pandas/pandas/core/window.py,739,753,/app/Repos/pandas/pandas/core/window.py,2041,2049,True,9b55175fe673ecae0aeb68b26f3923d0
52,/app/Repos/pandas/pandas/core/window.py,1478,1486,/app/Repos/pandas/pandas/core/window.py,2041,2049,True,376f3bb6337f758a168823af7d60cf5d
53,/app/Repos/pandas/pandas/core/window.py,1741,1749,/app/Repos/pandas/pandas/core/window.py,2041,2049,True,1b73cf4d44e4ef3927451e89235823b2
54,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,187,207,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,215,223,True,f6cfcf21878f09256d9a79029a888102
55,/app/Repos/pandas/scripts/validate_docstrings.py,133,142,/app/Repos/pandas/scripts/validate_docstrings.py,142,151,True,b204c7a2a6d95b7d32ffbde4748554c6
56,/app/Repos/pandas/pandas/core/window.py,739,753,/app/Repos/pandas/pandas/core/window.py,1741,1749,True,9dde16b62496af71cb6d4e2b56821b23
57,/app/Repos/pandas/pandas/core/window.py,1478,1486,/app/Repos/pandas/pandas/core/window.py,1741,1749,True,bb363ad9252a94d8335a0648956bdfa8
58,/app/Repos/pandas/pandas/core/window.py,1331,1351,/app/Repos/pandas/pandas/core/window.py,1339,1347,True,8d9b703232c788bbfe87561995a44982
59,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,70,96,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,172,215,True,eb6d11d8fae71534569d2789d95dfad2
60,/app/Repos/pandas/pandas/core/window.py,1498,1504,/app/Repos/pandas/pandas/core/window.py,1510,1517,True,8f28931768412a2d4ad3a8b80b3dea9d
61,/app/Repos/pandas/pandas/core/config.py,662,695,/app/Repos/pandas/pandas/core/config.py,668,676,True,307b9d53ef45f3b4ad971d95f67f74ec
62,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,77,88,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,77,88,True,83b6c9b521e7e08538ae442a9e9e3751
