pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,21,27,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,42,48,True,c7db2708b5226be5dde01299f5766b7a
2,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,10,20,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,13,32,True,6829a79f4c883bc5a2b59259ebecfbde
3,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,25,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,25,True,ffd63542f5f329d6a84fac6380622955
4,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,8,18,/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,25,32,True,62e07116cdd88aab93d7fca9fee2a2f5
5,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,26,41,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,50,63,True,793c05b626b7dd97a706623b9a8651ed
6,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,10,20,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,10,20,True,a57a56dcc02532faabae91d238f577b8
7,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,10,20,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,10,20,True,9b72774b3ffeda87e08e3a29c4c2db04
8,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,132,142,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,10,20,True,695687c9a33f6938437c4d64faf23fb4
9,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,25,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,10,20,True,2157e4780c22a966a575212d3ba60574
10,/app/Repos/pandas/asv_bench/benchmarks/gil.py,35,52,/app/Repos/pandas/asv_bench/benchmarks/gil.py,249,264,True,ec709ad8ef9fd3a151ee20f19f1dd449
11,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,132,142,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,132,142,True,76c9fed1feb2d457177215557c0f70cc
11,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,132,142,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,132,142,False,76c9fed1feb2d457177215557c0f70cc
12,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,14,34,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,76,93,True,d6cde1dc8d5b509f7b979360a3201f2a
13,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,47,67,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,76,93,True,79214742e557d7928bdd45ff7eda14c8
14,/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,15,24,/app/Repos/pandas/asv_bench/benchmarks/eval.py,14,23,True,9ce48338011ad797029d0f49f67a0acc
15,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,15,20,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,70,75,True,dd03acf2359f7a54d9f46b0404a63dbf
