pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,36,46,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,75,87,True,f175c76a8e4013dbd163d84e9025a10b
2,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,36,46,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,96,108,True,e4d568d57fc81d80fa031eb69a3f7a61
3,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,55,66,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,75,87,True,d4904405957a23ef115674e59b5e48de
4,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,55,66,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,96,108,True,55815dcfea80033643d68d2749028f1a
5,/app/Repos/pandas/asv_bench/benchmarks/gil.py,47,67,/app/Repos/pandas/asv_bench/benchmarks/gil.py,279,296,True,fe650dba03fbdf376b3a1f791f3e56dc
6,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,27,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,27,True,8acb284fdbe6a2f52350a33fb46cd67d
7,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,14,38,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,85,104,True,58f2825f02b74506c4c12f314da9f5ca
8,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,53,77,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,85,104,True,968225013dcf9b732052b471f889b55f
6,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,27,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,27,False,8acb284fdbe6a2f52350a33fb46cd67d
9,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,123,128,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,128,134,True,a1b5cd762460d0c64673aed07948d5ae
10,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,75,87,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,96,108,True,2179ceb3499a008297924f3f903f8108
11,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,36,46,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,55,66,True,3c3b5f7a52537870195a402e5bdfc55e
12,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,10,23,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,13,36,True,ff3112251901596101c333fb2507bd79
13,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,111,123,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,111,123,True,ac700f610bb8c0b7628bd71493d7368e
14,/app/Repos/pandas/asv_bench/benchmarks/period.py,138,143,/app/Repos/pandas/asv_bench/benchmarks/timedelta.py,132,138,True,a5a2f04594e8aae54a9a00f026e2061d
15,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,34,48,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,57,70,True,c17fc3ed0a8d3b34fbf2d8467a714d4c
16,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,85,104,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,121,140,True,97ac84e6fb4d19c2d72aed8fbd254a78
17,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,14,38,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,121,140,True,0c7222cbda1f4c592fa7248b21032e28
18,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,53,77,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,121,140,True,03a47e3a6fa0d4a53c412ebd49986e60
19,/app/Repos/pandas/asv_bench/benchmarks/binary_ops.py,16,25,/app/Repos/pandas/asv_bench/benchmarks/eval.py,15,24,True,8deec5052b0d7d55bdb091098744eff6
20,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,14,27,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,37,50,True,7a9eb2f96de66758a2a6d0a4c8a5e719
21,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,72,117,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,138,183,True,39deb57485bc19ced6afda97e19e136c
22,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,322,331,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,343,361,True,b4b71b4fa9feacf6bfe0fe85e18f9686
23,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,111,123,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,13,36,True,a7864bc7518a7591516c81602e590861
24,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,11,17,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,343,361,True,58500cc93d17cd4b84f17de5444c3e4c
