pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,34,48,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,57,70,True,c17fc3ed0a8d3b34fbf2d8467a714d4c
2,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,36,46,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,75,87,True,f175c76a8e4013dbd163d84e9025a10b
3,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,36,46,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,55,66,True,3c3b5f7a52537870195a402e5bdfc55e
4,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,18,30,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,40,55,True,ac6fa65bdff8116be5c23d2863c153d7
5,/app/Repos/pandas/asv_bench/benchmarks/gil.py,48,68,/app/Repos/pandas/asv_bench/benchmarks/gil.py,278,295,True,e54e37fc3dbb66f39c1f8eec3547e605
6,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,36,46,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,96,108,True,e4d568d57fc81d80fa031eb69a3f7a61
7,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,55,66,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,75,87,True,d4904405957a23ef115674e59b5e48de
8,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,55,66,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,96,108,True,55815dcfea80033643d68d2749028f1a
9,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,15,39,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,86,105,True,74c8ab0ccf8bcfaa22f480d01986b2fb
10,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,54,78,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,86,105,True,58e8348c51ad338760fbe56c7c0496ea
11,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,75,87,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,96,108,True,2179ceb3499a008297924f3f903f8108
12,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,24,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,24,True,37a2ec90c60fe424cf31e661cdde0308
13,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,15,28,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,38,51,True,8da1689c3d07ebb9d9640cfa1e5e7af2
12,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,24,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,12,24,False,37a2ec90c60fe424cf31e661cdde0308
14,/app/Repos/pandas/asv_bench/benchmarks/period.py,80,85,/app/Repos/pandas/asv_bench/benchmarks/period.py,80,85,True,68e145c73aee8c070fca4233e9ac618d
15,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,12,25,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,12,25,True,58cbc9ffa9f6c925ee4402f6335b21ff
16,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,322,331,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,343,361,True,b4b71b4fa9feacf6bfe0fe85e18f9686
17,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,73,118,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,139,184,True,a3f1345eee097bd6a05ba3c2937a78b3
18,/app/Repos/pandas/asv_bench/benchmarks/io/msgpack.py,12,25,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,10,22,True,41b6fa56d806a7ce9a239bc96bc24727
