pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/gil.py,49,69,/app/Repos/pandas/asv_bench/benchmarks/gil.py,279,296,True,4a9f66c7cfb6798628c27d3e25812b6f
2,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,41,57,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,70,88,True,1b6428213e6480ceb8f6ad5416724dfb
3,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,116,138,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,169,178,True,a584bea29a225d1beff286c4cefb670a
4,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,14,27,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,37,50,True,7a9eb2f96de66758a2a6d0a4c8a5e719
5,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,18,30,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,40,55,True,ac6fa65bdff8116be5c23d2863c153d7
6,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,72,117,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,139,154,True,bad3734f81a35074145da7288444ab0a
7,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,56,61,True,df5c1d6debda3c6793fa3699852bb147
8,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,91,96,True,316eac272dfeba5d16f7d40df760acc1
9,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,56,61,True,def4f73f9862b1d0033d06b8bc0c3534
10,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,91,96,True,4c27c4c1436391bd80f6af2da7facd3c
11,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,82,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,91,96,True,9efefa6549722bbefac7b189ed84b3f4
12,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,16,40,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,55,79,True,11c4f9c7e11ca96c83bc96fe34604a6b
13,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,672,684,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,696,708,True,090bc00540e9ed43d5675677ef9f1fdf
14,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,56,61,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,91,96,True,625db6833a16fa6bcf1623aa76e922d2
15,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,684,696,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,696,708,True,a6b8762f5aaf047a39c580301dfd7cee
16,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,87,106,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,123,142,True,227fb86602b8f4d78cdc4ff3f775900f
17,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,16,40,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,123,142,True,4aab5f37a99a070adac79435665ba5f6
18,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,55,79,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,123,142,True,12acc9c7bb0a378f1372f98402e68d00
19,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,56,61,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,82,True,585221ad22254b671313b1d779d1e751
20,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,86,91,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,164,174,True,34e935a4b402ea123481b93c1ab81bbc
21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,82,True,f686b817ba51980224d38dedd8d8522b
22,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,82,True,1393b87e32838718b05c0b26c77ff68c
23,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,104,109,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,164,174,True,44ebe07589ad0d1d1002df3a356a80d6
24,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,16,40,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,87,106,True,cde313debc290eb70d51c825f473f6cb
25,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,55,79,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,87,106,True,80d83889925bb03a7015d1d8369e1b6d
26,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,114,119,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,164,174,True,02e29304950546e8e82c9b55793e8a2d
27,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,32,43,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,65,76,True,6d63ea57d080fe1877893f7834ed3615
28,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,True,33641203484274dc98b6050bcadf67b3
28,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,False,33641203484274dc98b6050bcadf67b3
28,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,False,33641203484274dc98b6050bcadf67b3
29,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,93,113,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,149,159,True,781375f7da830f2df20f940892f2fdc6
30,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,210,234,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,239,251,True,ae01a9dd903b753390ff97285924ca83
31,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,69,81,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,65,76,True,54207b0df966111e82c9f5fd3ed52b30
32,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,630,638,/app/Repos/pandas/asv_bench/benchmarks/groupby.py,664,672,True,2e50f936705e364732f0592909245100
33,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,12,18,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,323,331,True,d68a202512d13d8b91536ffaae6c7d48
34,/app/Repos/pandas/scripts/validate_unwanted_patterns.py,117,166,/app/Repos/pandas/scripts/validate_unwanted_patterns.py,166,291,True,c2fc7749a481d79ba9470bd5a0ccc76d
35,/app/Repos/pandas/scripts/tests/test_validate_docstrings.py,325,355,/app/Repos/pandas/scripts/tests/test_validate_docstrings.py,373,398,True,b55e532968adb1ac0e7ee133be1d4a80
36,/app/Repos/pandas/scripts/tests/test_validate_docstrings.py,355,373,/app/Repos/pandas/scripts/tests/test_validate_docstrings.py,373,398,True,88f0f625e7e54b7f9198bfdbce061879
37,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,12,18,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,12,18,True,fd82392e039cb81435717d19b897ca15
38,/app/Repos/pandas/scripts/tests/test_validate_docstrings.py,302,325,/app/Repos/pandas/scripts/tests/test_validate_docstrings.py,373,398,True,094b0c42e6172ecaccbf568c86c6a127
