pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,50,68,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,81,99,True,dc75bf79b43913b9b6364848ac415ab6
2,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,144,149,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,149,155,True,22c5fcec4581606795b7321fee80dd5c
3,/app/Repos/pandas/asv_bench/benchmarks/gil.py,49,69,/app/Repos/pandas/asv_bench/benchmarks/gil.py,279,296,True,4a9f66c7cfb6798628c27d3e25812b6f
4,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,16,40,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,87,106,True,cde313debc290eb70d51c825f473f6cb
5,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,55,79,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,87,106,True,80d83889925bb03a7015d1d8369e1b6d
6,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,56,61,True,df5c1d6debda3c6793fa3699852bb147
7,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,56,61,True,def4f73f9862b1d0033d06b8bc0c3534
8,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,18,30,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,40,55,True,ac6fa65bdff8116be5c23d2863c153d7
9,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,111,123,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,13,36,True,a7864bc7518a7591516c81602e590861
10,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,80,138,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,160,175,True,2c8f8d8a57328e9a1267a93c7acda299
11,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,80,138,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,183,240,True,40a4c6d0c5ea92aed06bce461b095b22
12,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,16,40,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,55,79,True,11c4f9c7e11ca96c83bc96fe34604a6b
13,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,87,106,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,123,142,True,227fb86602b8f4d78cdc4ff3f775900f
14,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,True,33641203484274dc98b6050bcadf67b3
15,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,160,175,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,183,240,True,82c00c905a776e0de733ab513ef2c15a
16,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,111,123,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,9,21,True,bc3d34947e38e96ba366b1f2500f1c2a
17,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,16,40,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,123,142,True,4aab5f37a99a070adac79435665ba5f6
14,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,False,33641203484274dc98b6050bcadf67b3
18,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,91,100,True,1fb2dc9e721e38df78074cf7d3c55cc2
19,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,9,21,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,9,21,True,e56905eb4e27abdb117805cc4dad8ad0
20,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,55,79,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,123,142,True,12acc9c7bb0a378f1372f98402e68d00
21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,True,fe60f75d8c28d4307e73807716a049c5
22,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,91,100,True,871e9d3e49e809900a6c5fb14a19ad25
23,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,13,25,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,9,21,True,1878bfb38a7bd4f495732ce5ad5725dd
24,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,32,43,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,65,76,True,6d63ea57d080fe1877893f7834ed3615
25,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,12,18,/app/Repos/pandas/asv_bench/benchmarks/frame_methods.py,23,35,True,5655f8a75dde0ce77d03c5741a7f3f04
26,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,82,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,91,100,True,b83c2e7e97f3fe0cc0b65d72f05ca32f
27,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,116,123,True,716c2829ea4963cc3d778ab09c8e32c1
28,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,56,61,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,91,100,True,f4e56d649e56bbbc58501bb2153fd999
29,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,116,123,True,554e0b2b24e46ae31b64f94753eeb7fc
30,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,108,113,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,118,123,True,88a1ecd52212bd5fc9c28da7fa349e72
31,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,91,100,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,116,123,True,ee20d7f5e7c35b07e176b59b1fcd9428
32,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,90,95,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,118,123,True,62b6af60863d589dc6570eb564b432f1
33,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,82,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,116,123,True,70613a4d19ff3906819d6845a17cc7a7
34,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,56,61,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,116,123,True,d450994c1e2570263afc53596ff6dda6
35,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,69,81,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,69,81,True,a025762d1a982bf8203c8582f1a63fb2
36,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,56,61,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,82,True,585221ad22254b671313b1d779d1e751
37,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,82,True,f686b817ba51980224d38dedd8d8522b
38,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,82,True,1393b87e32838718b05c0b26c77ff68c
39,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,90,95,/app/Repos/pandas/asv_bench/benchmarks/categoricals.py,108,113,True,fc07dfadaf4b4fcde1d5b59da18be1d3
40,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,40,45,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,54,61,True,5d403f3df87fa39998f4b57c4c12e868
41,/app/Repos/pandas/scripts/validate_unwanted_patterns.py,167,216,/app/Repos/pandas/scripts/validate_unwanted_patterns.py,216,341,True,e688e33db7563419bb9c84f1470e5e28
35,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,69,81,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,69,81,False,a025762d1a982bf8203c8582f1a63fb2
35,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,69,81,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,69,81,False,a025762d1a982bf8203c8582f1a63fb2
42,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,34,48,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,57,70,True,c17fc3ed0a8d3b34fbf2d8467a714d4c
43,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,34,48,/app/Repos/pandas/asv_bench/benchmarks/series_methods.py,146,151,True,228279608226ed0d6caed340c016d330
44,/app/Repos/pandas/scripts/tests/test_validate_docstrings.py,182,202,/app/Repos/pandas/scripts/tests/test_validate_docstrings.py,302,325,True,4eac63c7aaaa8bb40d563deb6c3ad6c8
45,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,116,138,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,169,178,True,a584bea29a225d1beff286c4cefb670a
46,/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,152,167,/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,152,167,True,f0b68bfadaab78274e3fa77130ac85eb
47,/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,394,400,/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,400,407,True,a67ec32889a53ab5f967d00162c6ee58
