pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,56,61,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,88,True,c9d264b37cd0309286161b2e2671b336
2,/app/Repos/pandas/asv_bench/benchmarks/gil.py,49,69,/app/Repos/pandas/asv_bench/benchmarks/gil.py,279,296,True,4a9f66c7cfb6798628c27d3e25812b6f
3,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,88,True,04ef97290e422719bf0b10cd480a6685
4,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,77,88,True,3bbd813d8cf07f4b76499c017e2eee4c
5,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,51,69,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,82,100,True,e13503d4b020bb6f215064364caaddb5
6,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,87,106,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,123,142,True,227fb86602b8f4d78cdc4ff3f775900f
7,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,16,40,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,123,142,True,4aab5f37a99a070adac79435665ba5f6
8,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,55,79,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,123,142,True,12acc9c7bb0a378f1372f98402e68d00
9,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,34,48,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,57,70,True,c17fc3ed0a8d3b34fbf2d8467a714d4c
10,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,16,40,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,55,79,True,11c4f9c7e11ca96c83bc96fe34604a6b
11,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,16,40,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,87,106,True,cde313debc290eb70d51c825f473f6cb
12,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,55,79,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,87,106,True,80d83889925bb03a7015d1d8369e1b6d
13,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,192,198,True,91355e49cf0c0c5bbcd76963ce910d73
14,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,160,165,True,125001f2a8a98b763aa0ad4ebbbf2501
