pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,34,48,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,57,70,True,c17fc3ed0a8d3b34fbf2d8467a714d4c
2,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,True,efc93791d691b8b27fc67a0ce7854741
3,/app/Repos/pandas/asv_bench/benchmarks/gil.py,55,75,/app/Repos/pandas/asv_bench/benchmarks/gil.py,285,302,True,bbd97844d0c6aec825b487df1637b91b
4,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,50,68,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,81,99,True,dc75bf79b43913b9b6364848ac415ab6
2,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,False,efc93791d691b8b27fc67a0ce7854741
5,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,21,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,92,111,True,67f4a60fdd7142c94965c145d2064c17
6,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,60,84,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,92,111,True,c830a9f32ce416fe426d6480be30113f
7,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,92,111,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,128,147,True,b9b8945f071f0768a03a3f70a9a7331a
8,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,21,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,128,147,True,6234dd2758efb2909c25dbd7f9356a18
9,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,60,84,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,128,147,True,aef28a50062a3d982916567fbec0bcc0
10,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,119,131,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,20,43,True,c9ce7ac1ee10c6b839d5430ce750eee8
