pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,41,55,/app/Repos/pandas/asv_bench/benchmarks/indexing_engines.py,64,77,True,a7a04c783d1d6073acb5686f12aa4476
2,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,162,184,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,215,224,True,4c6553e6b41e104b6067748c92dba426
3,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,True,efc93791d691b8b27fc67a0ce7854741
3,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,False,efc93791d691b8b27fc67a0ce7854741
4,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,36,66,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,79,97,True,ee59d0ee0f8a4c7a7db27f4b3b1f463d
5,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,21,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,92,111,True,67f4a60fdd7142c94965c145d2064c17
6,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,60,84,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,92,111,True,c830a9f32ce416fe426d6480be30113f
7,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,119,131,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,16,28,True,e9fcbdcb90760d69cb881c6b922e9365
8,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,111,169,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,214,271,True,a6140cf2b21f6c6635732ecc9425c54b
9,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,191,206,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,214,271,True,0385adffdd626336df7d41a2fdf32ad9
10,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,26,39,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,49,62,True,ef366543c1ed8c69c59fbb791221397f
11,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,206,212,True,df1c756224bf6b476440c37925919a4a
12,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,29,41,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,51,66,True,f0525b89f26c4e4173b9ce6d06008c9f
13,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,129,136,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,206,212,True,c68a6016b44889221dbe6756fc0f4b97
14,/app/Repos/pandas/asv_bench/benchmarks/gil.py,55,75,/app/Repos/pandas/asv_bench/benchmarks/gil.py,286,303,True,0451ea3a3f545496f2d4d03dc89547ed
15,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,174,179,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,206,212,True,bb0b1a1a26fa57ac132b306fff6a5cef
16,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,206,212,True,0b278c091ac09eefd8ee520f02c4af30
17,/app/Repos/pandas/asv_bench/benchmarks/algos/isin.py,287,308,/app/Repos/pandas/asv_bench/benchmarks/algos/isin.py,319,336,True,6f3c90ed9094ba25ac9e33daeec3923d
18,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,129,136,True,d8c137622ac5b40b00b72cffa1cfbbdb
19,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,32,43,/app/Repos/pandas/asv_bench/benchmarks/stat_ops.py,65,76,True,6d63ea57d080fe1877893f7834ed3615
20,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,129,136,True,30ec58f6a3a2827439e3313800b20c0d
21,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,92,111,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,128,147,True,b9b8945f071f0768a03a3f70a9a7331a
22,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,21,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,128,147,True,6234dd2758efb2909c25dbd7f9356a18
23,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,60,84,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,128,147,True,aef28a50062a3d982916567fbec0bcc0
24,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,21,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,60,84,True,fcf6e3fb80d427bb656364eaed29c4f2
25,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,104,113,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,129,136,True,11c2bf72bb7fb15af9a8de04e1681935
26,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,57,62,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,129,136,True,fb0efa51eee8cd919f8220497fe0508f
27,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,174,179,True,c3f3d9d4923346a5c7b4fbc540ec25e8
28,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,174,179,True,953bcfa718ceb5742e38115f3c2a0114
29,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,104,113,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,174,179,True,112c64720c82d4ca80d67c9ca5644307
30,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,104,113,True,941abf6d08cadcb9f85a32b1bd213620
31,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,129,136,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,174,179,True,ce19ee776bfa9f3bd1a0cfe8c2c5cc5b
32,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,38,43,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,104,113,True,bca02e5bb0647976c96295008eca8762
33,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,57,62,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,174,179,True,6ea4819e40e40938109a8f7b3023f940
34,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,81,92,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,174,179,True,496017ee68c0f37d360c4845f6370120
35,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,57,62,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,104,113,True,94c34afbe2757856c6db44c2215143c5
36,/app/Repos/pandas/asv_bench/benchmarks/hash_functions.py,50,55,/app/Repos/pandas/asv_bench/benchmarks/indexing.py,39,51,True,48c40d8e01fdede91a09263c282bd34e
37,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,57,62,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,81,92,True,b4ca66d1874eb022c0405e0532b4909a
38,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,111,169,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,191,206,True,8d5f4b1d0a3ce2ba31a2cdc680d04fcc
39,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,16,21,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,81,92,True,7313978999753a80715775a45afb6671
