pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/gil.py,41,89,/app/Repos/pandas/asv_bench/benchmarks/gil.py,68,84,True,2c0e0025a0a3fc3c4ae87d1a1b5ef005
2,/app/Repos/pandas/asv_bench/benchmarks/gil.py,67,86,/app/Repos/pandas/asv_bench/benchmarks/gil.py,68,84,True,d24ba86937ce917813f9e2c62633d28e
3,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,119,131,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,16,28,True,e9fcbdcb90760d69cb881c6b922e9365
4,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,76,94,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,107,117,True,150e4a4f9b8289ed1d1eb707823839e5
5,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,169,191,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,222,231,True,c9f5ebdff65f82fd5779f9765bb40526
6,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,105,126,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,152,173,True,18eb2f1d53ea897d3fbdafa01b2d729e
7,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,21,47,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,152,173,True,05f3995f20c28ccb71b5c2adbba253aa
8,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,71,97,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,152,173,True,272ecbfc7ceab01ab2701f507df1b173
9,/app/Repos/pandas/asv_bench/benchmarks/gil.py,41,89,/app/Repos/pandas/asv_bench/benchmarks/gil.py,67,86,True,96e71312300887c7625c1a887aa7233e
10,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,21,47,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,71,97,True,1e72beeb44e7f67f1c84424dd714c424
11,/app/Repos/pandas/asv_bench/benchmarks/period.py,87,92,/app/Repos/pandas/asv_bench/benchmarks/timedelta.py,36,42,True,a22b6d9a75ae02dbc6dc6baa38e014af
12,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,26,39,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,49,62,True,ef366543c1ed8c69c59fbb791221397f
13,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,84,91,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,124,131,True,ede06a3de7a377f512419ed9cbb69635
14,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,109,124,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,124,131,True,a64d0a0e9141c37bba6fbb2f854da76c
15,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,69,84,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,124,131,True,ab3f2a59e035914856f4c8aabe0c1b19
