pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/gil.py,41,89,/app/Repos/pandas/asv_bench/benchmarks/gil.py,67,86,True,96e71312300887c7625c1a887aa7233e
2,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,True,efc93791d691b8b27fc67a0ce7854741
3,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,118,135,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,16,28,True,bcf8cc67f251d4dec009c02232e0378f
4,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,20,46,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,103,124,True,4aa5ee791e2fc4d74f262575862960aa
5,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,22,34,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,16,28,True,74b9553e774a43f10c5a5cdadca7fdf7
6,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,69,95,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,103,124,True,baefa7369121e4c9e515c024bcbdd531
7,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,186,208,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,239,248,True,76f8fcea559dced87ccae9fed36f1e2c
8,/app/Repos/pandas/web/pandas_web.py,255,340,/app/Repos/pandas/web/pandas_web.py,322,332,True,9f32ea762469740f5dd584202c1b33c7
9,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,20,46,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,69,95,True,a7459b9d07002e6f6114449ff2397280
10,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,68,83,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,83,90,True,27a5ecc0951f8e3aeaa5466cafa9ac7b
11,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,41,46,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,241,246,True,96437bce9fb9164a678bd796219f8a2c
12,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,170,177,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,272,278,True,6f4bc4936200f6728a35190d842bea2b
13,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,170,177,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,241,246,True,9cf3fe06d469ccf38d41c83d2157fe64
14,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,214,219,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,241,246,True,1ab57514fce0f2c887a560b9da3854ca
15,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,241,246,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,272,278,True,55c494e615f82c6b7a78034e27f934cc
16,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,150,157,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,241,246,True,8e34fdd70e858c1c302a1549ff8ecdc7
17,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,214,219,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,272,278,True,cf675e6e123fa542c2f546433fbdcd7a
18,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,41,46,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,272,278,True,4a80a4768019f9dacdaa8c2a0cefdb8e
19,/app/Repos/pandas/asv_bench/benchmarks/period.py,85,90,/app/Repos/pandas/asv_bench/benchmarks/timedelta.py,36,42,True,328852abaffbce595affa2d6a8c44842
20,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,36,64,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,79,97,True,acde2a0da0d8b6d5a89ad7bfc07215d0
21,/app/Repos/pandas/asv_bench/benchmarks/tslibs/period.py,149,157,/app/Repos/pandas/asv_bench/benchmarks/tslibs/period.py,149,157,True,d6c02232ae650370ba31ff75eb62dc20
