pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/gil.py,39,87,/app/Repos/pandas/asv_bench/benchmarks/gil.py,65,84,True,676b313004a30c8875d9221fd31f908f
2,/app/Repos/pandas/asv_bench/benchmarks/gil.py,39,87,/app/Repos/pandas/asv_bench/benchmarks/gil.py,66,82,True,d76a68a9dcc56d1a2a90a8b1763e820f
3,/app/Repos/pandas/asv_bench/benchmarks/gil.py,65,84,/app/Repos/pandas/asv_bench/benchmarks/gil.py,66,82,True,696712b89fbc8cfe9483111a85f873ec
4,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,19,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,102,123,True,3107a9dc153d1aee9a7b9461af01139a
5,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,68,94,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,102,123,True,26dcbbe7e858f92cfa0b145b96468462
6,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,34,61,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,85,107,True,549b36c87b64b70cb09d92f5cb60a4e8
7,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,34,61,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,184,194,True,95240154e54f6e47c776221c3581e250
8,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,85,107,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,119,129,True,5c5f0e273823feda527f124646ddb849
9,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,85,107,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,184,194,True,f4f91f999480d08b9bf064f8aad01b11
10,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,34,61,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,119,129,True,2b927b1c69793a6996381eaaea44ce5b
11,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,19,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,68,94,True,6aefa2d2e0c7818672995b87b843df29
12,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,34,46,/app/Repos/pandas/asv_bench/benchmarks/plotting.py,56,71,True,ce223acb81095eed24d81709ea8c5ade
13,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,102,123,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,148,169,True,7800fc2cfc5192adfe5addc381fcdc3b
14,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,19,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,148,169,True,a7a437584a1dbf5da0a0b5cc5cea0e4d
15,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,68,94,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,148,169,True,d6a39244d40f5f7833fabb583716d4d9
16,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,17,24,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,150,157,True,456596466d3beaba7b18440c043fdf14
17,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,41,46,/app/Repos/pandas/asv_bench/benchmarks/rolling.py,150,157,True,47438c7e97d8ce05f6b7783007188aea
18,/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,287,302,/app/Repos/pandas/asv_bench/benchmarks/io/csv.py,287,302,True,f6fe13cc36b17cd8349222c5843aa275
19,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,186,208,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,239,248,True,76f8fcea559dced87ccae9fed36f1e2c
20,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,65,81,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,100,115,True,0b1f8561be47d073a54dddf763704578
21,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,116,133,/app/Repos/pandas/asv_bench/benchmarks/io/style.py,13,20,True,20b746f0349cd178f73a03238c449ec1
22,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,106,164,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,190,205,True,43b7b6da778207e102de017ae7067850
23,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,116,133,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,17,40,True,d46d4e40ce74279aaafa107803d39de3
24,/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,323,330,/app/Repos/pandas/asv_bench/benchmarks/index_object.py,154,170,True,80727c1f108e4f12e3f8b85f00a087a5
25,/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,205,225,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,17,40,True,25f9606daa816c61138794eb34fc6643
26,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,17,40,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,17,40,True,b35b80b6736de8c26d69865b3f75628f
27,/app/Repos/pandas/asv_bench/benchmarks/period.py,85,90,/app/Repos/pandas/asv_bench/benchmarks/timedelta.py,36,42,True,328852abaffbce595affa2d6a8c44842
28,/app/Repos/pandas/scripts/tests/test_validate_unwanted_patterns.py,9,46,/app/Repos/pandas/scripts/tests/test_validate_unwanted_patterns.py,46,156,True,9b46005cc58b45c886ce211aeedb22c9
29,/app/Repos/pandas/asv_bench/benchmarks/libs.py,59,69,/app/Repos/pandas/asv_bench/benchmarks/reindex.py,91,113,True,1e882a7edb16ab56a50084cd45a68f75
30,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,23,36,/app/Repos/pandas/asv_bench/benchmarks/io/json.py,45,58,True,1589d457b307ee7fd0cebdf5cccb3258
31,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,116,133,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,14,26,True,ce86247eca165b7c8c192378ffac15c3
