pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
1,/app/Repos/pandas/asv_bench/benchmarks/gil.py,39,87,/app/Repos/pandas/asv_bench/benchmarks/gil.py,65,84,True,676b313004a30c8875d9221fd31f908f
2,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,19,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,68,94,True,6aefa2d2e0c7818672995b87b843df29
3,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,34,61,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,184,194,True,95240154e54f6e47c776221c3581e250
4,/app/Repos/pandas/asv_bench/benchmarks/gil.py,39,87,/app/Repos/pandas/asv_bench/benchmarks/gil.py,66,82,True,d76a68a9dcc56d1a2a90a8b1763e820f
5,/app/Repos/pandas/asv_bench/benchmarks/gil.py,65,84,/app/Repos/pandas/asv_bench/benchmarks/gil.py,66,82,True,696712b89fbc8cfe9483111a85f873ec
6,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,85,107,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,119,129,True,5c5f0e273823feda527f124646ddb849
7,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,85,107,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,184,194,True,f4f91f999480d08b9bf064f8aad01b11
8,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,65,81,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,100,115,True,0b1f8561be47d073a54dddf763704578
9,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,34,61,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,119,129,True,2b927b1c69793a6996381eaaea44ce5b
10,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,21,33,/app/Repos/pandas/asv_bench/benchmarks/io/excel.py,21,33,True,818554f887dfdad75b290204c7f16617
11,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,34,61,/app/Repos/pandas/asv_bench/benchmarks/algorithms.py,85,107,True,549b36c87b64b70cb09d92f5cb60a4e8
12,/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,323,330,/app/Repos/pandas/asv_bench/benchmarks/arithmetic.py,323,330,True,3e5b4f55b615929384f7f955932fca11
13,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,19,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,102,123,True,3107a9dc153d1aee9a7b9461af01139a
14,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,68,94,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,102,123,True,26dcbbe7e858f92cfa0b145b96468462
15,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,116,133,/app/Repos/pandas/asv_bench/benchmarks/io/style.py,13,20,True,20b746f0349cd178f73a03238c449ec1
16,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,102,123,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,148,169,True,7800fc2cfc5192adfe5addc381fcdc3b
17,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,19,45,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,148,169,True,a7a437584a1dbf5da0a0b5cc5cea0e4d
18,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,68,94,/app/Repos/pandas/asv_bench/benchmarks/io/sql.py,148,169,True,d6a39244d40f5f7833fabb583716d4d9
19,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,186,208,/app/Repos/pandas/asv_bench/benchmarks/reshape.py,239,248,True,76f8fcea559dced87ccae9fed36f1e2c
20,/app/Repos/pandas/asv_bench/benchmarks/io/hdf.py,116,133,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,17,40,True,d46d4e40ce74279aaafa107803d39de3
21,/app/Repos/pandas/web/pandas_web.py,274,363,/app/Repos/pandas/web/pandas_web.py,345,355,True,c4b84bc065dc8d210c235147b7d2b34e
22,/app/Repos/pandas/asv_bench/benchmarks/io/pickle.py,14,26,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,17,40,True,0f6a047c66343605132c9643ee49173a
23,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,17,40,/app/Repos/pandas/asv_bench/benchmarks/io/stata.py,17,40,True,b35b80b6736de8c26d69865b3f75628f
